"","GSM6996077","GSM6996078","GSM6996079","GSM6996080","GSM6996081","GSM6996082"
"ENSMUSG00000033581",79,61,71,74,62,71
"ENSMUSG00000033585",138,108,96,77,71,64
"ENSMUSG00000033589",85,57,78,60,76,45
"ENSMUSG00000033590",226,184,219,216,238,224
"ENSMUSG00000033594",75,65,72,70,38,73
"ENSMUSG00000033595",58,21,46,25,51,33
"ENSMUSG00000033596",518,395,392,590,495,433
"ENSMUSG00000033597",6,1,8,1,0,6
"ENSMUSG00000033610",1102,1163,989,796,1023,1023
"ENSMUSG00000033615",2,1,3,1,0,3
"ENSMUSG00000033618",56,31,51,23,31,46
"ENSMUSG00000033623",658,447,478,607,595,505
"ENSMUSG00000033624",771,188,436,592,839,914
"ENSMUSG00000033628",395,255,364,334,322,339
"ENSMUSG00000033629",530,422,425,490,369,383
"ENSMUSG00000033632",170,87,110,123,127,140
"ENSMUSG00000033633",36,52,39,24,44,37
"ENSMUSG00000033634",0,2,1,46,3,1
"ENSMUSG00000033644",26,38,36,24,23,24
"ENSMUSG00000033653",501,348,514,439,417,439
"ENSMUSG00000033658",311,214,285,318,317,254
"ENSMUSG00000033669",32,19,32,28,17,21
"ENSMUSG00000033671",723,430,582,511,590,697
"ENSMUSG00000033676",5,1,1,2,1,0
"ENSMUSG00000033684",596,344,613,444,418,432
"ENSMUSG00000033685",2760,667,1811,596,573,607
"ENSMUSG00000033688",0,9,1,25,1,2
"ENSMUSG00000033697",96,58,105,76,75,88
"ENSMUSG00000033701",325,406,356,379,310,268
"ENSMUSG00000033703",126,84,100,100,85,89
"ENSMUSG00000033705",493,254,423,298,427,455
"ENSMUSG00000033706",176,129,205,156,139,165
"ENSMUSG00000033707",14,12,28,14,11,9
"ENSMUSG00000033712",434,280,380,375,288,369
"ENSMUSG00000033713",1063,1121,1170,1259,1021,1018
"ENSMUSG00000033715",191,163,133,274,202,147
"ENSMUSG00000033717",0,0,0,0,1,0
"ENSMUSG00000033720",63,56,103,68,50,69
"ENSMUSG00000033721",120,82,90,117,99,94
"ENSMUSG00000033722",643,499,709,710,542,586
"ENSMUSG00000033726",0,0,0,0,0,0
"ENSMUSG00000033728",168,121,157,198,147,140
"ENSMUSG00000033730",56,16,41,16,17,13
"ENSMUSG00000033731",17,1,8,0,2,0
"ENSMUSG00000033732",941,546,997,1078,897,1112
"ENSMUSG00000033735",639,751,894,754,677,512
"ENSMUSG00000033737",0,0,0,0,0,2
"ENSMUSG00000033739",55,50,80,65,41,63
"ENSMUSG00000033740",1,0,0,0,0,0
"ENSMUSG00000033751",337,421,396,356,403,338
"ENSMUSG00000033752",25,24,32,20,22,17
"ENSMUSG00000033760",139,155,144,138,132,105
"ENSMUSG00000033762",21,10,25,7,16,14
"ENSMUSG00000033763",467,310,471,423,492,461
"ENSMUSG00000033765",0,0,0,0,0,0
"ENSMUSG00000033767",311,263,339,375,401,497
"ENSMUSG00000033768",39,40,54,28,45,49
"ENSMUSG00000033769",384,249,406,335,320,318
"ENSMUSG00000033770",0,0,0,0,1,0
"ENSMUSG00000033773",147,162,141,176,164,142
"ENSMUSG00000033774",0,0,0,0,0,0
"ENSMUSG00000033777",32,25,15,41,26,14
"ENSMUSG00000033781",247,192,254,221,239,220
"ENSMUSG00000033788",1084,957,1301,1401,1224,1210
"ENSMUSG00000033790",225,167,148,242,215,169
"ENSMUSG00000033792",63,18,28,26,61,48
"ENSMUSG00000033793",488,413,434,512,408,339
"ENSMUSG00000033794",0,0,0,0,0,0
"ENSMUSG00000033799",486,302,360,326,382,328
"ENSMUSG00000033805",4,4,3,3,3,0
"ENSMUSG00000033808",490,404,359,429,373,397
"ENSMUSG00000033809",88,48,141,120,96,121
"ENSMUSG00000033813",436,386,372,486,436,420
"ENSMUSG00000033819",267,205,282,222,192,182
"ENSMUSG00000033825",7,14,8,11,18,10
"ENSMUSG00000033826",17,10,6,3,7,8
"ENSMUSG00000033831",4,38,1,145,12,0
"ENSMUSG00000033834",0,0,0,0,0,0
"ENSMUSG00000033837",1,1,1,2,0,0
"ENSMUSG00000033845",716,903,819,854,769,721
"ENSMUSG00000033847",9,2,8,5,0,2
"ENSMUSG00000033849",149,152,126,248,140,155
"ENSMUSG00000033850",0,0,0,0,0,0
"ENSMUSG00000033852",0,0,0,0,0,0
"ENSMUSG00000033854",0,0,0,0,0,0
"ENSMUSG00000033855",97,25,81,64,69,94
"ENSMUSG00000033857",97,93,82,69,53,59
"ENSMUSG00000033860",1,40,2,156,15,0
"ENSMUSG00000033862",207,216,240,177,149,166
"ENSMUSG00000033863",2560,1725,2055,1545,2284,2285
"ENSMUSG00000033871",168,73,172,115,127,177
"ENSMUSG00000033872",0,0,0,1,0,0
"ENSMUSG00000033880",531,247,524,663,550,480
"ENSMUSG00000033882",0,0,2,1,1,1
"ENSMUSG00000033883",160,94,99,115,90,87
"ENSMUSG00000033885",429,319,390,454,427,480
"ENSMUSG00000033898",7,17,4,17,3,0
"ENSMUSG00000033900",37,41,34,43,33,35
"ENSMUSG00000033902",292,157,265,203,200,228
"ENSMUSG00000033904",141,89,93,94,95,103
"ENSMUSG00000033906",30,7,15,23,10,18
"ENSMUSG00000033909",416,364,508,339,310,369
"ENSMUSG00000033910",1415,232,770,385,377,406
"ENSMUSG00000033916",975,1093,1167,1000,1005,778
"ENSMUSG00000033917",545,579,553,496,444,388
"ENSMUSG00000033918",530,571,594,539,539,472
"ENSMUSG00000033931",89,87,87,107,88,75
"ENSMUSG00000033933",190,211,171,190,170,133
"ENSMUSG00000033938",2284,4064,3330,3309,2825,2122
"ENSMUSG00000033940",754,915,919,829,739,568
"ENSMUSG00000033943",923,607,649,627,651,619
"ENSMUSG00000033948",28,16,26,29,29,31
"ENSMUSG00000033949",17,24,26,39,27,25
"ENSMUSG00000033952",28,11,7,50,22,12
"ENSMUSG00000033953",1184,1288,1153,1191,1181,1032
"ENSMUSG00000033955",676,380,671,616,687,639
"ENSMUSG00000033960",1415,876,1029,1318,1174,1234
"ENSMUSG00000033961",153,128,119,93,102,113
"ENSMUSG00000033963",1,0,0,0,0,0
"ENSMUSG00000033964",471,372,388,360,377,354
"ENSMUSG00000033965",264,118,160,194,129,132
"ENSMUSG00000033966",2,1,2,0,1,1
"ENSMUSG00000033967",4,4,3,4,3,1
"ENSMUSG00000033970",57,31,65,62,67,46
"ENSMUSG00000033972",167,179,152,171,148,115
"ENSMUSG00000033981",1,4,1,0,0,0
"ENSMUSG00000033983",110,66,103,133,129,89
"ENSMUSG00000033985",50,34,44,58,16,36
"ENSMUSG00000033987",6,6,15,2,2,4
"ENSMUSG00000033991",336,235,224,315,282,297
"ENSMUSG00000033998",0,1,3,3,2,4
"ENSMUSG00000034000",0,1,0,0,0,0
"ENSMUSG00000034006",219,207,322,246,231,183
"ENSMUSG00000034007",393,216,266,315,356,293
"ENSMUSG00000034009",556,13,302,0,2,3
"ENSMUSG00000034021",631,402,487,432,525,459
"ENSMUSG00000034022",547,363,617,488,520,545
"ENSMUSG00000034023",7,0,10,16,7,7
"ENSMUSG00000034024",1876,1742,2068,2093,1943,1698
"ENSMUSG00000034028",31,63,7,12,2,10
"ENSMUSG00000034031",0,0,0,0,0,0
"ENSMUSG00000034032",258,150,183,241,201,229
"ENSMUSG00000034035",45,34,29,34,32,31
"ENSMUSG00000034037",558,359,482,501,512,545
"ENSMUSG00000034039",0,0,0,0,0,0
"ENSMUSG00000034040",74,72,104,61,84,90
"ENSMUSG00000034041",57,56,45,56,24,29
"ENSMUSG00000034042",967,882,854,895,970,820
"ENSMUSG00000034055",859,513,735,920,769,801
"ENSMUSG00000034057",28,35,32,43,28,38
"ENSMUSG00000034059",16,22,27,9,12,9
"ENSMUSG00000034063",12,15,10,11,16,9
"ENSMUSG00000034064",256,237,257,242,272,226
"ENSMUSG00000034066",188,160,209,194,228,200
"ENSMUSG00000034071",26,2,15,17,21,14
"ENSMUSG00000034075",1309,852,1258,1287,1338,1348
"ENSMUSG00000034083",173,138,177,202,173,153
"ENSMUSG00000034087",0,0,0,0,0,0
"ENSMUSG00000034088",8957,6196,9178,8179,9154,9519
"ENSMUSG00000034098",0,0,0,0,0,0
"ENSMUSG00000034101",196,229,274,142,152,125
"ENSMUSG00000034105",205,177,202,223,240,172
"ENSMUSG00000034107",0,0,2,1,0,0
"ENSMUSG00000034108",176,226,227,202,183,123
"ENSMUSG00000034109",829,336,483,489,503,489
"ENSMUSG00000034110",32,36,48,48,33,23
"ENSMUSG00000034111",323,163,275,253,196,214
"ENSMUSG00000034112",1,0,1,0,1,0
"ENSMUSG00000034115",2,0,0,1,0,0
"ENSMUSG00000034116",58,37,21,26,35,15
"ENSMUSG00000034117",0,0,1,0,0,0
"ENSMUSG00000034118",327,294,246,308,308,221
"ENSMUSG00000034120",2656,2306,2579,2126,2202,2240
"ENSMUSG00000034121",83,34,99,67,63,38
"ENSMUSG00000034122",0,0,0,0,0,0
"ENSMUSG00000034126",269,174,280,223,230,250
"ENSMUSG00000034127",19,0,7,12,3,3
"ENSMUSG00000034135",1013,630,945,805,864,867
"ENSMUSG00000034139",0,0,0,0,0,0
"ENSMUSG00000034145",3,0,2,2,1,2
"ENSMUSG00000034151",0,0,0,0,0,0
"ENSMUSG00000034152",1252,962,1261,1218,1368,1179
"ENSMUSG00000034154",368,184,313,264,302,334
"ENSMUSG00000034156",8,2,3,1,3,0
"ENSMUSG00000034157",1031,943,1272,736,730,764
"ENSMUSG00000034158",1106,898,973,884,899,873
"ENSMUSG00000034159",0,0,0,0,0,0
"ENSMUSG00000034160",3405,2506,2669,2371,2626,2543
"ENSMUSG00000034161",42,62,56,84,43,37
"ENSMUSG00000034163",655,384,467,456,470,517
"ENSMUSG00000034164",42,23,34,20,15,20
"ENSMUSG00000034165",975,825,961,934,673,657
"ENSMUSG00000034168",565,358,439,389,398,469
"ENSMUSG00000034171",8,7,9,9,5,3
"ENSMUSG00000034173",4,13,7,11,6,11
"ENSMUSG00000034175",221,255,274,245,190,249
"ENSMUSG00000034177",5,0,3,2,0,0
"ENSMUSG00000034185",0,0,0,0,0,0
"ENSMUSG00000034187",284,182,298,307,303,316
"ENSMUSG00000034189",297,282,307,261,249,247
"ENSMUSG00000034190",748,662,780,818,692,621
"ENSMUSG00000034192",141,157,151,185,141,139
"ENSMUSG00000034194",260,233,259,241,196,172
"ENSMUSG00000034201",197,193,212,163,123,137
"ENSMUSG00000034203",364,413,450,431,411,329
"ENSMUSG00000034205",263,194,229,398,268,200
"ENSMUSG00000034206",98,99,113,215,196,177
"ENSMUSG00000034209",21,38,28,25,17,15
"ENSMUSG00000034210",800,577,717,684,679,654
"ENSMUSG00000034211",674,801,721,766,673,538
"ENSMUSG00000034212",7,4,0,1,0,2
"ENSMUSG00000034216",211,142,196,211,154,182
"ENSMUSG00000034218",174,74,96,151,174,162
"ENSMUSG00000034219",0,0,1,0,0,0
"ENSMUSG00000034220",4527,3832,5257,4803,3898,4160
"ENSMUSG00000034224",0,0,0,0,0,0
"ENSMUSG00000034226",0,0,0,0,0,0
"ENSMUSG00000034227",0,0,1,2,0,0
"ENSMUSG00000034235",670,419,691,518,453,504
"ENSMUSG00000034239",0,0,0,0,0,0
"ENSMUSG00000034243",1108,722,1102,867,940,924
"ENSMUSG00000034245",429,284,419,340,294,272
"ENSMUSG00000034247",327,189,259,244,228,255
"ENSMUSG00000034248",559,427,454,423,381,385
"ENSMUSG00000034252",1047,787,885,1002,982,835
"ENSMUSG00000034254",779,657,788,662,636,669
"ENSMUSG00000034255",272,163,265,254,226,221
"ENSMUSG00000034258",64,42,73,60,71,88
"ENSMUSG00000034259",142,195,173,182,133,149
"ENSMUSG00000034263",272,182,272,287,286,245
"ENSMUSG00000034265",127,127,137,95,77,86
"ENSMUSG00000034266",10,6,2,5,6,2
"ENSMUSG00000034269",927,442,791,691,759,728
"ENSMUSG00000034271",124,82,111,80,97,106
"ENSMUSG00000034274",274,142,270,236,214,212
"ENSMUSG00000034275",289,80,249,114,112,135
"ENSMUSG00000034278",59,81,68,88,67,46
"ENSMUSG00000034282",14,5,8,3,0,3
"ENSMUSG00000034285",6,15,16,28,21,8
"ENSMUSG00000034290",2894,2000,2765,2741,2926,2872
"ENSMUSG00000034292",131,108,131,112,132,120
"ENSMUSG00000034295",3733,3067,3591,4008,3821,4347
"ENSMUSG00000034297",1084,666,837,756,767,750
"ENSMUSG00000034300",460,321,390,340,302,313
"ENSMUSG00000034303",14,17,8,18,19,21
"ENSMUSG00000034308",71,57,62,46,52,48
"ENSMUSG00000034310",2,0,0,0,0,0
"ENSMUSG00000034311",31,8,17,36,16,8
"ENSMUSG00000034312",1157,657,1100,1019,1119,1108
"ENSMUSG00000034317",58,22,15,49,27,11
"ENSMUSG00000034320",254,127,157,178,171,173
"ENSMUSG00000034321",130,139,112,150,121,113
"ENSMUSG00000034324",1,0,0,3,1,3
"ENSMUSG00000034327",972,855,945,902,1113,974
"ENSMUSG00000034329",25,12,20,12,34,13
"ENSMUSG00000034330",137,62,112,113,115,111
"ENSMUSG00000034333",79,66,78,107,93,80
"ENSMUSG00000034334",25,29,30,31,36,16
"ENSMUSG00000034336",0,0,0,0,2,0
"ENSMUSG00000034339",0,1,0,0,0,0
"ENSMUSG00000034341",1146,887,1178,971,922,1030
"ENSMUSG00000034342",663,289,404,383,431,467
"ENSMUSG00000034343",486,518,663,586,577,467
"ENSMUSG00000034345",468,575,499,541,513,423
"ENSMUSG00000034349",541,269,313,317,354,271
"ENSMUSG00000034353",160,99,141,75,57,50
"ENSMUSG00000034354",1159,682,1024,1001,990,1151
"ENSMUSG00000034359",0,0,0,0,0,0
"ENSMUSG00000034361",70,45,69,69,62,57
"ENSMUSG00000034362",0,0,0,0,0,0
"ENSMUSG00000034371",119,54,81,104,86,99
"ENSMUSG00000034377",881,543,733,672,668,640
"ENSMUSG00000034379",108,88,95,79,84,86
"ENSMUSG00000034382",19,12,9,9,6,6
"ENSMUSG00000034384",0,0,0,0,0,0
"ENSMUSG00000034387",47,47,75,58,52,39
"ENSMUSG00000034390",127,33,83,83,105,82
"ENSMUSG00000034391",0,0,0,0,0,0
"ENSMUSG00000034394",16,6,6,11,2,1
"ENSMUSG00000034401",153,118,108,136,89,95
"ENSMUSG00000034402",0,0,0,0,0,0
"ENSMUSG00000034403",517,318,431,390,413,408
"ENSMUSG00000034412",175,144,182,135,134,123
"ENSMUSG00000034413",81,55,72,97,79,62
"ENSMUSG00000034416",1,0,0,0,0,1
"ENSMUSG00000034422",523,427,656,626,666,578
"ENSMUSG00000034424",654,920,860,934,861,702
"ENSMUSG00000034427",1,3,1,3,0,2
"ENSMUSG00000034429",115,91,112,82,76,75
"ENSMUSG00000034430",282,226,295,206,235,243
"ENSMUSG00000034432",1092,890,1223,1203,1101,1036
"ENSMUSG00000034435",1,2,4,8,3,11
"ENSMUSG00000034437",13,14,17,22,14,8
"ENSMUSG00000034438",49,18,5,10,7,3
"ENSMUSG00000034442",812,618,714,599,641,633
"ENSMUSG00000034445",284,223,288,226,264,263
"ENSMUSG00000034449",1201,1086,1255,917,1026,970
"ENSMUSG00000034450",0,3,0,10,1,0
"ENSMUSG00000034452",2,5,2,3,4,2
"ENSMUSG00000034453",248,179,208,206,267,216
"ENSMUSG00000034456",1,6,1,19,1,0
"ENSMUSG00000034457",88,54,51,89,82,60
"ENSMUSG00000034459",119,116,147,205,176,93
"ENSMUSG00000034460",113,112,106,101,83,98
"ENSMUSG00000034462",1069,522,708,718,711,756
"ENSMUSG00000034463",87,57,65,40,45,34
"ENSMUSG00000034467",0,0,2,0,1,0
"ENSMUSG00000034471",841,569,705,689,660,798
"ENSMUSG00000034472",37,32,36,46,49,49
"ENSMUSG00000034473",240,244,249,273,214,207
"ENSMUSG00000034480",263,192,243,251,235,229
"ENSMUSG00000034482",0,0,0,0,0,0
"ENSMUSG00000034484",687,620,536,712,607,434
"ENSMUSG00000034485",937,851,1085,1163,1019,960
"ENSMUSG00000034486",2,1,0,6,0,1
"ENSMUSG00000034487",327,250,202,234,256,209
"ENSMUSG00000034488",9,3,7,6,11,5
"ENSMUSG00000034493",4,1,0,3,1,1
"ENSMUSG00000034501",117,102,99,104,86,83
"ENSMUSG00000034509",207,156,196,164,187,165
"ENSMUSG00000034518",243,159,184,250,215,195
"ENSMUSG00000034520",371,265,317,364,341,321
"ENSMUSG00000034522",212,168,152,237,182,177
"ENSMUSG00000034525",1098,800,966,1215,1115,1214
"ENSMUSG00000034528",2,6,1,8,2,0
"ENSMUSG00000034532",26,13,13,14,11,10
"ENSMUSG00000034533",73,25,76,9,16,14
"ENSMUSG00000034538",20,18,20,13,9,17
"ENSMUSG00000034543",525,399,548,445,420,444
"ENSMUSG00000034544",307,236,252,230,242,190
"ENSMUSG00000034551",20,6,5,8,11,6
"ENSMUSG00000034552",0,0,0,0,0,0
"ENSMUSG00000034555",0,0,0,0,0,0
"ENSMUSG00000034557",644,445,516,569,514,584
"ENSMUSG00000034560",433,221,290,347,334,278
"ENSMUSG00000034563",149,219,168,128,111,90
"ENSMUSG00000034566",10049,17083,13596,13425,12521,9101
"ENSMUSG00000034570",437,221,462,358,260,286
"ENSMUSG00000034573",147,67,104,56,77,55
"ENSMUSG00000034574",1257,924,1024,1260,1210,1319
"ENSMUSG00000034575",219,179,248,263,235,195
"ENSMUSG00000034579",6,8,10,2,10,6
"ENSMUSG00000034583",0,0,0,0,0,0
"ENSMUSG00000034584",2,0,0,0,0,1
"ENSMUSG00000034586",54,32,51,51,38,40
"ENSMUSG00000034587",26,21,20,27,12,17
"ENSMUSG00000034591",30,17,37,27,11,20
"ENSMUSG00000034593",291,155,190,252,176,156
"ENSMUSG00000034595",319,186,264,230,262,220
"ENSMUSG00000034601",103,49,89,87,79,75
"ENSMUSG00000034602",1122,693,893,656,830,857
"ENSMUSG00000034607",0,2,0,0,0,0
"ENSMUSG00000034610",513,208,330,342,429,392
"ENSMUSG00000034612",186,45,97,58,76,78
"ENSMUSG00000034613",151,108,138,162,158,192
"ENSMUSG00000034614",720,524,625,470,492,494
"ENSMUSG00000034616",179,98,126,99,102,112
"ENSMUSG00000034617",220,177,204,236,213,211
"ENSMUSG00000034620",370,419,416,464,398,359
"ENSMUSG00000034621",774,414,683,474,494,496
"ENSMUSG00000034623",6,20,10,17,17,16
"ENSMUSG00000034634",10,9,2,5,4,5
"ENSMUSG00000034636",1366,814,1072,1160,1376,1216
"ENSMUSG00000034639",44,45,43,46,48,31
"ENSMUSG00000034640",398,228,245,276,216,179
"ENSMUSG00000034641",80,83,53,92,82,49
"ENSMUSG00000034645",0,0,0,1,4,2
"ENSMUSG00000034647",430,235,280,202,299,254
"ENSMUSG00000034648",6,0,9,27,5,10
"ENSMUSG00000034652",44,46,39,49,39,36
"ENSMUSG00000034653",392,200,270,259,301,236
"ENSMUSG00000034656",74,40,38,64,58,48
"ENSMUSG00000034659",1530,1269,1737,1521,1289,1417
"ENSMUSG00000034660",0,0,0,0,0,0
"ENSMUSG00000034663",156,94,113,129,127,159
"ENSMUSG00000034664",65,160,29,26,17,16
"ENSMUSG00000034667",729,582,705,741,683,750
"ENSMUSG00000034673",300,271,263,262,259,196
"ENSMUSG00000034674",249,163,200,228,190,176
"ENSMUSG00000034675",165,103,123,103,103,55
"ENSMUSG00000034677",0,0,0,0,0,0
"ENSMUSG00000034681",687,554,701,646,616,622
"ENSMUSG00000034683",0,3,0,1,1,3
"ENSMUSG00000034684",253,111,192,169,167,143
"ENSMUSG00000034685",66,43,54,66,33,36
"ENSMUSG00000034686",11,6,9,9,3,4
"ENSMUSG00000034687",297,3,162,5,5,8
"ENSMUSG00000034689",0,0,0,0,0,0
"ENSMUSG00000034690",0,0,0,0,0,0
"ENSMUSG00000034701",0,0,0,0,0,0
"ENSMUSG00000034706",3,4,4,2,1,4
"ENSMUSG00000034707",1830,1271,1822,1548,1561,1644
"ENSMUSG00000034708",1301,997,1110,1155,952,980
"ENSMUSG00000034709",192,139,153,131,153,175
"ENSMUSG00000034714",75,42,56,60,41,45
"ENSMUSG00000034723",2007,1123,1517,1120,1149,1015
"ENSMUSG00000034724",895,783,699,829,747,678
"ENSMUSG00000034729",291,290,322,278,300,248
"ENSMUSG00000034730",5,1,1,2,2,0
"ENSMUSG00000034731",256,128,175,182,197,203
"ENSMUSG00000034732",2,0,0,0,3,0
"ENSMUSG00000034738",106,91,120,126,122,99
"ENSMUSG00000034739",0,0,0,2,0,1
"ENSMUSG00000034744",199,238,217,193,228,161
"ENSMUSG00000034748",91,56,70,52,66,64
"ENSMUSG00000034751",602,258,475,449,455,491
"ENSMUSG00000034755",3,1,1,0,0,0
"ENSMUSG00000034757",383,270,436,365,353,308
"ENSMUSG00000034758",52,68,79,54,63,54
"ENSMUSG00000034761",610,492,538,636,626,567
"ENSMUSG00000034762",8,0,5,4,0,1
"ENSMUSG00000034764",0,4,1,0,0,0
"ENSMUSG00000034765",141,127,130,89,89,109
"ENSMUSG00000034768",27,9,23,20,22,11
"ENSMUSG00000034771",225,145,223,137,176,157
"ENSMUSG00000034773",7,2,3,11,12,6
"ENSMUSG00000034774",2,1,0,0,0,1
"ENSMUSG00000034777",0,0,0,0,0,0
"ENSMUSG00000034780",48,18,27,18,13,15
"ENSMUSG00000034781",864,735,816,862,758,668
"ENSMUSG00000034783",7,1,1,2,0,3
"ENSMUSG00000034785",0,1,0,5,0,0
"ENSMUSG00000034786",21,23,20,19,14,22
"ENSMUSG00000034789",488,588,520,415,439,368
"ENSMUSG00000034792",7,9,12,12,4,2
"ENSMUSG00000034793",383,376,428,381,375,426
"ENSMUSG00000034795",49,30,33,23,40,34
"ENSMUSG00000034796",13,5,15,8,11,6
"ENSMUSG00000034799",17,26,27,19,11,15
"ENSMUSG00000034800",56,58,49,54,52,50
"ENSMUSG00000034801",706,474,568,565,687,613
"ENSMUSG00000034807",817,590,799,866,762,735
"ENSMUSG00000034810",757,681,517,386,523,459
"ENSMUSG00000034813",7,3,6,2,5,3
"ENSMUSG00000034818",2,1,4,3,2,2
"ENSMUSG00000034820",873,724,893,707,714,769
"ENSMUSG00000034825",2,1,2,2,1,1
"ENSMUSG00000034826",301,208,259,286,234,267
"ENSMUSG00000034829",4,0,0,2,2,1
"ENSMUSG00000034832",448,241,323,360,367,380
"ENSMUSG00000034833",13,8,4,1,3,1
"ENSMUSG00000034837",0,4,0,2,0,0
"ENSMUSG00000034839",26,32,27,13,9,6
"ENSMUSG00000034842",4003,3304,4719,4338,3756,2976
"ENSMUSG00000034845",441,33,226,96,23,38
"ENSMUSG00000034848",199,138,161,169,148,186
"ENSMUSG00000034850",795,706,846,734,669,740
"ENSMUSG00000034853",404,274,359,391,328,328
"ENSMUSG00000034854",171,153,181,155,121,141
"ENSMUSG00000034855",13,11,4,24,10,5
"ENSMUSG00000034858",764,484,475,539,580,489
"ENSMUSG00000034863",377,328,364,372,328,312
"ENSMUSG00000034867",292,203,263,210,181,192
"ENSMUSG00000034868",34,22,35,13,33,27
"ENSMUSG00000034871",11,3,5,1,2,0
"ENSMUSG00000034872",57,34,53,62,72,63
"ENSMUSG00000034875",975,946,1036,938,806,702
"ENSMUSG00000034880",377,516,507,529,461,377
"ENSMUSG00000034881",38,18,16,30,34,18
"ENSMUSG00000034883",1,1,0,1,0,0
"ENSMUSG00000034889",233,197,260,220,204,209
"ENSMUSG00000034891",0,0,0,0,0,0
"ENSMUSG00000034892",348,560,377,485,365,294
"ENSMUSG00000034893",452,314,366,399,397,384
"ENSMUSG00000034898",733,321,589,745,629,811
"ENSMUSG00000034902",631,273,501,512,461,424
"ENSMUSG00000034903",1117,859,833,932,982,1265
"ENSMUSG00000034906",23,14,7,48,12,24
"ENSMUSG00000034908",1156,730,970,914,854,947
"ENSMUSG00000034910",383,358,406,448,434,425
"ENSMUSG00000034911",1096,881,1202,1068,1052,1083
"ENSMUSG00000034912",2,3,5,5,5,5
"ENSMUSG00000034913",0,0,0,0,0,0
"ENSMUSG00000034917",0,1,0,1,0,1
"ENSMUSG00000034918",0,0,0,0,0,0
"ENSMUSG00000034919",0,2,1,0,3,1
"ENSMUSG00000034923",1,1,2,0,0,0
"ENSMUSG00000034926",67,25,41,75,38,24
"ENSMUSG00000034928",724,477,642,584,556,589
"ENSMUSG00000034930",180,112,180,101,82,86
"ENSMUSG00000034931",262,166,255,257,263,284
"ENSMUSG00000034932",254,418,359,352,257,210
"ENSMUSG00000034936",298,179,280,170,122,113
"ENSMUSG00000034940",548,361,494,426,491,458
"ENSMUSG00000034947",119,106,101,110,103,68
"ENSMUSG00000034949",68,40,77,52,53,49
"ENSMUSG00000034951",330,245,351,291,321,329
"ENSMUSG00000034957",132,108,85,94,59,43
"ENSMUSG00000034958",5,5,16,11,3,3
"ENSMUSG00000034959",21,19,19,23,15,14
"ENSMUSG00000034968",7,3,6,7,5,3
"ENSMUSG00000034973",449,267,340,408,439,407
"ENSMUSG00000034974",275,231,266,220,203,187
"ENSMUSG00000034981",2185,1366,1989,1285,1427,1747
"ENSMUSG00000034987",17,10,8,9,32,46
"ENSMUSG00000034990",0,0,0,3,1,1
"ENSMUSG00000034993",421,244,322,386,265,237
"ENSMUSG00000034994",18138,18013,20218,17051,17040,17037
"ENSMUSG00000034997",36,10,27,30,17,19
"ENSMUSG00000034998",240,131,162,177,139,134
"ENSMUSG00000035000",186,52,45,71,29,52
"ENSMUSG00000035004",40,39,22,54,28,21
"ENSMUSG00000035007",240,245,262,167,217,219
"ENSMUSG00000035011",428,219,328,306,317,336
"ENSMUSG00000035020",4,4,4,0,0,0
"ENSMUSG00000035021",166,90,106,125,145,147
"ENSMUSG00000035024",436,209,314,307,314,329
"ENSMUSG00000035027",927,953,1016,940,832,808
"ENSMUSG00000035031",0,13,0,15,0,0
"ENSMUSG00000035032",1,0,1,0,0,1
"ENSMUSG00000035033",1,0,1,0,0,0
"ENSMUSG00000035041",1,6,0,10,3,5
"ENSMUSG00000035042",4,8,9,19,3,9
"ENSMUSG00000035045",24,8,7,12,9,17
"ENSMUSG00000035047",263,207,298,215,189,200
"ENSMUSG00000035048",449,764,565,541,551,354
"ENSMUSG00000035049",218,143,283,287,199,259
"ENSMUSG00000035051",249,139,214,199,210,202
"ENSMUSG00000035057",0,0,0,0,0,0
"ENSMUSG00000035062",42,25,15,43,40,30
"ENSMUSG00000035064",549,463,501,460,500,470
"ENSMUSG00000035067",64,34,36,22,18,27
"ENSMUSG00000035069",415,370,543,588,527,467
"ENSMUSG00000035078",251,174,217,253,240,189
"ENSMUSG00000035085",0,1,1,0,1,0
"ENSMUSG00000035086",1019,884,1015,919,918,756
"ENSMUSG00000035093",763,395,520,517,568,517
"ENSMUSG00000035095",23,4,7,11,5,3
"ENSMUSG00000035104",54,42,50,87,60,37
"ENSMUSG00000035105",1009,706,765,1176,1353,1197
"ENSMUSG00000035107",554,382,467,431,402,387
"ENSMUSG00000035109",27,20,34,33,23,26
"ENSMUSG00000035112",301,123,254,174,161,175
"ENSMUSG00000035121",40,16,43,24,27,21
"ENSMUSG00000035125",84,56,58,67,51,47
"ENSMUSG00000035126",20,28,20,17,6,8
"ENSMUSG00000035129",1,0,0,0,0,0
"ENSMUSG00000035131",0,1,0,0,0,0
"ENSMUSG00000035133",1511,1127,1028,1326,1350,1018
"ENSMUSG00000035139",328,320,382,310,345,355
"ENSMUSG00000035142",205,183,187,212,199,143
"ENSMUSG00000035148",0,0,0,2,0,0
"ENSMUSG00000035150",479,284,389,498,549,469
"ENSMUSG00000035151",280,279,205,312,307,254
"ENSMUSG00000035152",910,643,878,802,767,842
"ENSMUSG00000035158",803,960,746,860,798,853
"ENSMUSG00000035161",396,302,323,303,274,318
"ENSMUSG00000035164",165,67,92,123,141,117
"ENSMUSG00000035165",8,5,0,5,7,9
