"","RR1_GST-R_FLT_M23","RR1_GST-R_FLT_M24","RR1_GST-R_FLT_M25","RR1_GST-R_FLT_M26","RR1_GST-R_GC_M33","RR1_GST-R_GC_M34","RR1_GST-R_GC_M35","RR1_GST-R_GC_M36","RR1_GST-R_GC_M37","RR1_GST-R_GC_M38","RR1_GST-R_GC_M39","RR1_GST-R_GC_M40"
"ENSMUSG00000083283",0,0,2,2,1,0,0,4,1,0,0,0
"ENSMUSG00000083284",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083285",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083287",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083288",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083289",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083290",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083291",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083292",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083293",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083294",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083296",1,0,0,0,0,0,1,2,0,0,0,0
"ENSMUSG00000083297",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083298",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083299",6,2,3,0,2,1,5,13,3,1,2,2
"ENSMUSG00000083300",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083303",0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000083304",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083305",0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083306",1,0,0,19,39,0,0,82,0,0,0,0
"ENSMUSG00000083307",0,2,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083309",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083310",0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000083311",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083312",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083314",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083315",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083316",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083317",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083318",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083319",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083320",0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083321",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083324",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083325",1,2,2,1,0,0,1,11,9,1,1,0
"ENSMUSG00000083326",2,0,2,1,0,1,0,3,1,0,2,1
"ENSMUSG00000083327",6,11,3,19,3,3,2,12,5,3,1,4
"ENSMUSG00000083328",1,0,0,0,0,8,0,4,0,0,0,1
"ENSMUSG00000083329",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083330",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083331",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083332",0,0,0,2,0,0,0,0,0,0,0,0
"ENSMUSG00000083333",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083334",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083335",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083336",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083337",138,115,109,87,134,47,39,214,191,99,62,76
"ENSMUSG00000083338",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083339",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083340",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083341",2,0,1,1,2,0,0,3,2,1,1,0
"ENSMUSG00000083342",1,2,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083343",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083344",0,1,1,0,5,0,0,0,7,0,0,0
"ENSMUSG00000083345",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083346",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083347",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083348",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083350",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083351",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083352",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083353",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083355",0,0,0,0,0,0,0,0,2,0,0,0
"ENSMUSG00000083356",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083358",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083359",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083361",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083362",0,1,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000083363",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083364",9,1,2,0,16,11,0,53,4,0,2,4
"ENSMUSG00000083365",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083366",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083367",0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000083368",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083369",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083371",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083372",0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000083373",0,0,0,0,0,1,0,0,1,0,0,1
"ENSMUSG00000083374",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083375",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083376",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083377",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083378",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083379",0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000083380",115,90,74,101,140,34,63,170,139,66,80,82
"ENSMUSG00000083381",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083382",2,0,1,2,0,1,0,4,0,3,0,0
"ENSMUSG00000083383",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083384",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083385",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083386",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083387",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083388",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083389",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083390",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083391",12,4,15,5,7,1,2,4,6,3,6,4
"ENSMUSG00000083392",0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000083393",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083394",2,0,0,2,0,0,4,0,4,2,0,0
"ENSMUSG00000083395",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083396",0,0,0,0,1,0,0,2,1,0,0,0
"ENSMUSG00000083397",1,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000083398",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083399",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083401",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083402",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083403",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083404",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083405",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083406",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083407",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083409",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083410",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083411",0,2,0,0,0,0,2,0,1,0,0,0
"ENSMUSG00000083412",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083413",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083414",0,0,0,0,0,0,1,1,0,1,0,0
"ENSMUSG00000083416",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083417",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083418",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083419",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083420",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083421",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083422",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083423",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083424",19,25,18,13,13,0,7,47,38,13,9,2
"ENSMUSG00000083425",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083427",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083428",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083429",3,6,0,0,0,0,1,3,1,3,0,0
"ENSMUSG00000083430",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083431",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083432",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083434",0,7,1,0,1,0,0,0,0,0,0,44
"ENSMUSG00000083435",0,0,0,0,0,0,0,0,6,0,0,0
"ENSMUSG00000083436",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083437",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083438",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083439",7,6,5,1,2,0,3,5,3,4,0,5
"ENSMUSG00000083440",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083441",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083443",0,0,0,0,0,0,0,4,0,0,0,0
"ENSMUSG00000083444",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083445",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083446",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083447",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083448",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083449",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083450",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083451",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083452",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083453",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083454",0,1,0,1,1,0,0,2,3,1,0,2
"ENSMUSG00000083455",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083456",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083457",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083458",0,0,0,0,0,0,0,0,6,0,0,0
"ENSMUSG00000083460",22,18,40,13,43,31,8,39,75,40,14,8
"ENSMUSG00000083461",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083462",6,3,2,4,4,1,0,7,5,3,1,1
"ENSMUSG00000083463",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083465",3,1,2,3,0,0,1,0,2,1,1,0
"ENSMUSG00000083466",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083467",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083468",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083469",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083470",0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000083471",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083472",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083473",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083474",0,1,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000083475",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083477",4,0,0,0,0,0,0,5,0,0,0,0
"ENSMUSG00000083478",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083481",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083482",0,0,0,0,0,0,1,1,3,0,0,1
"ENSMUSG00000083483",2,3,3,4,4,1,1,13,1,3,3,1
"ENSMUSG00000083484",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083485",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083486",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083487",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083488",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083489",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083490",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083491",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083492",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083493",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083494",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083495",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083496",1,0,0,0,3,0,0,6,6,0,0,2
"ENSMUSG00000083498",0,1,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000083499",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083500",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083501",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083502",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083503",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083505",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083507",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083508",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083509",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083510",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083512",0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000083513",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083514",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083515",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083516",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083517",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083518",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083519",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083520",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083522",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083524",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083527",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083528",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083530",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083533",0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000083534",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083535",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083536",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083537",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083538",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083539",1,3,0,0,0,0,0,6,3,3,0,3
"ENSMUSG00000083541",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083542",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083543",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083544",0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000083545",0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000083546",0,0,0,0,0,0,0,14,0,0,0,0
"ENSMUSG00000083547",0,0,0,0,0,1,1,3,1,0,0,0
"ENSMUSG00000083548",0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000083549",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083550",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083551",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083553",0,0,0,3,0,1,7,0,0,0,0,0
"ENSMUSG00000083554",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083555",0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083556",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083557",0,0,0,0,3,0,0,0,9,0,0,0
"ENSMUSG00000083558",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083560",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083561",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083562",0,1,0,0,0,0,0,2,0,0,0,0
"ENSMUSG00000083563",105,63,47,7,75,36,89,78,62,16,101,25
"ENSMUSG00000083564",0,0,0,0,1,0,0,1,0,0,0,0
"ENSMUSG00000083565",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083566",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083567",37,43,48,34,33,13,28,48,45,43,27,18
"ENSMUSG00000083568",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083569",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083570",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083572",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083573",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083574",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083576",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083577",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083579",2,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083580",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083581",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083582",1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083584",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083585",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083586",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083587",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083588",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083590",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083592",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083594",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083595",0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000083596",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083597",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083598",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083599",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083601",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083602",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083603",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083605",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083606",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083607",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083608",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083609",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083610",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083611",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083613",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083614",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083615",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083616",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083617",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083618",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083619",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083620",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083621",233,149,172,192,207,50,127,323,277,104,90,99
"ENSMUSG00000083622",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083623",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083624",0,2,2,0,0,0,0,0,1,0,0,0
"ENSMUSG00000083625",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083626",4,8,4,1,11,4,2,12,11,1,3,3
"ENSMUSG00000083627",0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000083628",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083629",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083630",0,0,0,0,0,0,2,2,0,1,0,0
"ENSMUSG00000083631",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083632",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083633",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083635",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083636",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083637",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083640",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083641",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083642",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083643",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083644",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083645",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083646",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083648",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083649",8,2,0,22,0,0,8,53,22,0,0,22
"ENSMUSG00000083650",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083651",0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000083653",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083654",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083655",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083657",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083658",0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083659",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083660",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083661",0,1,0,0,1,0,0,0,1,0,1,0
"ENSMUSG00000083662",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083663",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083664",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083665",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083666",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083667",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083668",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083669",2,3,1,0,11,0,0,1,5,5,1,0
"ENSMUSG00000083670",0,0,0,10,6,0,0,0,0,0,0,0
"ENSMUSG00000083671",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083672",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083673",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083674",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083676",3,1,0,0,0,0,0,1,5,0,0,0
"ENSMUSG00000083677",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083678",0,0,5,3,3,0,3,17,2,1,1,1
"ENSMUSG00000083679",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083680",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083681",0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000083682",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083683",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083684",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083685",0,0,1,0,0,0,1,0,0,0,0,0
"ENSMUSG00000083686",0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000083687",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083688",0,0,0,0,1,0,0,0,3,2,1,0
"ENSMUSG00000083689",0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000083691",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083692",2,0,0,0,0,1,0,1,2,1,0,0
"ENSMUSG00000083693",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083695",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083697",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083698",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083699",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083700",0,0,0,0,0,0,0,0,0,0,0,4
"ENSMUSG00000083701",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083702",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083704",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083705",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083706",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083707",2,0,1,0,0,1,0,2,1,0,1,4
"ENSMUSG00000083708",0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000083709",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083710",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083711",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083713",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083714",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083715",0,0,0,0,0,0,0,0,0,0,0,0
