"","EU181","EU182","EU183","EU184","EU185","EU186","EU187","EU188","EU189","EU190","EU191","EU192","EU226","EU228","EU229","EU230","EU231","EU236"
"ENSMUSG00000071195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071202",0,0,0,2,6,1,0,1,2,0,1,8,0,0,0,2,0,0
"ENSMUSG00000071203",3,5,4,6,9,16,5,10,2,0,5,1,0,74,4,3,2,0
"ENSMUSG00000071204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071207",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071226",1,0,0,0,0,0,1,0,1,0,0,0,3,1,1,1,0,12
"ENSMUSG00000071229",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000071230",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071234",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000071235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071237",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071252",5,2,0,1,14,33,9,32,3,1,16,1,5,0,5,1,2,0
"ENSMUSG00000071253",28,35,25,92,236,112,84,117,26,0,96,71,17,75,75,17,19,64
"ENSMUSG00000071256",4,8,1,17,25,18,22,35,29,0,23,11,13,10,43,46,0,14
"ENSMUSG00000071262",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000071265",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071266",14,5,4,14,28,68,34,17,3,0,21,9,1,3,7,6,8,15
"ENSMUSG00000071267",59,38,13,59,193,136,54,57,16,0,60,34,16,14,31,44,20,14
"ENSMUSG00000071273",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071275",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071276",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071280",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"ENSMUSG00000071281",25,10,5,15,76,32,35,41,9,0,28,14,12,19,46,32,15,4
"ENSMUSG00000071291",167,159,131,166,462,206,260,266,107,0,35,142,329,121,15,159,402,1
"ENSMUSG00000071294",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000071302",9,29,6,18,30,56,25,19,9,0,22,28,12,15,31,10,11,10
"ENSMUSG00000071303",1,2,1,4,8,5,0,3,0,0,4,2,0,3,1,3,2,2
"ENSMUSG00000071311",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071317",18,105,113,35,284,160,27,90,104,0,91,93,9,49,68,27,30,65
"ENSMUSG00000071322",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071324",2,1,0,1,4,0,0,15,0,0,6,1,2,5,9,2,2,9
"ENSMUSG00000071332",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000071335",2,0,5,0,12,4,4,15,1,0,0,2,1,2,11,9,2,0
"ENSMUSG00000071337",331,437,26,62,168,239,90,174,246,8,112,95,30,73,117,64,44,86
"ENSMUSG00000071340",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071341",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071342",0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071343",2,2,2,1,0,1,0,3,1,0,4,0,0,3,1,2,0,2
"ENSMUSG00000071347",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ENSMUSG00000071350",10,19,10,21,116,43,17,20,0,0,28,5,6,7,22,10,2,4
"ENSMUSG00000071356",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071359",66,91,35,92,187,148,141,211,53,3,147,56,52,90,136,111,35,62
"ENSMUSG00000071361",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071369",5,4,4,3,13,10,1,5,6,0,5,70,4,7,28,26,43,22
"ENSMUSG00000071379",50,93,52,67,180,79,64,122,71,1,104,60,46,81,169,88,65,169
"ENSMUSG00000071392",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071398",0,1,0,1,1,0,0,1,0,0,2,0,0,0,1,6,0,3
"ENSMUSG00000071414",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"ENSMUSG00000071415",1557,1702,888,1676,3093,2398,1817,1949,1606,5,3069,1549,840,1704,2110,1767,1052,418
"ENSMUSG00000071419",8,9,2,10,16,11,10,15,9,1,10,6,11,19,25,6,12,4
"ENSMUSG00000071424",1,0,0,0,0,0,0,0,0,4,0,0,0,1,5,0,0,0
"ENSMUSG00000071428",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071434",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071451",52,39,52,50,87,82,66,121,79,0,100,29,29,116,164,96,36,49
"ENSMUSG00000071452",1,4,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071454",46,48,33,24,138,132,83,142,81,2,86,43,70,73,429,117,11,76
"ENSMUSG00000071456",7,4,1,1,7,8,2,4,1,0,6,6,0,6,5,1,0,1
"ENSMUSG00000071470",0,0,0,1,10,3,0,38,0,0,1,1,0,0,2,0,4,1
"ENSMUSG00000071471",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"ENSMUSG00000071475",2,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,6
"ENSMUSG00000071477",19,41,10,219,105,49,274,330,51,1,45,58,61,46,148,45,11,43
"ENSMUSG00000071478",0,31,2,1,69,4,3,4,0,0,2,0,0,0,0,4,0,0
"ENSMUSG00000071481",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071489",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"ENSMUSG00000071490",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071491",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071493",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071494",0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
"ENSMUSG00000071497",6,3,0,8,6,6,4,6,1,0,2,5,10,1,6,0,2,13
"ENSMUSG00000071506",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000071510",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000071516",0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"ENSMUSG00000071517",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071519",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071521",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071522",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071528",51,75,39,55,127,95,106,224,128,0,110,140,13,71,60,67,70,55
"ENSMUSG00000071531",1,0,2,0,5,0,0,1,0,0,2,0,1,2,1,4,0,0
"ENSMUSG00000071532",1,1,0,1,6,2,1,2,4,0,3,0,7,2,10,9,0,0
"ENSMUSG00000071533",1871,3148,667,1857,7234,6492,2944,5929,2493,7,481,2698,901,3594,1514,1400,1059,815
"ENSMUSG00000071537",5,14,2,20,43,37,64,16,20,0,18,8,6,9,8,5,5,8
"ENSMUSG00000071540",0,1,0,0,4,4,0,0,0,0,0,0,0,2,2,1,0,3
"ENSMUSG00000071547",30,101,40,43,97,62,18,36,145,0,187,118,35,67,294,51,83,200
"ENSMUSG00000071550",0,3,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,2
"ENSMUSG00000071551",1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,1
"ENSMUSG00000071552",11,20,23,20,27,26,27,38,22,0,22,12,2,3,29,15,2,0
"ENSMUSG00000071553",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071561",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071562",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071568",1,2,0,5,11,0,4,2,6,0,3,0,0,3,1,1,0,0
"ENSMUSG00000071573",4,5,1,5,29,7,11,11,2,0,9,5,0,1,4,3,0,1
"ENSMUSG00000071586",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071591",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000071604",0,4,0,0,10,0,2,5,0,0,9,0,1,2,16,7,14,5
"ENSMUSG00000071613",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071629",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071632",30,49,3,56,35,41,22,80,17,0,31,36,30,65,103,39,19,27
"ENSMUSG00000071633",0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071636",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071637",27,47,13,14,58,36,27,47,44,0,79,40,28,77,151,78,36,92
"ENSMUSG00000071640",0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
"ENSMUSG00000071644",236,277,165,242,734,436,207,398,436,2,326,289,154,358,490,311,238,265
"ENSMUSG00000071645",14,121,9,7,52,43,19,137,14,0,20,14,24,17,29,24,2,14
"ENSMUSG00000071646",21,85,13,37,336,140,24,54,44,0,59,35,47,52,66,42,175,113
"ENSMUSG00000071647",16,43,1,8,69,45,9,33,16,1,19,2,9,15,24,5,5,41
"ENSMUSG00000071648",4,2,7,6,6,5,0,3,1,0,1,0,32,12,31,20,4,114
"ENSMUSG00000071649",35,34,19,22,116,40,42,79,53,0,56,29,42,82,177,68,40,79
"ENSMUSG00000071650",115,199,46,148,302,231,134,340,132,4,294,105,91,98,126,67,21,133
"ENSMUSG00000071652",26,106,3,16,39,23,34,39,15,2,39,94,27,25,97,4,2,35
"ENSMUSG00000071653",0,0,0,0,5,0,0,0,0,0,1,0,1,2,0,0,0,0
"ENSMUSG00000071654",10,19,9,4,19,9,15,8,5,0,10,6,2,7,14,17,2,10
"ENSMUSG00000071655",128,125,81,100,238,181,154,180,126,0,184,104,61,213,348,141,60,164
"ENSMUSG00000071656",16,34,72,30,105,33,21,121,25,0,57,30,14,15,4,9,2,1
"ENSMUSG00000071657",28,114,57,175,512,321,158,347,4,2,26,68,9,11,27,7,13,45
"ENSMUSG00000071658",3,26,13,37,91,84,35,64,5,0,7,29,8,5,14,9,14,61
"ENSMUSG00000071659",154,223,54,192,292,477,72,455,165,3,84,243,74,77,169,48,98,132
"ENSMUSG00000071660",155,236,31,87,664,470,282,415,165,4,102,113,30,38,58,34,66,30
"ENSMUSG00000071661",0,1,0,6,2,2,4,2,1,0,3,3,9,8,4,1,5,2
"ENSMUSG00000071662",59,33,19,37,168,57,48,153,83,0,49,27,11,54,79,29,23,47
"ENSMUSG00000071665",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071669",0,77,3,2,19,10,3,23,2,0,5,7,6,14,9,3,76,0
"ENSMUSG00000071671",4,5,4,3,3,6,10,2,2,0,5,4,10,15,2,7,30,0
"ENSMUSG00000071679",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"ENSMUSG00000071680",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071686",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071691",4,1,2,1,0,0,1,2,0,0,3,0,0,1,0,0,2,29
"ENSMUSG00000071708",46,44,6,54,115,68,67,86,86,0,61,46,12,26,79,37,19,29
"ENSMUSG00000071711",2,9,1,0,0,1,0,1,0,0,0,0,23,4,9,9,2,10
"ENSMUSG00000071713",5,107,5,4,91,4,26,71,89,0,26,108,16,11,60,26,133,425
"ENSMUSG00000071714",3,0,0,4,10,4,5,5,0,0,3,1,5,0,8,0,1,0
"ENSMUSG00000071715",2,5,3,2,8,4,1,10,8,0,12,6,6,3,37,23,18,383
"ENSMUSG00000071716",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071719",0,0,0,0,0,0,1,1,0,7,0,0,2,1,0,0,0,16
"ENSMUSG00000071721",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071722",85,71,3,52,200,30,382,35,22,1,21,20,6,38,25,26,24,1
"ENSMUSG00000071723",5,2,6,4,29,16,6,27,2,0,11,7,9,11,17,22,14,16
"ENSMUSG00000071724",1,3,0,0,2,2,1,11,2,0,0,20,0,1,7,0,3,0
"ENSMUSG00000071726",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071738",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071745",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071748",7,4,3,4,22,6,14,13,4,1,7,3,1,2,11,3,13,0
"ENSMUSG00000071749",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071750",0,0,0,1,1,0,0,0,0,0,0,1,0,1,2,0,0,0
"ENSMUSG00000071753",0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
"ENSMUSG00000071757",1,18,10,43,82,53,8,17,19,0,20,14,5,13,40,11,14,27
"ENSMUSG00000071763",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071764",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071766",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071767",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071769",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071770",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071771",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071772",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071773",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071788",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071793",21,21,6,6,48,44,42,38,6,0,15,15,1,5,23,3,12,0
"ENSMUSG00000071796",63,95,26,85,180,95,64,183,49,1,27,62,6,41,31,15,17,1
"ENSMUSG00000071815",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071816",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071818",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071847",4,20,5,4,40,24,191,27,98,0,11,24,5,103,158,14,16,7
"ENSMUSG00000071855",10,53,38,8,80,73,61,22,8,1,18,13,4,62,70,19,23,15
"ENSMUSG00000071856",2428,4961,1464,5817,7188,15865,81,4715,6288,13,701,7196,84,178,331,194,55,210
"ENSMUSG00000071858",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071862",14,109,13,256,47,67,11,26,0,5,25,61,3,3,4,0,9,24
"ENSMUSG00000071866",374,607,290,558,1076,751,663,812,641,5,957,452,228,465,595,631,216,412
"ENSMUSG00000071867",6,12,5,3,25,18,6,18,9,0,24,11,1,9,2,7,2,0
"ENSMUSG00000071890",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071893",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071909",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071937",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071952",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071984",57,185,60,114,320,701,41,270,235,1,493,136,98,109,340,52,156,192
"ENSMUSG00000072049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072066",2,6,8,9,15,8,9,21,5,0,15,3,3,6,3,3,4,0
"ENSMUSG00000072068",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072082",52,32,31,87,211,161,50,280,21,0,14,18,20,15,85,61,9,5
"ENSMUSG00000072100",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072109",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072115",27,19,34,59,147,47,58,137,14,0,6,5,382,132,2,10,3,0
"ENSMUSG00000072145",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000072188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000072214",5,9,3,3,18,25,5,7,11,0,19,9,10,25,61,6,0,23
"ENSMUSG00000072235",209,353,167,340,640,403,263,469,448,6,471,308,248,449,452,233,386,875
"ENSMUSG00000072244",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"ENSMUSG00000072249",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072255",6,3,2,5,2,5,6,6,6,0,4,8,5,7,15,1,9,0
"ENSMUSG00000072258",27,32,33,24,113,55,28,48,6,0,16,16,10,17,48,19,8,81
"ENSMUSG00000072259",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072294",1,41,3,2,2,1,4,1,0,5,4,26,6,3,7,1,0,8
"ENSMUSG00000072295",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072324",21,28,7,27,43,25,22,26,26,0,41,26,19,18,25,24,4,11
"ENSMUSG00000072381",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000072387",0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072407",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0
"ENSMUSG00000072419",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000072421",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000072423",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072437",18,53,33,43,160,54,15,44,51,0,61,26,11,26,134,18,32,11
"ENSMUSG00000072460",0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0
"ENSMUSG00000072473",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072476",0,1,0,1,4,0,0,0,0,0,0,3,0,1,0,14,1,4
"ENSMUSG00000072477",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072479",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072487",0,0,0,0,0,1,1,0,3,1,0,1,0,1,0,1,0,0
"ENSMUSG00000072492",1,1,0,1,3,0,4,1,0,0,2,3,0,0,2,0,0,4
"ENSMUSG00000072494",2,1,2,0,2,3,3,1,15,0,11,0,4,2,9,2,0,8
"ENSMUSG00000072501",1029,727,164,365,1374,1344,883,1541,397,3,395,863,136,458,973,316,171,271
"ENSMUSG00000072511",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072541",0,1,0,0,0,0,1,6,0,0,0,0,0,1,1,0,0,0
"ENSMUSG00000072553",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000072568",3,80,47,0,205,124,39,24,52,1,2,72,2,4,12,5,161,27
"ENSMUSG00000072571",0,1,0,0,0,0,0,1,2,0,0,0,0,2,1,0,0,0
"ENSMUSG00000072572",7,63,37,12,17,6,26,7,3,0,3,14,4,11,29,13,130,0
"ENSMUSG00000072573",0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072574",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"ENSMUSG00000072575",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072576",0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,1,0
"ENSMUSG00000072582",60,62,45,68,113,117,45,135,76,0,109,59,28,76,75,58,16,35
"ENSMUSG00000072584",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072589",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
"ENSMUSG00000072591",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000072592",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072594",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072595",0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
"ENSMUSG00000072596",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072598",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072599",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072601",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072605",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072612",0,0,0,4,3,5,5,0,0,0,1,0,0,0,0,0,1,0
"ENSMUSG00000072616",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072618",0,0,0,0,0,5,0,0,0,0,0,0,0,1,2,0,0,0
"ENSMUSG00000072620",2,1,2,1,0,4,2,8,3,0,5,1,2,10,15,11,5,0
"ENSMUSG00000072621",2,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000072623",112,137,33,178,308,424,245,226,80,0,194,129,39,17,56,40,32,41
"ENSMUSG00000072624",1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072625",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072640",11,51,59,10,71,60,15,36,17,0,21,39,11,30,55,23,11,47
"ENSMUSG00000072647",0,0,0,0,1,2,1,165,0,0,1,0,0,3,0,0,2,7
"ENSMUSG00000072653",0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,2
"ENSMUSG00000072660",0,0,0,0,1,0,7,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000072662",0,0,0,26,2,1,0,2,10,0,2,0,0,0,4,0,0,0
"ENSMUSG00000072663",0,0,0,0,3,0,0,1,0,0,0,0,1,0,7,1,0,0
"ENSMUSG00000072664",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072673",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072676",202,152,21,64,574,142,19,60,160,1,51,26,16,26,63,35,6,32
"ENSMUSG00000072677",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072679",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072683",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072686",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072688",0,1,3,0,0,1,2,1,0,0,0,0,0,1,0,1,0,0
"ENSMUSG00000072692",113,127,58,126,195,158,103,162,117,1,190,144,72,190,127,163,95,100
"ENSMUSG00000072693",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072694",6,21,6,8,19,22,22,17,15,2,15,13,4,6,73,17,9,36
"ENSMUSG00000072704",973,1029,444,1321,3833,4454,1143,2928,621,5,794,1770,696,2014,1345,599,206,99
"ENSMUSG00000072707",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072708",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072709",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072714",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000072717",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072718",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072720",1,0,0,1,2,1,0,1,2,0,3,1,3,0,5,0,1,0
"ENSMUSG00000072721",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072722",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072723",0,21,1,0,4,3,1,9,0,0,5,3,1,5,8,0,2,2
"ENSMUSG00000072726",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072731",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072738",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072739",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072753",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072754",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072761",46,46,57,11,139,106,38,25,13,0,19,25,5,8,29,8,4,2
"ENSMUSG00000072762",10,30,6,19,131,22,36,8,1,2,27,31,1,7,1,8,5,1
"ENSMUSG00000072763",9,23,17,11,85,34,27,122,14,0,40,7,3,15,40,12,14,3
"ENSMUSG00000072768",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072769",2,3,2,6,90,83,5,32,24,0,6,5,8,15,51,14,7,51
"ENSMUSG00000072770",254,94,11,13,122,215,133,188,83,0,8,28,11,43,10,12,3,3
"ENSMUSG00000072772",1,0,1,0,5,7,106,5,27,0,8,2,6,10,6,8,7,3
"ENSMUSG00000072774",4,3,1,1,0,16,2,1,0,0,2,1,0,0,0,0,0,0
"ENSMUSG00000072778",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
