"","GSM7708682","GSM7708683","GSM7708684","GSM7708685","GSM7708686","GSM7708687","GSM7708688","GSM7708689","GSM7708690"
"ENSMUSG00000020166",490,455,347,547,498,585,444,540,318
"ENSMUSG00000020167",256,346,283,282,293,362,187,272,174
"ENSMUSG00000020168",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020169",0,0,0,2,0,0,0,0,0
"ENSMUSG00000020170",290,381,354,481,376,541,430,398,275
"ENSMUSG00000020171",227,292,161,291,241,329,232,289,191
"ENSMUSG00000020173",360,375,275,249,321,385,200,300,187
"ENSMUSG00000020175",16,14,22,9,12,6,4,3,15
"ENSMUSG00000020176",48,92,52,55,47,104,39,64,29
"ENSMUSG00000020177",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020178",16,16,23,29,26,67,29,36,16
"ENSMUSG00000020180",524,567,356,740,443,602,476,481,374
"ENSMUSG00000020181",0,0,0,1,0,0,0,0,0
"ENSMUSG00000020182",1121,1433,857,1961,1450,2304,1401,1889,1137
"ENSMUSG00000020183",48,66,64,37,52,72,47,48,29
"ENSMUSG00000020184",497,574,385,712,593,639,575,615,350
"ENSMUSG00000020185",8,7,1,22,10,13,13,12,19
"ENSMUSG00000020186",417,493,335,393,384,515,246,348,229
"ENSMUSG00000020189",724,794,913,872,1115,1680,682,958,655
"ENSMUSG00000020190",3263,4080,2743,2036,2330,2151,1363,1878,1438
"ENSMUSG00000020191",0,3,0,0,1,0,0,1,0
"ENSMUSG00000020193",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020196",184,232,227,511,287,320,304,284,196
"ENSMUSG00000020198",914,1239,948,1460,1075,1384,1092,1338,901
"ENSMUSG00000020205",1073,1543,2501,975,4314,6063,2104,1343,757
"ENSMUSG00000020211",361,355,191,427,315,332,273,351,242
"ENSMUSG00000020212",12,28,1,13,20,20,4,18,12
"ENSMUSG00000020213",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020214",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020216",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020218",2,2,0,0,0,1,2,6,0
"ENSMUSG00000020219",1021,1214,726,1022,917,1061,600,1067,576
"ENSMUSG00000020220",1320,1536,1620,2601,1921,2737,1752,1874,1347
"ENSMUSG00000020224",166,219,121,293,175,182,122,188,100
"ENSMUSG00000020225",761,799,494,682,607,824,540,734,460
"ENSMUSG00000020226",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020227",12,10,6,5,9,15,11,6,10
"ENSMUSG00000020228",169,245,190,309,224,283,177,279,156
"ENSMUSG00000020229",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020230",7,10,9,10,4,21,8,1,5
"ENSMUSG00000020231",32,58,45,41,61,67,26,30,27
"ENSMUSG00000020232",558,632,434,515,465,636,303,468,270
"ENSMUSG00000020234",33,18,13,14,22,18,24,20,21
"ENSMUSG00000020235",200,240,149,247,221,275,152,197,131
"ENSMUSG00000020238",955,1277,888,1369,1031,1277,877,1060,602
"ENSMUSG00000020241",33,73,22,36,51,63,37,35,15
"ENSMUSG00000020246",175,208,225,289,155,294,236,263,132
"ENSMUSG00000020248",350,396,363,615,409,545,368,504,314
"ENSMUSG00000020250",2020,2745,1987,4676,2911,4050,2671,2992,1789
"ENSMUSG00000020251",2,1,0,1,1,2,3,0,1
"ENSMUSG00000020253",231,246,145,181,221,240,161,212,110
"ENSMUSG00000020255",209,266,174,461,279,354,275,340,182
"ENSMUSG00000020256",1,3,17,5,4,4,9,3,1
"ENSMUSG00000020257",826,1004,812,989,954,1103,751,813,539
"ENSMUSG00000020258",5457,8646,6453,7993,7197,8766,5664,7741,4223
"ENSMUSG00000020260",282,332,230,325,367,371,247,239,170
"ENSMUSG00000020261",425,560,570,797,694,764,451,611,528
"ENSMUSG00000020262",213,276,277,287,243,268,213,221,135
"ENSMUSG00000020263",244,224,259,252,255,308,169,275,193
"ENSMUSG00000020264",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020265",837,984,697,1039,973,1266,708,909,751
"ENSMUSG00000020267",2519,3075,1912,3139,2591,3148,2075,2479,1543
"ENSMUSG00000020268",32,47,38,55,17,50,32,50,11
"ENSMUSG00000020270",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020271",437,624,529,740,656,813,569,664,432
"ENSMUSG00000020272",32,54,27,74,44,95,52,54,35
"ENSMUSG00000020273",94,116,115,116,123,116,89,77,86
"ENSMUSG00000020275",88,125,93,128,107,172,149,125,62
"ENSMUSG00000020277",605,759,648,736,631,730,560,640,437
"ENSMUSG00000020279",0,0,0,1,0,0,0,0,0
"ENSMUSG00000020280",263,331,286,312,321,377,220,248,226
"ENSMUSG00000020282",74,95,88,93,71,103,50,67,40
"ENSMUSG00000020283",976,1160,919,1328,996,1399,848,1054,709
"ENSMUSG00000020284",61,65,73,54,69,70,52,73,28
"ENSMUSG00000020286",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020287",97,143,109,148,116,154,92,94,70
"ENSMUSG00000020288",1009,1239,690,1108,893,1102,894,1035,552
"ENSMUSG00000020289",207,238,191,282,195,222,194,238,141
"ENSMUSG00000020290",601,863,738,1342,742,917,476,659,500
"ENSMUSG00000020295",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020297",0,0,0,0,0,0,1,0,0
"ENSMUSG00000020299",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020300",968,1089,1065,1393,1314,2265,1439,1490,1161
"ENSMUSG00000020303",7,3,7,0,0,7,2,0,0
"ENSMUSG00000020305",65,85,58,86,69,89,68,112,73
"ENSMUSG00000020307",1290,1371,871,1988,1360,1602,1066,1484,838
"ENSMUSG00000020308",363,360,227,272,360,362,214,415,253
"ENSMUSG00000020309",456,506,358,376,363,518,379,408,298
"ENSMUSG00000020310",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020311",332,410,289,392,318,353,305,388,236
"ENSMUSG00000020312",3,6,4,1,6,7,3,0,3
"ENSMUSG00000020315",999,1476,1284,1870,1329,1748,1058,1188,883
"ENSMUSG00000020317",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020319",11,41,23,17,26,36,21,36,17
"ENSMUSG00000020321",10346,11174,7172,8504,9118,10572,6441,9490,5735
"ENSMUSG00000020323",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020325",5,4,3,2,2,2,5,3,3
"ENSMUSG00000020326",489,622,534,753,627,711,511,675,383
"ENSMUSG00000020327",4,1,2,0,2,2,4,2,0
"ENSMUSG00000020328",384,550,325,447,453,474,312,294,238
"ENSMUSG00000020329",388,479,421,589,413,550,348,503,301
"ENSMUSG00000020330",3,3,2,0,2,0,1,0,1
"ENSMUSG00000020331",9,5,16,9,8,5,0,17,3
"ENSMUSG00000020332",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020333",1,3,0,3,3,0,0,0,0
"ENSMUSG00000020334",35,48,25,56,31,46,23,30,36
"ENSMUSG00000020335",49,48,40,50,28,86,33,45,44
"ENSMUSG00000020340",12,10,9,28,28,14,9,10,14
"ENSMUSG00000020346",1342,1517,1150,1419,1587,1891,1277,1557,1064
"ENSMUSG00000020349",1980,2388,1594,2464,2035,2676,1983,2344,1471
"ENSMUSG00000020354",0,0,0,0,0,0,0,1,0
"ENSMUSG00000020357",158,278,225,417,310,303,351,310,241
"ENSMUSG00000020358",2665,3086,1840,3262,2630,3311,2471,2986,1748
"ENSMUSG00000020359",461,270,250,304,217,289,304,283,190
"ENSMUSG00000020361",2116,3176,2136,3872,2781,3781,2552,3069,1927
"ENSMUSG00000020362",634,755,800,814,736,885,673,767,559
"ENSMUSG00000020363",3,11,1,12,5,7,2,0,2
"ENSMUSG00000020364",70,78,99,67,59,89,62,73,54
"ENSMUSG00000020366",650,651,673,1033,825,1010,652,761,584
"ENSMUSG00000020368",5164,6876,6077,8733,6888,9991,7162,8637,5465
"ENSMUSG00000020372",4665,6088,3435,5216,4404,4987,4188,4277,2339
"ENSMUSG00000020374",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020375",317,359,282,397,351,460,267,359,290
"ENSMUSG00000020376",758,1048,811,1216,1106,1352,803,1057,735
"ENSMUSG00000020377",6,11,2,15,5,11,3,0,4
"ENSMUSG00000020380",115,121,112,165,106,183,90,111,105
"ENSMUSG00000020381",69,50,49,36,51,49,19,16,41
"ENSMUSG00000020383",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020385",547,458,316,575,427,446,468,451,250
"ENSMUSG00000020386",4178,4369,3151,4313,4036,4834,3252,3787,2404
"ENSMUSG00000020387",149,370,282,210,290,302,172,199,155
"ENSMUSG00000020388",12,20,10,6,11,14,0,2,4
"ENSMUSG00000020389",2,8,0,5,9,4,2,5,3
"ENSMUSG00000020390",1343,1441,1127,999,1135,1227,872,1126,741
"ENSMUSG00000020392",182,270,136,212,205,271,185,207,158
"ENSMUSG00000020393",206,234,205,217,237,229,140,189,164
"ENSMUSG00000020395",4,6,1,8,1,4,6,2,6
"ENSMUSG00000020396",4,1,0,0,5,2,5,0,1
"ENSMUSG00000020397",187,215,197,271,208,228,191,238,155
"ENSMUSG00000020399",0,3,0,1,2,3,6,1,3
"ENSMUSG00000020400",106,129,71,156,138,161,73,164,95
"ENSMUSG00000020401",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020402",3366,4117,2614,3293,3035,3225,2530,2727,1767
"ENSMUSG00000020405",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020407",28,41,15,54,44,36,15,16,21
"ENSMUSG00000020409",389,447,383,586,404,593,427,576,324
"ENSMUSG00000020411",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020412",413,540,398,740,564,571,382,499,316
"ENSMUSG00000020413",78,142,160,222,182,184,103,98,90
"ENSMUSG00000020415",294,300,211,266,269,311,213,277,194
"ENSMUSG00000020419",5,7,0,1,2,0,1,0,2
"ENSMUSG00000020420",15,35,23,26,24,15,17,25,17
"ENSMUSG00000020422",577,814,794,980,951,1197,518,722,481
"ENSMUSG00000020423",181,421,206,286,239,367,211,259,126
"ENSMUSG00000020424",17,27,20,40,13,21,23,8,6
"ENSMUSG00000020427",148,329,167,152,177,281,121,222,111
"ENSMUSG00000020428",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020429",362,278,337,170,190,507,877,491,1376
"ENSMUSG00000020430",375,573,432,698,514,580,461,525,353
"ENSMUSG00000020431",12,35,36,3,11,24,5,2,4
"ENSMUSG00000020432",1186,1412,975,1703,1219,1482,1101,1460,1013
"ENSMUSG00000020434",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020435",5,0,7,1,2,0,2,0,8
"ENSMUSG00000020436",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020437",11,16,18,10,2,29,6,18,7
"ENSMUSG00000020439",71,99,73,114,67,108,65,71,44
"ENSMUSG00000020440",1246,1394,923,1123,1291,1583,949,1173,582
"ENSMUSG00000020441",99,127,83,140,100,110,88,101,62
"ENSMUSG00000020444",581,578,463,629,611,768,471,698,366
"ENSMUSG00000020447",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020448",502,650,459,776,537,665,611,703,315
"ENSMUSG00000020451",58,94,81,122,74,69,61,76,55
"ENSMUSG00000020453",51,51,65,65,62,64,50,34,34
"ENSMUSG00000020454",332,446,329,545,390,544,392,337,308
"ENSMUSG00000020455",320,323,255,368,318,339,271,302,202
"ENSMUSG00000020456",2981,3559,2935,3612,2989,3831,2258,3092,1839
"ENSMUSG00000020457",580,692,564,742,581,785,498,657,422
"ENSMUSG00000020458",941,965,692,1240,1049,1596,841,949,809
"ENSMUSG00000020459",481,537,395,627,483,758,469,527,381
"ENSMUSG00000020460",2384,3041,1865,2467,2167,2729,2169,1998,1266
"ENSMUSG00000020461",0,0,0,0,0,0,0,0,1
"ENSMUSG00000020462",176,228,149,130,132,245,134,187,152
"ENSMUSG00000020463",706,929,794,876,875,1174,887,1036,622
"ENSMUSG00000020464",419,488,306,555,455,626,371,466,304
"ENSMUSG00000020467",101,217,103,98,86,140,80,56,38
"ENSMUSG00000020469",3,5,0,3,1,3,4,0,0
"ENSMUSG00000020471",188,210,166,272,203,170,198,209,141
"ENSMUSG00000020472",180,265,218,211,280,244,206,212,202
"ENSMUSG00000020473",18,52,16,22,1,16,8,2,2
"ENSMUSG00000020474",76,91,60,98,56,71,54,28,53
"ENSMUSG00000020475",2,1,0,0,0,0,0,1,1
"ENSMUSG00000020476",331,489,387,548,378,522,359,467,323
"ENSMUSG00000020477",789,850,561,729,930,888,492,723,507
"ENSMUSG00000020481",0,3,0,2,0,1,0,0,0
"ENSMUSG00000020482",599,745,484,861,761,964,799,971,392
"ENSMUSG00000020483",2701,3353,2801,3791,3868,4490,2779,3452,1872
"ENSMUSG00000020484",3381,4239,3121,4688,3851,5386,4193,5415,2487
"ENSMUSG00000020485",326,339,200,269,305,364,215,275,204
"ENSMUSG00000020486",121,177,106,105,112,148,78,134,83
"ENSMUSG00000020490",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020491",35,39,40,87,49,60,34,39,41
"ENSMUSG00000020492",13,29,18,30,33,15,16,24,2
"ENSMUSG00000020493",5,3,3,2,1,0,1,0,1
"ENSMUSG00000020495",179,247,219,229,202,310,191,218,120
"ENSMUSG00000020496",1601,1870,1362,1615,1716,1954,1307,1881,1164
"ENSMUSG00000020513",76,93,50,97,74,73,85,77,48
"ENSMUSG00000020514",339,334,239,387,322,384,230,275,226
"ENSMUSG00000020515",588,653,545,593,631,665,474,525,417
"ENSMUSG00000020516",515,559,436,770,467,721,548,673,415
"ENSMUSG00000020519",258,330,233,339,352,371,230,355,217
"ENSMUSG00000020520",69,90,51,111,84,121,68,58,59
"ENSMUSG00000020521",500,618,531,653,498,600,439,585,411
"ENSMUSG00000020522",125,260,216,298,201,326,234,257,160
"ENSMUSG00000020523",505,625,512,625,516,742,446,568,418
"ENSMUSG00000020524",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020525",67,85,52,50,102,84,81,61,48
"ENSMUSG00000020526",96,82,43,57,53,84,50,73,54
"ENSMUSG00000020527",125,159,138,200,110,147,103,99,86
"ENSMUSG00000020528",173,184,173,200,144,223,104,168,115
"ENSMUSG00000020530",1164,1382,1005,1499,1185,1459,1059,1251,817
"ENSMUSG00000020532",3009,4288,3543,2772,2332,3233,1322,1549,1208
"ENSMUSG00000020534",4379,4728,3755,3965,4195,5155,3329,3801,2982
"ENSMUSG00000020536",176,207,199,217,225,259,116,223,102
"ENSMUSG00000020537",465,497,294,603,397,507,361,491,307
"ENSMUSG00000020538",4718,5383,4585,7928,6135,7008,4488,3729,1622
"ENSMUSG00000020541",250,367,304,390,359,338,212,312,219
"ENSMUSG00000020542",0,0,0,1,0,0,0,0,0
"ENSMUSG00000020544",199,255,212,260,254,280,141,233,142
"ENSMUSG00000020545",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020546",39,48,53,47,48,81,50,69,56
"ENSMUSG00000020547",115,171,75,172,122,100,100,96,76
"ENSMUSG00000020548",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020549",345,457,322,619,429,576,385,520,316
"ENSMUSG00000020553",1858,1844,1319,3720,2271,2531,1629,1511,1457
"ENSMUSG00000020561",207,331,195,394,256,273,314,378,160
"ENSMUSG00000020562",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020564",177,172,174,220,173,297,133,251,145
"ENSMUSG00000020566",3,0,3,0,0,2,0,1,0
"ENSMUSG00000020570",845,1007,793,1105,1034,1264,889,1050,740
"ENSMUSG00000020571",3862,4152,3898,5963,4610,8510,5504,7767,4783
"ENSMUSG00000020572",1479,1721,1227,1517,1492,1731,1457,1594,778
"ENSMUSG00000020573",5,8,13,15,19,19,13,24,2
"ENSMUSG00000020576",304,351,380,525,401,615,442,437,341
"ENSMUSG00000020577",7,11,10,14,4,19,10,27,9
"ENSMUSG00000020580",495,516,406,819,430,714,630,688,333
"ENSMUSG00000020581",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020583",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020585",2781,3167,2215,2430,2648,3654,2118,2971,1680
"ENSMUSG00000020589",38,75,44,55,77,72,54,41,32
"ENSMUSG00000020590",552,574,541,791,726,1019,703,826,520
"ENSMUSG00000020591",2,2,3,0,0,0,0,0,0
"ENSMUSG00000020592",3541,5235,4002,4919,5478,7126,3918,5154,3571
"ENSMUSG00000020593",4212,6122,2628,737,1016,1376,3143,3193,1928
"ENSMUSG00000020594",1003,1031,1101,1162,991,1600,1175,1214,734
"ENSMUSG00000020598",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020599",1,1,0,2,11,2,1,3,2
"ENSMUSG00000020600",13,8,0,0,0,0,0,0,0
"ENSMUSG00000020601",41,35,20,43,36,44,41,76,29
"ENSMUSG00000020604",504,613,506,147,384,402,199,338,409
"ENSMUSG00000020605",108,155,136,195,146,134,78,147,111
"ENSMUSG00000020607",9,35,28,28,29,30,9,37,15
"ENSMUSG00000020608",366,375,357,443,321,477,330,316,239
"ENSMUSG00000020609",73946,97674,113809,138151,117145,177578,125380,148199,97544
"ENSMUSG00000020610",221,298,189,241,208,277,148,193,151
"ENSMUSG00000020611",550,748,631,708,636,940,566,579,360
"ENSMUSG00000020612",1887,2458,2006,2423,2033,2412,1761,2244,1507
"ENSMUSG00000020614",392,469,367,516,504,543,351,438,370
"ENSMUSG00000020617",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020620",701,911,823,1106,810,1240,878,901,896
"ENSMUSG00000020621",299,352,262,282,337,406,224,333,216
"ENSMUSG00000020622",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020623",63,92,58,40,68,86,47,89,35
"ENSMUSG00000020624",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020627",5,15,3,1,4,1,9,12,0
"ENSMUSG00000020628",366,355,312,372,377,426,306,309,260
"ENSMUSG00000020629",2563,2715,1888,2096,2087,2673,1686,2072,1530
"ENSMUSG00000020630",93,101,55,120,70,116,51,122,42
"ENSMUSG00000020633",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020634",466,616,542,819,645,1021,573,622,447
"ENSMUSG00000020635",0,1,0,1,0,1,0,4,0
"ENSMUSG00000020636",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020638",103,78,71,76,96,202,61,81,74
"ENSMUSG00000020639",6,2,0,24,34,15,8,11,4
"ENSMUSG00000020640",522,628,574,762,600,841,567,681,487
"ENSMUSG00000020641",133,134,77,70,100,241,49,114,149
"ENSMUSG00000020642",56,68,48,95,87,130,51,86,78
"ENSMUSG00000020644",2443,3081,1589,4174,2563,3322,2775,3230,1461
"ENSMUSG00000020646",1,0,8,0,7,0,0,0,0
"ENSMUSG00000020647",293,282,380,464,460,560,294,441,283
"ENSMUSG00000020648",62,93,92,99,84,105,51,79,52
"ENSMUSG00000020649",199,189,116,109,112,159,42,67,58
"ENSMUSG00000020650",128,178,78,161,126,153,101,104,108
"ENSMUSG00000020651",1,2,0,3,4,6,8,10,6
"ENSMUSG00000020652",59,59,51,76,44,52,49,39,24
"ENSMUSG00000020653",88,105,127,97,71,98,80,111,126
"ENSMUSG00000020654",10,19,18,13,29,21,7,22,5
"ENSMUSG00000020656",33,35,33,25,20,28,8,35,18
"ENSMUSG00000020657",4,12,17,14,14,21,6,3,8
"ENSMUSG00000020658",6,6,4,15,5,12,2,7,2
"ENSMUSG00000020659",124,181,142,309,184,213,199,231,140
"ENSMUSG00000020660",2,2,5,1,5,1,3,2,2
"ENSMUSG00000020661",232,327,272,293,289,328,253,211,176
"ENSMUSG00000020664",2182,2774,1845,2706,2462,2991,1908,2531,1601
"ENSMUSG00000020668",35,36,56,33,51,45,45,30,33
"ENSMUSG00000020669",112,94,79,121,114,125,173,129,105
"ENSMUSG00000020671",1531,1845,1415,1699,1570,2080,1388,1744,1177
"ENSMUSG00000020672",118,138,86,75,140,133,74,124,67
"ENSMUSG00000020673",1,0,0,0,0,0,0,0,0
"ENSMUSG00000020674",96,134,88,144,139,208,116,83,96
"ENSMUSG00000020676",0,0,0,0,0,0,0,2,0
"ENSMUSG00000020677",206,299,231,298,274,252,192,302,206
"ENSMUSG00000020679",273,368,251,322,290,301,185,289,180
"ENSMUSG00000020680",854,1029,784,1092,954,1087,704,755,536
"ENSMUSG00000020681",5,11,14,13,16,20,18,20,3
"ENSMUSG00000020682",2,4,3,8,4,0,3,0,0
"ENSMUSG00000020684",9,1,4,3,2,3,2,5,3
"ENSMUSG00000020686",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020687",342,446,328,677,471,720,481,532,302
"ENSMUSG00000020689",36,96,64,59,31,89,121,119,48
"ENSMUSG00000020690",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020691",110,157,73,242,156,185,139,152,95
"ENSMUSG00000020692",57,85,38,110,38,74,58,74,40
"ENSMUSG00000020694",374,431,240,442,419,588,392,393,264
"ENSMUSG00000020695",18,25,21,19,19,40,27,22,9
"ENSMUSG00000020696",458,596,432,603,439,606,394,530,339
"ENSMUSG00000020697",381,447,368,639,528,633,433,507,335
"ENSMUSG00000020698",8,5,23,7,6,2,5,5,9
"ENSMUSG00000020700",195,243,206,350,309,393,268,350,182
"ENSMUSG00000020701",22,45,23,46,45,38,43,24,28
"ENSMUSG00000020702",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020703",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020704",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020705",544,734,464,825,585,840,566,725,385
"ENSMUSG00000020706",644,961,557,1209,745,983,767,894,528
"ENSMUSG00000020707",256,212,154,250,249,439,202,338,129
"ENSMUSG00000020708",1061,1209,796,1499,1157,1425,1110,1375,917
"ENSMUSG00000020709",394,479,457,743,594,1034,573,764,413
"ENSMUSG00000020712",0,0,3,0,0,0,0,0,0
"ENSMUSG00000020713",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020715",1372,1614,1554,1939,1767,2756,1832,2375,1273
"ENSMUSG00000020716",360,427,369,528,413,635,378,463,291
"ENSMUSG00000020717",138,247,147,360,286,305,211,243,163
"ENSMUSG00000020718",141,147,117,109,142,114,81,132,76
"ENSMUSG00000020719",5536,6558,4279,6163,5775,7239,5624,6138,3395
"ENSMUSG00000020720",1229,1246,867,1710,1166,1636,1263,1549,990
"ENSMUSG00000020721",240,251,268,356,337,334,291,265,244
"ENSMUSG00000020722",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020723",0,0,0,0,0,3,2,0,0
"ENSMUSG00000020728",2,1,7,3,0,1,0,7,3
"ENSMUSG00000020732",2,0,0,0,0,0,0,4,0
"ENSMUSG00000020733",3961,3814,3253,3562,3794,4503,3032,3922,2248
"ENSMUSG00000020734",0,0,0,0,0,1,0,1,1
"ENSMUSG00000020736",290,295,188,235,216,303,174,221,151
"ENSMUSG00000020737",135,188,116,186,153,144,97,92,67
"ENSMUSG00000020738",148,186,109,219,126,238,132,201,121
"ENSMUSG00000020739",214,303,234,267,197,321,221,241,173
"ENSMUSG00000020740",173,198,98,289,191,216,150,237,133
"ENSMUSG00000020741",3927,5962,4920,7030,6123,7261,4900,5900,3862
"ENSMUSG00000020743",884,923,693,809,831,1044,643,869,548
"ENSMUSG00000020744",252,263,215,241,205,293,192,392,150
"ENSMUSG00000020745",1180,1590,1236,1870,1606,2126,1431,1738,1215
"ENSMUSG00000020747",451,468,508,675,572,727,435,698,451
"ENSMUSG00000020752",228,223,171,316,254,304,225,267,178
"ENSMUSG00000020755",237,286,150,339,278,287,231,338,183
"ENSMUSG00000020758",9,6,7,15,10,7,8,5,9
"ENSMUSG00000020766",965,976,636,876,877,1047,627,786,489
"ENSMUSG00000020770",184,199,83,213,146,195,113,148,120
"ENSMUSG00000020773",58,107,51,73,97,123,37,52,46
"ENSMUSG00000020774",172,247,152,244,208,319,147,222,152
"ENSMUSG00000020775",1245,1365,931,1426,1243,1298,1004,1186,764
"ENSMUSG00000020776",133,104,114,199,171,158,82,148,88
"ENSMUSG00000020777",47041,43428,38852,112200,59852,63975,32747,33965,24191
"ENSMUSG00000020778",66,54,25,78,57,92,22,11,25
"ENSMUSG00000020780",719,968,704,1321,881,936,804,978,628
"ENSMUSG00000020781",104,172,95,149,119,161,76,109,61
"ENSMUSG00000020782",530,651,529,721,650,734,416,606,477
"ENSMUSG00000020783",225,323,236,413,328,430,251,312,206
"ENSMUSG00000020785",5,2,8,11,9,12,2,19,2
"ENSMUSG00000020787",0,0,0,0,0,0,0,4,0
"ENSMUSG00000020788",16,5,14,17,8,16,6,11,8
"ENSMUSG00000020790",434,582,698,764,746,897,541,662,458
"ENSMUSG00000020792",285,372,366,416,330,349,327,367,249
"ENSMUSG00000020793",6,4,0,0,2,2,2,1,1
"ENSMUSG00000020794",1027,1201,941,958,1046,1243,862,946,651
"ENSMUSG00000020798",0,3,3,0,0,0,1,0,0
"ENSMUSG00000020799",1,0,0,0,0,1,0,0,0
"ENSMUSG00000020801",47,61,41,48,64,62,49,43,36
"ENSMUSG00000020802",210,297,189,396,322,304,241,298,159
"ENSMUSG00000020803",638,620,414,586,624,629,474,654,337
"ENSMUSG00000020804",0,0,0,0,0,0,0,3,0
"ENSMUSG00000020805",19,9,15,4,7,6,3,5,4
"ENSMUSG00000020806",204,247,191,246,218,249,165,173,124
"ENSMUSG00000020807",0,1,0,0,0,1,0,0,0
"ENSMUSG00000020808",0,2,0,0,0,0,0,0,0
"ENSMUSG00000020810",89,121,56,68,78,123,102,63,60
"ENSMUSG00000020811",3,4,2,1,2,4,1,3,1
"ENSMUSG00000020812",34,29,6,37,8,41,39,30,25
"ENSMUSG00000020814",22,45,32,26,26,34,26,19,31
"ENSMUSG00000020817",1013,1329,1222,1279,1196,1572,912,940,794
"ENSMUSG00000020818",381,293,225,317,303,306,306,273,169
"ENSMUSG00000020821",3619,4720,3990,5476,4701,5512,3699,4529,3203
"ENSMUSG00000020823",245,419,299,419,361,465,273,351,167
"ENSMUSG00000020826",0,0,0,0,0,2,0,0,0
"ENSMUSG00000020827",918,1185,1038,1434,1111,1491,989,1110,775
"ENSMUSG00000020828",73,89,82,124,147,136,74,134,86
"ENSMUSG00000020829",601,728,567,643,682,709,427,633,353
"ENSMUSG00000020830",80,77,44,75,101,96,44,52,57
"ENSMUSG00000020831",5,4,7,10,5,4,3,11,0
"ENSMUSG00000020832",236,194,187,339,234,306,183,228,189
"ENSMUSG00000020834",37,61,42,94,73,91,57,54,64
"ENSMUSG00000020836",4,0,7,4,0,0,1,2,1
"ENSMUSG00000020838",4,7,11,4,6,0,0,0,3
"ENSMUSG00000020839",0,0,0,0,2,0,2,0,2
"ENSMUSG00000020840",405,614,526,636,505,591,405,511,396
"ENSMUSG00000020841",413,632,532,584,625,832,453,617,366
"ENSMUSG00000020843",209,240,135,206,217,272,144,160,107
"ENSMUSG00000020844",14,32,22,25,28,52,29,24,18
"ENSMUSG00000020846",6,19,12,14,21,34,13,7,3
"ENSMUSG00000020847",24,28,24,51,31,37,27,18,25
"ENSMUSG00000020848",0,0,0,0,0,2,0,0,0
"ENSMUSG00000020849",3055,3845,2630,3503,3048,3743,2622,3128,2168
"ENSMUSG00000020850",2691,3666,3472,4628,3712,4993,3340,3955,2501
"ENSMUSG00000020857",0,4,1,2,1,3,7,0,4
"ENSMUSG00000020859",1046,1605,1513,1526,1494,1959,1339,1501,918
"ENSMUSG00000020863",906,990,613,925,945,1019,771,836,661
"ENSMUSG00000020864",818,1008,743,919,862,1109,692,887,573
"ENSMUSG00000020865",3047,3265,2915,9099,5598,6943,4961,4890,3024
"ENSMUSG00000020866",0,0,0,1,0,5,0,0,0
"ENSMUSG00000020867",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020868",240,309,227,281,351,354,230,292,179
