"","RR9_SPL_FLT_F1","RR9_SPL_FLT_F10","RR9_SPL_FLT_F2","RR9_SPL_FLT_F3","RR9_SPL_FLT_F4","RR9_SPL_FLT_F5","RR9_SPL_FLT_F6","RR9_SPL_FLT_F7","RR9_SPL_FLT_F8","RR9_SPL_FLT_F9","RR9_SPL_GC_G1","RR9_SPL_GC_G10","RR9_SPL_GC_G2","RR9_SPL_GC_G3","RR9_SPL_GC_G4","RR9_SPL_GC_G5","RR9_SPL_GC_G6","RR9_SPL_GC_G7","RR9_SPL_GC_G8","RR9_SPL_GC_G9"
"ENSMUSG00000097571",30,64,73,67,99,76,5,30,91,20,2,44,45,102,140,82,12,17,97,83
"ENSMUSG00000097572",1,1,0,0,7,0,0,0,3,0,0,1,0,0,9,0,0,4,1,8
"ENSMUSG00000097573",0,1,4,6,5,0,0,6,18,9,0,0,1,29,12,0,0,26,28,0
"ENSMUSG00000097574",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097575",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097576",18,66,38,8,97,38,5,25,74,12,5,2,42,49,102,46,19,23,43,31
"ENSMUSG00000097577",13,30,53,12,117,37,12,19,52,10,13,13,22,52,54,34,2,23,51,42
"ENSMUSG00000097580",0,0,2,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0
"ENSMUSG00000097583",38,189,264,67,294,120,42,37,186,75,25,65,100,302,270,112,53,112,168,193
"ENSMUSG00000097584",0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,1
"ENSMUSG00000097585",100,364,726,138,507,484,67,91,610,181,25,92,263,533,530,199,44,228,616,432
"ENSMUSG00000097586",7,29,54,5,40,18,15,11,15,11,0,10,7,13,28,25,5,17,50,20
"ENSMUSG00000097587",10,35,43,17,42,34,15,12,39,5,7,4,27,69,57,41,4,37,37,37
"ENSMUSG00000097589",327,1445,1775,610,2409,1408,239,415,1577,380,188,403,792,2088,2138,1014,217,589,1848,1228
"ENSMUSG00000097591",0,3,0,0,0,0,0,0,3,0,0,0,1,1,0,1,0,0,0,0
"ENSMUSG00000097592",0,0,1,0,2,2,0,0,5,5,0,0,3,0,6,4,0,0,5,0
"ENSMUSG00000097593",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097594",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097595",0,0,1,3,0,9,0,0,3,1,0,0,3,0,0,0,3,0,1,0
"ENSMUSG00000097596",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097597",1,9,0,0,1,0,0,0,1,1,0,0,1,3,2,0,0,3,0,0
"ENSMUSG00000097601",0,16,7,6,47,19,0,2,24,9,4,0,0,14,19,5,0,16,6,10
"ENSMUSG00000097602",0,13,16,0,15,0,0,1,7,0,0,4,5,4,15,1,13,10,5,0
"ENSMUSG00000097603",0,1,8,0,2,0,0,1,0,0,8,0,0,1,0,3,0,0,1,0
"ENSMUSG00000097604",0,1,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0
"ENSMUSG00000097608",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097610",0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0
"ENSMUSG00000097612",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10
"ENSMUSG00000097613",0,0,11,0,10,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0
"ENSMUSG00000097615",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097616",13,38,74,33,131,53,25,29,50,38,5,13,16,90,87,49,5,47,49,50
"ENSMUSG00000097617",8,13,0,0,2,14,0,0,6,0,0,0,0,13,29,3,3,0,3,0
"ENSMUSG00000097619",1,0,1,1,3,0,0,0,2,0,1,2,13,3,11,5,0,0,0,4
"ENSMUSG00000097620",1,0,0,1,0,3,0,1,1,0,1,0,0,5,0,0,0,0,4,0
"ENSMUSG00000097621",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097622",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"ENSMUSG00000097623",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097624",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097626",0,2,9,1,5,17,0,0,1,9,0,0,0,2,2,0,0,2,2,1
"ENSMUSG00000097627",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097628",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000097630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097633",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097634",3,42,66,10,49,12,5,11,35,4,6,0,29,117,88,21,2,16,41,15
"ENSMUSG00000097635",1,30,36,15,14,0,2,22,6,1,2,0,6,30,50,10,4,27,36,28
"ENSMUSG00000097636",138,529,828,208,873,552,93,155,479,201,92,206,378,810,629,551,95,241,675,656
"ENSMUSG00000097637",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097638",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097639",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097640",10,28,12,13,71,71,7,17,34,13,1,19,12,73,21,21,12,26,42,54
"ENSMUSG00000097641",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"ENSMUSG00000097642",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097643",7,11,13,6,9,19,7,5,9,1,0,21,19,9,25,2,0,26,8,16
"ENSMUSG00000097644",0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5,6,0
"ENSMUSG00000097646",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097648",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097649",0,2,11,0,14,3,1,0,15,0,0,0,16,11,0,0,0,4,20,10
"ENSMUSG00000097650",0,8,5,0,13,0,0,0,2,0,0,0,0,4,4,0,1,0,2,0
"ENSMUSG00000097651",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097652",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097653",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097654",14,6,13,8,5,13,3,12,19,1,0,0,10,1,8,19,0,6,0,5
"ENSMUSG00000097655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097656",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097657",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097662",0,8,5,13,9,7,1,0,0,0,0,0,0,9,6,1,0,6,1,3
"ENSMUSG00000097665",4,2,3,0,1,0,0,1,1,0,1,4,0,1,8,9,0,0,2,0
"ENSMUSG00000097666",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097668",0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,17,0,0
"ENSMUSG00000097669",0,15,21,2,15,9,0,7,9,2,3,3,2,29,18,4,4,6,29,7
"ENSMUSG00000097670",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097671",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097673",1,0,0,0,21,0,0,5,0,0,0,0,0,0,0,4,0,0,2,7
"ENSMUSG00000097675",2,10,14,0,1,7,0,3,6,1,0,0,0,1,0,0,0,0,0,4
"ENSMUSG00000097676",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097677",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097679",0,0,2,0,3,0,0,2,1,0,0,1,1,2,3,3,0,2,1,0
"ENSMUSG00000097680",0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,7,0
"ENSMUSG00000097682",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097683",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097684",0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097685",0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,10,1
"ENSMUSG00000097686",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"ENSMUSG00000097689",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097690",0,0,0,0,0,0,0,0,16,0,0,0,0,2,4,2,0,1,2,2
"ENSMUSG00000097691",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097692",0,6,0,0,0,0,0,0,3,0,0,0,0,6,6,0,0,2,11,3
"ENSMUSG00000097693",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097694",5,0,0,0,5,1,0,2,0,5,0,1,11,0,8,1,0,0,0,1
"ENSMUSG00000097697",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097699",0,0,11,3,7,0,0,0,12,6,0,4,0,6,25,7,2,4,13,6
"ENSMUSG00000097700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097701",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097702",0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0
"ENSMUSG00000097705",358,1504,1769,627,2029,1372,292,399,1434,443,214,567,848,2274,2172,1121,294,922,1941,1656
"ENSMUSG00000097706",6,10,32,3,35,39,4,1,11,2,8,1,4,51,39,14,2,2,45,28
"ENSMUSG00000097709",8,3,29,10,3,1,2,0,27,6,5,3,22,29,22,17,7,10,14,6
"ENSMUSG00000097710",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097711",0,1,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1
"ENSMUSG00000097712",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097713",0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,0,0,0,5
"ENSMUSG00000097714",0,0,1,1,4,0,2,0,4,0,5,2,1,5,0,7,0,0,2,5
"ENSMUSG00000097715",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097716",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097717",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097719",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"ENSMUSG00000097724",0,3,4,0,2,0,0,0,3,0,0,1,0,0,6,2,0,0,1,0
"ENSMUSG00000097725",0,0,0,0,1,9,0,2,0,0,0,0,3,0,0,0,0,0,0,0
"ENSMUSG00000097726",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097727",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"ENSMUSG00000097729",29,69,110,24,120,109,20,9,78,46,6,41,49,133,103,65,30,29,123,93
"ENSMUSG00000097730",0,0,0,7,0,0,0,0,0,0,0,1,4,12,1,0,0,0,2,0
"ENSMUSG00000097735",0,5,0,0,3,0,0,0,0,0,3,0,0,6,1,0,0,0,0,0
"ENSMUSG00000097736",6,24,54,4,68,85,25,40,75,14,5,28,12,95,105,35,11,28,40,85
"ENSMUSG00000097738",0,0,0,0,0,1,0,1,2,0,0,0,0,0,2,1,0,0,12,6
"ENSMUSG00000097739",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097740",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0
"ENSMUSG00000097742",0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ENSMUSG00000097743",2,33,73,15,40,27,19,12,10,12,6,20,15,82,66,35,3,15,45,28
"ENSMUSG00000097744",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
"ENSMUSG00000097745",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097746",10,50,57,27,72,28,9,19,35,16,13,18,25,41,88,28,4,23,77,37
"ENSMUSG00000097748",2,8,38,3,26,23,0,5,33,9,2,7,17,29,18,7,1,13,18,21
"ENSMUSG00000097749",0,0,0,0,0,2,0,0,0,0,0,1,1,9,4,2,0,0,2,2
"ENSMUSG00000097750",27,95,133,44,142,47,13,52,90,14,15,20,60,110,150,90,22,57,94,117
"ENSMUSG00000097752",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097754",0,4,13,0,23,3,0,3,7,1,0,0,9,9,5,1,0,1,4,18
"ENSMUSG00000097755",0,11,16,0,2,6,0,0,26,0,0,0,1,0,9,0,3,0,8,1
"ENSMUSG00000097756",0,0,0,0,0,0,0,0,0,18,13,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097760",3,50,29,12,83,45,1,0,44,2,2,21,31,32,53,27,14,9,82,67
"ENSMUSG00000097761",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"ENSMUSG00000097762",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097763",0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"ENSMUSG00000097766",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0
"ENSMUSG00000097767",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097768",0,5,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000097772",56,142,217,32,282,90,19,76,130,84,8,38,74,354,197,146,18,109,204,229
"ENSMUSG00000097773",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"ENSMUSG00000097776",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097777",2,36,60,16,57,48,10,5,30,10,3,4,35,87,21,35,10,41,78,47
"ENSMUSG00000097779",16,68,173,60,183,76,10,27,58,32,18,28,29,92,114,90,21,43,109,80
"ENSMUSG00000097780",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097781",8,12,25,14,21,16,0,13,14,0,3,4,4,54,21,36,0,4,26,14
"ENSMUSG00000097783",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097784",0,13,35,3,24,14,0,3,7,0,4,1,8,3,7,3,1,0,28,46
"ENSMUSG00000097785",9,36,65,15,57,57,0,11,14,11,5,3,20,40,26,37,0,30,12,25
"ENSMUSG00000097786",0,2,3,0,8,0,11,0,2,0,0,2,2,36,3,7,0,0,2,25
"ENSMUSG00000097787",0,11,1,1,6,4,5,0,21,0,0,0,11,11,8,0,0,14,8,0
"ENSMUSG00000097788",0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1
"ENSMUSG00000097789",0,1,0,0,16,4,0,0,0,0,0,0,1,0,10,0,0,1,0,0
"ENSMUSG00000097790",0,2,5,0,4,2,2,1,3,1,0,1,1,8,6,8,1,2,6,2
"ENSMUSG00000097792",0,48,38,5,28,23,0,12,30,1,5,9,2,37,46,25,0,19,19,17
"ENSMUSG00000097793",11,75,99,27,52,49,18,16,38,9,10,3,11,71,89,42,7,22,76,43
"ENSMUSG00000097794",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097795",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097797",2,8,18,0,25,24,15,18,38,4,5,1,9,33,53,15,6,7,24,9
"ENSMUSG00000097798",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097801",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097803",1,3,2,4,5,5,1,4,0,1,0,0,1,3,7,3,0,4,4,1
"ENSMUSG00000097804",18,38,99,17,118,47,0,25,64,7,4,16,35,43,92,44,15,20,91,62
"ENSMUSG00000097805",0,0,4,0,0,3,0,0,2,0,2,1,1,14,8,0,0,0,15,3
"ENSMUSG00000097806",0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097807",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097809",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097812",0,1,0,0,6,8,0,0,0,0,1,0,0,0,1,0,0,0,3,0
"ENSMUSG00000097814",0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,2
"ENSMUSG00000097816",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097817",0,8,17,0,8,2,1,1,7,1,0,0,13,16,5,0,0,14,2,4
"ENSMUSG00000097819",0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0
"ENSMUSG00000097820",2,31,27,4,5,20,1,0,7,8,0,0,0,13,12,0,0,4,8,4
"ENSMUSG00000097821",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097822",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097823",0,0,0,1,9,0,1,0,0,0,7,8,0,1,1,0,0,0,0,0
"ENSMUSG00000097825",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097827",0,10,0,0,0,0,0,1,1,0,0,5,0,4,2,0,0,5,2,0
"ENSMUSG00000097828",0,0,2,1,15,2,0,2,2,0,3,1,2,4,4,0,0,0,5,6
"ENSMUSG00000097831",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000097832",0,4,8,0,1,0,0,0,0,0,0,0,0,10,0,0,0,31,1,2
"ENSMUSG00000097833",0,2,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
"ENSMUSG00000097834",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097835",4,68,109,8,81,78,3,17,44,6,0,9,38,102,65,47,0,22,45,87
"ENSMUSG00000097836",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097840",0,4,3,0,6,1,0,4,0,0,0,0,0,5,0,0,0,0,5,0
"ENSMUSG00000097841",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097842",6,9,6,1,1,8,0,0,1,9,0,13,1,4,8,1,0,18,15,0
"ENSMUSG00000097845",0,0,10,0,3,6,0,8,5,0,2,0,0,8,1,0,0,3,3,3
"ENSMUSG00000097847",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097848",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097850",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097851",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097852",0,14,13,0,0,0,6,0,0,0,4,0,7,0,5,0,1,4,1,4
"ENSMUSG00000097853",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097855",9,67,104,17,63,45,10,17,43,18,3,14,28,54,127,49,12,15,83,60
"ENSMUSG00000097858",0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0
"ENSMUSG00000097863",0,0,7,0,2,2,0,0,1,0,0,0,4,15,2,0,0,0,1,0
"ENSMUSG00000097870",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097871",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097874",0,6,8,0,1,2,0,0,0,7,0,0,0,12,0,22,0,0,0,0
"ENSMUSG00000097875",0,0,19,0,19,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"ENSMUSG00000097876",0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0
"ENSMUSG00000097877",0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097878",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097881",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097882",0,12,1,0,7,0,0,15,17,0,0,0,4,21,5,4,7,0,6,22
"ENSMUSG00000097883",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097884",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097885",0,21,40,23,71,14,12,4,22,11,0,2,2,36,59,20,1,34,20,24
"ENSMUSG00000097886",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
"ENSMUSG00000097887",2,5,42,3,1,0,0,0,10,8,0,0,1,0,5,0,0,0,11,0
"ENSMUSG00000097888",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
"ENSMUSG00000097890",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097891",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097892",0,0,1,0,0,1,0,0,0,0,0,0,0,7,0,0,0,4,0,0
"ENSMUSG00000097893",0,0,8,0,0,0,0,0,6,2,0,2,1,3,4,7,0,0,3,6
"ENSMUSG00000097895",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097896",0,1,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1
"ENSMUSG00000097897",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097898",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097899",0,0,13,1,7,0,0,0,2,0,0,2,1,4,21,0,0,0,4,0
"ENSMUSG00000097900",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097901",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097902",2,21,7,0,16,16,0,2,29,0,1,0,1,25,11,34,12,30,14,9
"ENSMUSG00000097903",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097906",66,199,336,83,374,212,45,73,261,72,42,82,136,487,304,225,19,155,286,235
"ENSMUSG00000097907",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097908",0,25,35,0,18,14,2,0,21,23,0,1,5,19,16,28,0,5,0,25
"ENSMUSG00000097910",26,19,63,25,93,51,7,4,114,24,1,2,20,99,73,24,1,7,47,20
"ENSMUSG00000097911",0,5,0,0,7,5,1,1,0,0,1,0,0,0,6,0,0,0,0,0
"ENSMUSG00000097914",0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0
"ENSMUSG00000097915",0,0,4,5,11,13,0,9,0,0,0,0,4,14,13,4,10,1,13,0
"ENSMUSG00000097917",0,2,2,2,16,2,0,0,9,9,0,0,0,1,1,4,1,1,0,8
"ENSMUSG00000097918",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097919",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097920",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097921",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
"ENSMUSG00000097923",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0
"ENSMUSG00000097924",7,29,12,0,37,15,2,8,24,8,13,0,17,21,41,32,6,12,7,22
"ENSMUSG00000097925",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097926",0,7,11,1,12,0,0,0,11,7,0,1,0,9,1,1,1,4,10,0
"ENSMUSG00000097927",0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097929",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097930",0,0,6,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097931",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097932",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097933",0,12,1,3,0,0,0,0,1,0,0,0,0,0,11,0,0,0,2,0
"ENSMUSG00000097934",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097935",0,0,1,0,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000097936",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097937",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097938",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097939",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097940",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097941",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097942",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000097943",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097944",26,243,383,57,319,122,32,91,197,78,9,19,143,174,285,143,12,67,292,166
"ENSMUSG00000097945",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097946",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
