"","SRR11148753","SRR11148754","SRR11148755","SRR11148756","SRR11148757","SRR11148758","SRR11148759","SRR11148760"
"ENSMUSG00000086484",0,0,0,0,0,0,0,0
"ENSMUSG00000086485",0,0,0,0,0,0,0,0
"ENSMUSG00000086486",0,0,0,0,0,0,0,0
"ENSMUSG00000086487",0,0,0,0,0,0,0,6
"ENSMUSG00000086489",0,0,0,0,0,0,0,0
"ENSMUSG00000086490",0,0,0,0,0,0,0,0
"ENSMUSG00000086491",0,0,0,0,0,0,0,0
"ENSMUSG00000086493",0,0,3,0,0,0,0,2
"ENSMUSG00000086494",0,0,0,0,0,0,0,13
"ENSMUSG00000086495",21,6,149,38,52,34,0,85
"ENSMUSG00000086496",0,0,0,0,0,0,0,0
"ENSMUSG00000086497",0,0,0,0,0,0,0,0
"ENSMUSG00000086498",0,0,0,0,0,0,0,0
"ENSMUSG00000086499",0,0,0,0,0,0,0,0
"ENSMUSG00000086500",0,0,0,0,0,0,0,0
"ENSMUSG00000086501",0,0,0,0,0,0,0,0
"ENSMUSG00000086502",0,0,46,13,0,0,11,6
"ENSMUSG00000086503",0,0,0,0,0,7,0,0
"ENSMUSG00000086504",0,0,0,0,0,0,0,0
"ENSMUSG00000086505",0,0,0,0,0,0,0,0
"ENSMUSG00000086506",0,0,0,0,0,0,0,0
"ENSMUSG00000086507",0,0,0,8,0,0,0,1
"ENSMUSG00000086509",0,0,0,0,0,0,0,5
"ENSMUSG00000086512",0,0,0,0,0,0,0,0
"ENSMUSG00000086513",0,2,93,0,0,3,0,8
"ENSMUSG00000086514",0,0,11,0,0,6,0,1
"ENSMUSG00000086515",0,0,0,0,0,0,0,0
"ENSMUSG00000086517",0,0,0,0,0,0,0,0
"ENSMUSG00000086518",0,0,0,0,0,0,0,0
"ENSMUSG00000086519",0,0,0,0,0,0,0,0
"ENSMUSG00000086521",0,0,0,0,0,0,0,0
"ENSMUSG00000086522",3,0,5,10,0,6,0,8
"ENSMUSG00000086523",0,0,0,0,0,0,0,0
"ENSMUSG00000086524",0,0,0,0,11,0,0,0
"ENSMUSG00000086525",0,0,0,0,0,0,0,0
"ENSMUSG00000086526",0,0,0,0,0,0,0,0
"ENSMUSG00000086527",0,13,20,16,17,7,20,56
"ENSMUSG00000086528",0,0,0,0,0,0,0,0
"ENSMUSG00000086529",0,0,0,0,0,0,0,0
"ENSMUSG00000086530",0,0,0,0,0,0,0,0
"ENSMUSG00000086531",0,0,0,0,0,0,0,0
"ENSMUSG00000086533",0,7,46,14,0,3,0,78
"ENSMUSG00000086534",9,36,318,67,166,87,0,503
"ENSMUSG00000086536",0,0,0,0,0,0,0,5
"ENSMUSG00000086537",0,0,7,0,0,0,7,0
"ENSMUSG00000086539",0,1,2,0,0,0,0,3
"ENSMUSG00000086540",0,0,0,0,0,0,0,0
"ENSMUSG00000086541",0,0,67,1,34,0,0,38
"ENSMUSG00000086542",0,0,0,0,0,0,0,0
"ENSMUSG00000086544",0,7,15,0,0,19,0,79
"ENSMUSG00000086545",0,0,0,0,0,0,0,0
"ENSMUSG00000086546",0,0,8,0,0,0,0,0
"ENSMUSG00000086547",0,0,12,0,0,0,19,11
"ENSMUSG00000086548",12,0,0,0,0,0,0,0
"ENSMUSG00000086549",0,0,0,0,0,0,0,0
"ENSMUSG00000086550",0,0,0,0,0,0,0,0
"ENSMUSG00000086552",0,0,0,0,0,0,0,0
"ENSMUSG00000086554",0,0,28,0,0,0,0,10
"ENSMUSG00000086555",0,0,17,0,0,7,0,21
"ENSMUSG00000086556",0,0,0,0,0,0,0,0
"ENSMUSG00000086557",0,0,0,0,0,0,0,0
"ENSMUSG00000086558",0,0,0,0,0,0,0,0
"ENSMUSG00000086559",0,0,0,0,0,0,0,0
"ENSMUSG00000086560",0,0,0,0,0,0,0,0
"ENSMUSG00000086561",0,0,0,0,0,0,0,0
"ENSMUSG00000086562",0,0,0,0,0,0,0,0
"ENSMUSG00000086563",0,0,0,0,0,0,0,0
"ENSMUSG00000086564",0,0,6,0,0,0,0,2
"ENSMUSG00000086565",0,0,0,0,0,0,0,0
"ENSMUSG00000086567",1419,1879,14867,2606,6113,3273,3144,13768
"ENSMUSG00000086569",0,0,0,0,0,0,0,0
"ENSMUSG00000086573",0,0,0,0,0,0,0,0
"ENSMUSG00000086575",0,0,0,0,0,0,0,0
"ENSMUSG00000086576",0,0,0,0,0,0,0,0
"ENSMUSG00000086577",0,0,0,0,0,0,0,0
"ENSMUSG00000086578",0,0,0,0,0,0,0,7
"ENSMUSG00000086580",0,0,0,0,0,0,0,0
"ENSMUSG00000086582",0,11,20,0,0,0,0,4
"ENSMUSG00000086583",0,0,0,0,0,0,0,0
"ENSMUSG00000086584",31,97,450,53,71,54,20,394
"ENSMUSG00000086585",0,0,0,0,0,0,0,0
"ENSMUSG00000086586",0,0,0,0,0,0,0,0
"ENSMUSG00000086587",0,0,27,1,0,8,0,12
"ENSMUSG00000086588",0,0,0,0,0,0,0,0
"ENSMUSG00000086589",0,0,0,0,0,0,43,1
"ENSMUSG00000086591",0,6,34,0,0,12,0,40
"ENSMUSG00000086592",0,0,1,0,0,10,0,14
"ENSMUSG00000086593",0,0,0,0,0,0,0,0
"ENSMUSG00000086594",0,0,0,0,0,0,0,0
"ENSMUSG00000086595",0,0,12,0,19,0,0,5
"ENSMUSG00000086596",20,11,192,46,29,4,0,126
"ENSMUSG00000086598",0,0,0,0,0,0,0,0
"ENSMUSG00000086600",0,0,8,0,0,0,0,0
"ENSMUSG00000086601",0,0,0,0,0,0,0,0
"ENSMUSG00000086602",0,0,3,0,0,0,0,2
"ENSMUSG00000086603",0,0,27,11,0,0,0,16
"ENSMUSG00000086604",130,238,2112,271,526,241,144,1497
"ENSMUSG00000086606",8,21,204,56,102,33,32,113
"ENSMUSG00000086607",0,1,59,20,58,0,0,44
"ENSMUSG00000086608",0,0,0,0,0,0,0,0
"ENSMUSG00000086610",45,79,759,37,125,71,79,505
"ENSMUSG00000086612",0,0,0,0,0,0,0,0
"ENSMUSG00000086613",0,0,0,0,0,0,0,0
"ENSMUSG00000086614",0,0,0,0,0,0,0,0
"ENSMUSG00000086617",0,0,0,0,0,0,0,0
"ENSMUSG00000086618",0,0,0,0,0,0,0,0
"ENSMUSG00000086620",0,0,0,0,0,0,0,5
"ENSMUSG00000086621",0,0,0,0,0,0,0,0
"ENSMUSG00000086624",0,0,0,0,0,0,0,0
"ENSMUSG00000086625",0,0,0,0,0,0,0,0
"ENSMUSG00000086628",0,0,0,0,0,0,0,0
"ENSMUSG00000086629",0,13,139,33,0,0,25,32
"ENSMUSG00000086630",0,0,0,0,0,0,0,0
"ENSMUSG00000086631",0,0,0,0,0,0,0,0
"ENSMUSG00000086632",0,0,0,0,0,0,0,0
"ENSMUSG00000086633",0,0,0,0,0,0,0,0
"ENSMUSG00000086636",0,0,0,0,0,0,0,0
"ENSMUSG00000086637",0,0,0,0,0,0,0,0
"ENSMUSG00000086638",0,0,20,0,24,0,0,0
"ENSMUSG00000086641",0,0,0,0,1,0,0,0
"ENSMUSG00000086643",0,0,0,0,0,0,0,0
"ENSMUSG00000086644",0,4,28,0,0,1,0,20
"ENSMUSG00000086645",0,0,6,5,0,0,0,0
"ENSMUSG00000086646",0,0,0,0,2,0,0,0
"ENSMUSG00000086648",0,0,0,0,0,0,0,0
"ENSMUSG00000086649",0,0,0,0,0,0,0,0
"ENSMUSG00000086650",0,0,0,0,0,0,0,0
"ENSMUSG00000086652",0,5,36,14,51,11,0,39
"ENSMUSG00000086653",0,0,0,0,0,0,0,0
"ENSMUSG00000086654",0,0,0,0,0,0,0,0
"ENSMUSG00000086655",64,48,395,42,77,35,45,375
"ENSMUSG00000086656",0,0,0,0,0,0,0,3
"ENSMUSG00000086657",0,0,12,0,0,0,0,10
"ENSMUSG00000086658",0,0,0,0,0,0,0,0
"ENSMUSG00000086659",0,0,0,0,0,0,0,0
"ENSMUSG00000086660",0,0,0,0,0,0,0,0
"ENSMUSG00000086662",0,0,0,0,0,0,0,0
"ENSMUSG00000086665",0,0,5,0,0,0,0,3
"ENSMUSG00000086666",0,0,4,0,0,0,0,0
"ENSMUSG00000086668",0,0,0,0,0,0,0,0
"ENSMUSG00000086669",0,0,0,0,0,0,0,0
"ENSMUSG00000086670",5,9,110,9,75,0,1,64
"ENSMUSG00000086671",0,0,0,0,0,0,0,0
"ENSMUSG00000086674",0,0,8,0,0,0,0,0
"ENSMUSG00000086675",0,0,0,0,0,0,0,0
"ENSMUSG00000086676",0,0,0,0,0,0,0,0
"ENSMUSG00000086677",6,0,50,0,0,4,0,20
"ENSMUSG00000086679",16,0,11,2,0,0,0,39
"ENSMUSG00000086680",0,0,23,0,0,0,0,0
"ENSMUSG00000086681",0,0,0,3,0,0,0,0
"ENSMUSG00000086682",7,12,148,18,19,29,10,148
"ENSMUSG00000086683",0,0,0,0,0,0,0,0
"ENSMUSG00000086684",0,0,0,0,0,0,0,0
"ENSMUSG00000086685",0,0,0,0,0,0,0,0
"ENSMUSG00000086686",0,0,0,0,0,0,0,0
"ENSMUSG00000086687",0,0,0,0,0,0,0,0
"ENSMUSG00000086688",4,10,73,11,51,4,3,54
"ENSMUSG00000086689",0,0,0,0,0,0,0,0
"ENSMUSG00000086690",0,0,0,0,0,0,0,0
"ENSMUSG00000086691",0,0,8,0,3,1,0,4
"ENSMUSG00000086693",3,3,26,0,0,0,0,17
"ENSMUSG00000086694",0,0,0,0,0,0,0,0
"ENSMUSG00000086695",0,7,15,0,0,2,0,9
"ENSMUSG00000086696",0,0,0,0,0,0,0,0
"ENSMUSG00000086697",0,0,0,0,0,2,0,0
"ENSMUSG00000086698",0,0,0,0,0,0,0,0
"ENSMUSG00000086699",0,0,0,0,0,0,0,0
"ENSMUSG00000086700",0,0,18,7,0,0,0,5
"ENSMUSG00000086701",0,0,0,0,0,0,0,0
"ENSMUSG00000086702",0,0,0,0,0,0,0,0
"ENSMUSG00000086703",0,0,0,0,0,0,0,0
"ENSMUSG00000086704",0,0,0,0,0,0,0,0
"ENSMUSG00000086706",0,0,0,0,0,0,0,0
"ENSMUSG00000086707",0,0,1,0,0,0,0,0
"ENSMUSG00000086708",0,0,0,0,0,0,0,0
"ENSMUSG00000086709",0,0,0,0,0,0,0,0
"ENSMUSG00000086710",0,0,0,0,0,0,0,0
"ENSMUSG00000086711",0,0,0,0,0,0,0,0
"ENSMUSG00000086712",0,0,8,0,0,0,0,10
"ENSMUSG00000086713",0,0,0,0,0,0,0,0
"ENSMUSG00000086714",0,41,149,8,35,11,0,79
"ENSMUSG00000086715",0,0,0,0,0,0,0,0
"ENSMUSG00000086716",0,0,0,0,0,0,0,0
"ENSMUSG00000086717",0,0,22,0,32,16,0,38
"ENSMUSG00000086718",0,0,0,0,0,0,0,1
"ENSMUSG00000086719",0,0,0,0,0,0,0,0
"ENSMUSG00000086720",0,0,0,0,0,0,0,0
"ENSMUSG00000086721",0,0,0,0,0,0,0,0
"ENSMUSG00000086722",0,0,0,0,0,0,0,0
"ENSMUSG00000086724",0,0,0,0,0,0,0,0
"ENSMUSG00000086725",4,54,346,58,58,27,11,253
"ENSMUSG00000086726",0,0,0,0,0,0,0,0
"ENSMUSG00000086727",0,0,0,0,0,0,0,0
"ENSMUSG00000086728",24,15,80,9,23,20,0,113
"ENSMUSG00000086729",0,0,0,0,0,0,0,0
"ENSMUSG00000086730",0,0,0,0,0,0,0,0
"ENSMUSG00000086731",0,0,0,0,0,0,0,0
"ENSMUSG00000086732",0,0,0,0,0,0,0,2
"ENSMUSG00000086733",0,0,7,0,0,0,0,0
"ENSMUSG00000086735",0,0,1,0,0,0,0,0
"ENSMUSG00000086736",0,5,34,23,12,0,0,33
"ENSMUSG00000086738",0,0,0,0,0,0,0,0
"ENSMUSG00000086739",0,0,0,0,0,0,0,0
"ENSMUSG00000086740",0,1,0,5,0,0,0,11
"ENSMUSG00000086741",1,34,155,21,58,27,16,99
"ENSMUSG00000086742",13,10,92,13,0,25,0,68
"ENSMUSG00000086743",1,0,5,0,0,0,0,8
"ENSMUSG00000086745",0,0,0,0,0,0,0,0
"ENSMUSG00000086746",7,14,77,20,0,0,0,19
"ENSMUSG00000086748",0,0,12,0,0,0,0,12
"ENSMUSG00000086749",0,0,0,0,0,0,0,0
"ENSMUSG00000086750",0,0,20,0,0,0,0,2
"ENSMUSG00000086752",0,0,0,0,0,0,0,0
"ENSMUSG00000086753",0,5,2,0,0,0,0,8
"ENSMUSG00000086754",0,0,16,14,0,0,0,30
"ENSMUSG00000086755",0,0,0,0,0,0,0,0
"ENSMUSG00000086756",0,0,0,0,0,0,0,0
"ENSMUSG00000086757",0,0,0,0,0,0,0,0
"ENSMUSG00000086758",0,0,0,0,0,0,0,0
"ENSMUSG00000086760",0,4,24,0,0,0,0,6
"ENSMUSG00000086761",0,0,0,0,0,0,0,0
"ENSMUSG00000086762",0,0,0,0,0,0,0,0
"ENSMUSG00000086763",0,2,38,0,0,0,0,2
"ENSMUSG00000086764",0,0,0,0,0,0,0,0
"ENSMUSG00000086765",112,76,575,60,317,64,125,547
"ENSMUSG00000086766",0,0,0,0,0,0,0,0
"ENSMUSG00000086767",0,0,0,0,0,0,0,0
"ENSMUSG00000086769",0,0,0,0,0,0,0,0
"ENSMUSG00000086770",0,0,0,0,0,0,0,0
"ENSMUSG00000086773",0,0,3,0,0,0,0,0
"ENSMUSG00000086774",0,0,0,0,2,0,0,3
"ENSMUSG00000086775",0,0,2,0,14,0,0,0
"ENSMUSG00000086777",0,0,0,0,0,0,0,0
"ENSMUSG00000086779",7,6,124,0,0,24,0,117
"ENSMUSG00000086781",0,0,0,0,0,0,0,0
"ENSMUSG00000086782",78,124,911,115,173,72,69,654
"ENSMUSG00000086783",0,0,0,0,0,0,0,0
"ENSMUSG00000086784",222,692,3161,428,913,594,253,2404
"ENSMUSG00000086785",0,0,0,0,0,12,0,0
"ENSMUSG00000086786",0,0,0,0,0,0,0,0
"ENSMUSG00000086788",0,0,0,0,0,0,0,0
"ENSMUSG00000086789",0,0,0,0,0,0,0,0
"ENSMUSG00000086790",0,0,0,0,0,0,0,0
"ENSMUSG00000086791",0,0,0,0,0,0,0,0
"ENSMUSG00000086792",0,0,0,0,0,0,0,0
"ENSMUSG00000086794",0,4,30,16,16,2,0,42
"ENSMUSG00000086795",0,0,0,0,0,0,0,0
"ENSMUSG00000086796",0,0,0,0,0,0,0,2
"ENSMUSG00000086798",0,0,4,0,0,0,0,0
"ENSMUSG00000086799",0,6,1,9,0,0,0,14
"ENSMUSG00000086800",0,0,0,0,0,0,0,0
"ENSMUSG00000086801",0,2,20,7,16,0,0,36
"ENSMUSG00000086804",0,0,0,0,0,0,0,0
"ENSMUSG00000086805",0,0,0,0,0,0,0,0
"ENSMUSG00000086806",0,22,13,6,64,31,0,92
"ENSMUSG00000086807",0,0,0,0,0,0,0,0
"ENSMUSG00000086808",0,0,0,0,0,0,0,0
"ENSMUSG00000086810",0,0,0,0,0,5,0,0
"ENSMUSG00000086812",0,0,0,0,0,0,0,0
"ENSMUSG00000086813",2,0,13,0,0,0,0,35
"ENSMUSG00000086814",0,0,8,0,0,0,0,6
"ENSMUSG00000086815",0,0,0,0,0,0,0,0
"ENSMUSG00000086816",0,0,0,0,0,0,0,0
"ENSMUSG00000086817",0,0,0,0,0,11,8,7
"ENSMUSG00000086818",0,0,0,0,0,0,0,0
"ENSMUSG00000086819",0,0,0,0,0,0,0,0
"ENSMUSG00000086820",0,0,2,0,0,0,0,4
"ENSMUSG00000086821",0,0,0,0,0,0,0,0
"ENSMUSG00000086822",0,0,0,0,0,0,0,0
"ENSMUSG00000086823",0,0,0,0,0,0,0,0
"ENSMUSG00000086824",0,0,0,0,0,0,0,0
"ENSMUSG00000086825",505,1022,10125,598,1471,1035,256,4189
"ENSMUSG00000086826",0,0,3,0,0,0,0,0
"ENSMUSG00000086827",0,0,0,0,0,0,0,3
"ENSMUSG00000086828",0,0,0,0,0,0,43,0
"ENSMUSG00000086830",0,0,0,0,0,0,0,0
"ENSMUSG00000086831",0,0,0,0,0,0,0,0
"ENSMUSG00000086833",0,0,0,0,0,0,0,0
"ENSMUSG00000086834",0,0,0,0,0,0,0,0
"ENSMUSG00000086835",0,0,0,0,0,0,0,0
"ENSMUSG00000086836",2,0,12,0,0,0,0,0
"ENSMUSG00000086837",0,0,10,0,0,0,0,4
"ENSMUSG00000086838",0,0,0,0,0,0,0,5
"ENSMUSG00000086839",0,0,18,2,0,0,0,12
"ENSMUSG00000086840",0,0,0,0,0,0,0,0
"ENSMUSG00000086841",139,228,1507,330,826,248,212,1590
"ENSMUSG00000086842",0,0,0,0,0,0,0,0
"ENSMUSG00000086843",0,5,40,0,12,21,0,27
"ENSMUSG00000086844",28,82,798,52,134,93,21,609
"ENSMUSG00000086845",0,16,88,6,17,17,0,38
"ENSMUSG00000086846",0,0,0,0,0,0,0,10
"ENSMUSG00000086847",0,0,16,0,0,0,0,0
"ENSMUSG00000086848",0,0,0,0,0,0,0,0
"ENSMUSG00000086849",0,0,2,0,0,1,0,4
"ENSMUSG00000086850",0,0,0,0,0,0,0,0
"ENSMUSG00000086851",0,0,0,0,0,0,0,5
"ENSMUSG00000086854",0,0,0,0,0,0,0,0
"ENSMUSG00000086855",0,2,44,1,37,3,0,36
"ENSMUSG00000086856",0,0,0,0,0,0,0,0
"ENSMUSG00000086858",0,0,0,0,0,0,0,0
"ENSMUSG00000086859",258,404,2455,419,574,390,339,1932
"ENSMUSG00000086860",0,0,0,0,0,0,0,0
"ENSMUSG00000086861",0,0,0,0,0,0,0,0
"ENSMUSG00000086862",0,0,0,0,0,0,0,0
"ENSMUSG00000086863",20,184,1458,163,309,173,92,434
"ENSMUSG00000086866",18,31,103,48,86,31,32,132
"ENSMUSG00000086867",0,0,0,0,0,0,0,7
"ENSMUSG00000086868",0,0,0,0,0,13,0,0
"ENSMUSG00000086870",0,0,0,0,0,0,0,0
"ENSMUSG00000086872",0,0,0,0,0,0,0,0
"ENSMUSG00000086873",0,0,23,0,0,0,0,14
"ENSMUSG00000086874",0,0,0,0,0,0,0,0
"ENSMUSG00000086875",0,0,0,0,0,0,0,0
"ENSMUSG00000086876",0,0,0,0,0,0,0,0
"ENSMUSG00000086877",58,34,654,37,136,54,0,440
"ENSMUSG00000086881",0,7,27,8,0,0,0,36
"ENSMUSG00000086882",0,2,3,0,3,1,0,2
"ENSMUSG00000086884",0,0,0,0,0,0,0,0
"ENSMUSG00000086887",0,0,0,0,0,0,0,0
"ENSMUSG00000086889",28,26,329,59,71,17,8,249
"ENSMUSG00000086890",0,0,0,0,0,0,0,0
"ENSMUSG00000086891",0,0,0,0,0,0,0,0
"ENSMUSG00000086892",0,0,6,16,0,0,0,35
"ENSMUSG00000086893",0,0,0,0,12,0,0,3
"ENSMUSG00000086894",8,12,64,34,44,0,0,44
"ENSMUSG00000086896",0,0,0,0,0,0,0,0
"ENSMUSG00000086898",0,0,0,0,0,0,0,0
"ENSMUSG00000086900",0,0,3,0,0,0,0,0
"ENSMUSG00000086902",0,0,0,0,0,0,0,0
"ENSMUSG00000086903",0,7,76,35,0,10,0,35
"ENSMUSG00000086904",0,0,1,0,0,0,0,0
"ENSMUSG00000086905",0,0,0,0,0,0,0,0
"ENSMUSG00000086906",0,0,0,0,0,0,0,0
"ENSMUSG00000086907",0,0,0,0,0,0,0,0
"ENSMUSG00000086908",0,0,0,0,0,0,0,0
"ENSMUSG00000086909",0,0,0,0,0,0,0,0
"ENSMUSG00000086910",0,0,0,0,0,0,0,0
"ENSMUSG00000086911",0,0,0,0,0,0,0,0
"ENSMUSG00000086912",0,0,0,0,0,0,0,0
"ENSMUSG00000086913",0,0,3,0,10,0,0,10
"ENSMUSG00000086914",114,119,934,95,179,96,69,631
"ENSMUSG00000086915",16,49,327,14,45,21,0,145
"ENSMUSG00000086916",0,0,36,0,0,0,0,24
"ENSMUSG00000086917",0,0,2,0,22,0,0,0
"ENSMUSG00000086918",0,0,5,7,0,0,0,0
"ENSMUSG00000086919",0,0,0,0,0,0,0,0
"ENSMUSG00000086920",0,0,33,3,0,0,0,15
"ENSMUSG00000086921",0,0,0,0,0,0,0,0
"ENSMUSG00000086922",15,71,288,43,44,18,8,148
"ENSMUSG00000086923",0,0,0,0,0,0,0,0
"ENSMUSG00000086924",0,0,0,0,0,0,0,0
"ENSMUSG00000086925",0,6,19,2,4,4,0,5
"ENSMUSG00000086926",0,0,0,0,6,0,0,0
"ENSMUSG00000086927",0,0,0,0,0,0,0,0
"ENSMUSG00000086928",0,0,8,0,0,0,0,0
"ENSMUSG00000086929",0,0,4,0,0,0,0,6
"ENSMUSG00000086930",0,0,8,0,0,0,0,15
"ENSMUSG00000086931",0,0,0,0,0,0,0,0
"ENSMUSG00000086932",16,9,35,6,0,1,21,65
"ENSMUSG00000086933",0,0,0,0,0,0,0,0
"ENSMUSG00000086935",6,4,98,5,45,3,0,82
"ENSMUSG00000086936",0,0,0,0,0,0,0,0
"ENSMUSG00000086937",0,0,0,0,0,0,0,0
"ENSMUSG00000086938",46,96,982,52,327,188,242,1087
"ENSMUSG00000086939",0,0,0,0,0,0,0,0
"ENSMUSG00000086940",0,0,0,0,0,0,0,0
"ENSMUSG00000086941",0,0,0,0,0,0,0,0
"ENSMUSG00000086942",0,10,0,0,0,0,0,0
"ENSMUSG00000086943",0,0,0,0,0,0,0,0
"ENSMUSG00000086944",0,1,0,0,0,0,0,0
"ENSMUSG00000086945",0,0,1,0,0,0,0,0
"ENSMUSG00000086946",0,0,0,0,0,0,0,5
"ENSMUSG00000086947",0,0,0,0,0,0,0,0
"ENSMUSG00000086948",0,0,0,0,0,0,0,0
"ENSMUSG00000086949",0,0,5,0,0,0,0,0
"ENSMUSG00000086951",0,0,0,0,0,0,0,0
"ENSMUSG00000086952",0,0,0,0,0,0,0,15
"ENSMUSG00000086953",0,0,7,0,0,0,0,0
"ENSMUSG00000086954",0,0,0,0,0,0,0,0
"ENSMUSG00000086955",0,0,0,0,0,0,0,0
"ENSMUSG00000086957",0,0,0,0,0,0,0,0
"ENSMUSG00000086959",0,0,0,0,0,0,0,0
"ENSMUSG00000086960",0,0,0,0,0,0,0,0
"ENSMUSG00000086961",0,0,22,0,0,0,0,4
"ENSMUSG00000086962",0,0,0,0,0,0,0,0
"ENSMUSG00000086963",0,0,0,0,0,0,0,0
"ENSMUSG00000086964",0,0,0,0,0,0,0,0
"ENSMUSG00000086965",0,6,20,0,0,0,0,24
"ENSMUSG00000086968",47,192,953,98,136,88,44,645
"ENSMUSG00000086969",0,0,23,0,0,0,0,48
"ENSMUSG00000086970",0,0,0,0,0,0,0,0
"ENSMUSG00000086971",0,0,0,0,0,0,0,0
"ENSMUSG00000086974",0,0,0,0,0,0,0,0
"ENSMUSG00000086975",0,0,4,0,0,0,0,0
"ENSMUSG00000086976",0,1,12,3,0,2,0,18
"ENSMUSG00000086978",0,0,0,0,0,0,0,0
"ENSMUSG00000086980",0,0,0,0,0,0,0,0
"ENSMUSG00000086981",0,0,0,0,0,0,0,0
"ENSMUSG00000086984",0,0,0,0,0,0,0,0
"ENSMUSG00000086986",0,0,0,0,0,0,0,0
"ENSMUSG00000086987",0,0,0,0,0,0,0,0
"ENSMUSG00000086989",0,0,0,0,0,0,0,0
"ENSMUSG00000086991",0,0,0,0,0,0,0,0
"ENSMUSG00000086992",0,0,0,0,0,0,0,0
"ENSMUSG00000086993",0,0,0,0,0,0,0,0
"ENSMUSG00000086994",0,0,0,0,0,0,0,3
"ENSMUSG00000086995",0,0,0,0,0,0,0,0
"ENSMUSG00000086996",0,0,0,0,0,0,0,0
"ENSMUSG00000086997",0,0,0,0,0,0,0,0
"ENSMUSG00000086998",0,0,0,0,0,0,0,0
"ENSMUSG00000086999",6,0,0,0,0,0,0,0
"ENSMUSG00000087001",0,0,0,0,0,0,0,0
"ENSMUSG00000087002",0,0,0,0,0,0,0,0
"ENSMUSG00000087003",0,0,0,0,0,0,0,0
"ENSMUSG00000087004",0,0,18,0,0,0,31,3
"ENSMUSG00000087006",43,84,1102,209,321,450,40,692
"ENSMUSG00000087007",0,0,0,0,0,0,0,0
"ENSMUSG00000087008",0,0,1,0,0,0,0,0
"ENSMUSG00000087009",0,0,0,0,0,0,0,0
"ENSMUSG00000087010",0,0,0,0,0,0,0,0
"ENSMUSG00000087011",0,0,0,0,0,0,0,0
"ENSMUSG00000087013",0,4,52,9,5,3,0,25
"ENSMUSG00000087014",7,71,361,81,100,51,31,210
"ENSMUSG00000087015",0,0,0,0,0,0,0,0
"ENSMUSG00000087016",0,0,0,0,0,0,0,0
"ENSMUSG00000087017",0,6,12,0,0,0,0,16
"ENSMUSG00000087018",0,0,7,0,0,0,0,0
"ENSMUSG00000087020",16,12,123,11,10,10,0,67
"ENSMUSG00000087021",0,0,0,0,0,0,0,0
"ENSMUSG00000087022",0,4,0,0,0,0,0,0
"ENSMUSG00000087024",0,0,0,0,0,0,0,0
"ENSMUSG00000087026",0,0,5,0,0,0,0,9
"ENSMUSG00000087027",0,0,0,0,0,0,0,0
"ENSMUSG00000087028",0,22,78,2,0,4,0,28
"ENSMUSG00000087029",0,0,0,0,0,0,0,0
"ENSMUSG00000087030",0,0,27,2,0,0,0,27
"ENSMUSG00000087031",0,0,0,0,0,0,0,0
"ENSMUSG00000087032",0,0,0,0,0,0,0,0
"ENSMUSG00000087033",0,0,0,0,0,0,0,0
"ENSMUSG00000087034",0,1,0,0,0,0,0,0
"ENSMUSG00000087035",0,0,0,0,0,6,0,6
"ENSMUSG00000087036",0,0,0,0,0,0,0,0
"ENSMUSG00000087037",0,0,0,0,0,0,0,0
"ENSMUSG00000087038",4,8,43,0,0,9,0,91
"ENSMUSG00000087039",0,0,0,0,0,0,0,0
"ENSMUSG00000087040",0,0,0,0,0,0,0,0
"ENSMUSG00000087041",0,0,0,0,0,0,0,0
"ENSMUSG00000087042",0,30,86,19,30,22,0,116
"ENSMUSG00000087043",0,0,0,0,0,0,0,0
"ENSMUSG00000087044",0,0,0,0,0,0,0,0
"ENSMUSG00000087045",0,0,0,0,0,0,0,0
"ENSMUSG00000087047",0,0,32,0,0,0,0,13
"ENSMUSG00000087049",0,0,22,7,0,0,0,0
"ENSMUSG00000087050",0,0,0,0,0,0,0,5
"ENSMUSG00000087051",0,0,33,14,0,0,0,4
"ENSMUSG00000087052",0,0,0,0,0,0,0,0
"ENSMUSG00000087053",0,0,10,0,0,0,0,0
"ENSMUSG00000087054",0,0,1,0,0,33,0,15
"ENSMUSG00000087055",0,0,11,0,0,14,0,2
"ENSMUSG00000087056",0,0,0,0,0,0,0,0
"ENSMUSG00000087057",6,5,68,9,24,15,32,101
"ENSMUSG00000087058",0,0,0,0,0,0,0,0
"ENSMUSG00000087059",0,3,0,0,0,0,0,3
"ENSMUSG00000087060",12,2,101,6,0,76,0,204
"ENSMUSG00000087061",0,0,0,0,0,0,0,0
"ENSMUSG00000087063",0,0,0,0,0,0,0,0
"ENSMUSG00000087064",0,0,7,0,0,0,0,17
"ENSMUSG00000087066",0,0,2,0,0,0,0,0
"ENSMUSG00000087067",0,0,1,0,0,11,0,0
"ENSMUSG00000087069",0,0,0,0,0,0,0,0
"ENSMUSG00000087070",0,0,0,0,0,0,0,0
"ENSMUSG00000087071",0,0,0,0,0,0,0,0
"ENSMUSG00000087072",0,5,0,0,0,0,0,0
"ENSMUSG00000087074",0,0,0,0,0,0,0,0
"ENSMUSG00000087075",0,0,0,0,0,0,0,0
"ENSMUSG00000087076",0,0,0,0,0,0,0,0
"ENSMUSG00000087077",0,0,0,0,0,0,0,0
"ENSMUSG00000087079",0,0,0,0,0,0,0,0
"ENSMUSG00000087080",40,82,377,49,113,88,20,151
