"","Mmus_C57-6J_ADR_FLT_Rep1_M23","Mmus_C57-6J_ADR_FLT_Rep2_M24","Mmus_C57-6J_ADR_FLT_Rep3_M25","Mmus_C57-6J_ADR_FLT_Rep4_M26","Mmus_C57-6J_ADR_FLT_Rep5_M27","Mmus_C57-6J_ADR_FLT_Rep6_M28","Mmus_C57-6J_ADR_GC_Rep1_M33","Mmus_C57-6J_ADR_GC_Rep2_M34","Mmus_C57-6J_ADR_GC_Rep3_M35","Mmus_C57-6J_ADR_GC_Rep4_M36","Mmus_C57-6J_ADR_GC_Rep5_M37"
"ENSMUSG00000059336",14,23,21,18,18,17,17,27,10,63,18
"ENSMUSG00000059343",4,2,0,5,1,2,1,3,2,3,5
"ENSMUSG00000059352",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059355",1389,1604,1599,2007,1712,1585,1384,1354,1541,1729,1389
"ENSMUSG00000059361",82,304,288,288,299,279,218,245,219,262,196
"ENSMUSG00000059363",230,274,251,401,268,316.98,255,245,280,284.98,314
"ENSMUSG00000059366",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059371",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059375",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059379",3,7.75,1,1,3.65,1.5,8.84,0.5,0,1.39,6.29
"ENSMUSG00000059382",0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000059383",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059395",9,9,20,30,34,20,16,12,18,14,20
"ENSMUSG00000059397",45,33,37,74,81,71,50,48,56,58,83
"ENSMUSG00000059401",1419,1615,1505,1706,1308,1232,1233,1062,1172,1606,1395
"ENSMUSG00000059406",3,4,2,5,2,2,0,2,4,6,1
"ENSMUSG00000059408",0,4,5,4,1,4,4,2,4,2,1
"ENSMUSG00000059409",2260,2800,2476,3031,2596,2577,2491,2145,2237,2684,2323
"ENSMUSG00000059410",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059411",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059412",10,47,44,44,56,41,42,47,40,30,37
"ENSMUSG00000059422",214.59,237.72,189.91,141.75,195.42,152.77,247.34,199.57,243.86,123.38,103.3
"ENSMUSG00000059423",1887,2013.84,1999,3108,2542,2367,1790,1837,1467,2517,2152
"ENSMUSG00000059429",0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000059430",1,10,6,6,7,5,9,6,6,12,2
"ENSMUSG00000059434",2,1,2,7,2,2,8,4,236,8,3
"ENSMUSG00000059436",1793,2452,2240,2458,2155,1921,2263,1908,1898,2115,1891
"ENSMUSG00000059439",2323,2834,2613,3007,2529,2471,2322,2194,2337,2718,2523
"ENSMUSG00000059447",10447.79,11864.31,11992.37,12346.85,17419.08,10123.6,11453.88,11681.91,12788.01,11766.17,11599.98
"ENSMUSG00000059455",0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000059456",343,630,564,799,658,506,554,884,462,642,419
"ENSMUSG00000059459",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059460",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059461",3.41,7.17,15.99,18.64,4.01,6.85,5.5,8.9,7.21,6.36,9.07
"ENSMUSG00000059463",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059473",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059474",1364,1513,1480,1447,1174,1053,1259,1167,991,1468,1181
"ENSMUSG00000059475",779,1007,913,1331,1227,1116,940,964,898,1227,1021
"ENSMUSG00000059479",85,109,98,145,96,82,102,95,79,108,85
"ENSMUSG00000059481",0,2,2,12,3,15,64,2,4606,6,2
"ENSMUSG00000059482",507,724,631,1031,863,797,640,591,527,936,818
"ENSMUSG00000059483",0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000059486",2160,3038,2840,2924,2531,2386,2556,2306,2414,2864,2387
"ENSMUSG00000059488",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059493",152,313,249,253,278,229,253,145,200,233,213
"ENSMUSG00000059495",26856.99,32425.99,28625.98,33793.97,28876.99,26798,26227.99,23360,26099.99,30620.97,27314.99
"ENSMUSG00000059498",597.64,795.21,860.34,890.72,674.78,579.85,647.25,1038.04,493.01,1005.49,522.94
"ENSMUSG00000059503",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059504",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059518",1263,1375,1225,1940,1474,1531,1137,1214,1247,1394,1301
"ENSMUSG00000059534",3235,3392,3493,4877,3986,3973,3223,3220,3532,3765,3619
"ENSMUSG00000059540",102,133,117,107,79,61,96,65,68,132,98
"ENSMUSG00000059547",0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000059552",1628,2464,1991,3051,2200,2111,2001,1764,1596,2518,1917
"ENSMUSG00000059554",235,231,187,261,242,236,170,277,173,323,293
"ENSMUSG00000059555",1322,1348,894,2733,2226,2048,1064,1241,955,2275,1788
"ENSMUSG00000059562",2,0,0,0,0,2,0,4,0,1,1
"ENSMUSG00000059565",0,0,1,0,1,0,0,0,0,0,0
"ENSMUSG00000059571",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059585",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059586",486,582,539,722,550,478,462,430,341,524,516
"ENSMUSG00000059588",1141,1489,1297,1796,1910,1816,1543,1510,1525,1852,1440
"ENSMUSG00000059595",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059602",166,294,272,264,294,188,147,169,143,189,153
"ENSMUSG00000059606",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059610",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059623",0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000059625",0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000059626",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059631",9,3,3,8,1,6,7,0,2,3,3
"ENSMUSG00000059632",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059639",0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000059645",11.81,10,3,6,3,7.41,5,9,8,16,7
"ENSMUSG00000059647",0,0,8.01,0,0,0,0,0,0,0,0
"ENSMUSG00000059648",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059654",0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000059657",0,0,2,0,1,0,1,2,0,0,0
"ENSMUSG00000059658",0,1.5,0,0,2.71,0,0,1.78,1.45,0,0
"ENSMUSG00000059659",16,49,35,50,51,58,43,57,51,30,46
"ENSMUSG00000059663",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059668",1,1,1,0,2,0,0,0,0,0,0
"ENSMUSG00000059669",255.68,378.89,314.65,537,383,374,258,223,189,470.27,345
"ENSMUSG00000059674",59,65,70,62,68,63,41,73,52,61,49
"ENSMUSG00000059687",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059689",337,448,402,671,515,512,424,408,388,696,486
"ENSMUSG00000059690",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059695",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059706",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059708",630,733,617,1241,1049,963,685,612,571,1146,1054
"ENSMUSG00000059713",1179,1404,1104,1814,1490,1363,1171,1080,1130,1784,1556
"ENSMUSG00000059714",2219,2839,2378,3003,2433,2596,2278,2080,2213,2713,2466
"ENSMUSG00000059729",0,0,0,0,0,0,0,1,0,0,1
"ENSMUSG00000059734",4156,4519,4125,5718,4743,4375,3620,3714,4299,4499,4348
"ENSMUSG00000059741",104,85,87,92,77,69,92,106,142,103,79
"ENSMUSG00000059742",1,2,2,0,4,2,1,2,5,1,0
"ENSMUSG00000059743",5860.75,3672.85,3930.44,7025.11,4371.55,4956.7,3427.64,3683.02,3933.94,4585.77,3676.26
"ENSMUSG00000059751",4.43,11.88,8.54,4.63,9.4,9.08,8.02,5.31,7.71,7.35,4.35
"ENSMUSG00000059762",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059763",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059768",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059772",190,274,201,441,366,327,222,214,188,423,363
"ENSMUSG00000059775",32.05,32.68,53.4,39.65,25.51,41.65,31.37,24.57,30.83,46.23,39.26
"ENSMUSG00000059776",4.48,0.97,0,4.91,0,0.92,3.43,0,0,4,0
"ENSMUSG00000059791",148,219,130,164,129,122,124,130,101,154,92
"ENSMUSG00000059796",26543.03,33339.02,31892.54,28694.8,23214.81,23487.59,26640.51,23504.92,27205.12,23220.68,21165.5
"ENSMUSG00000059810",746,1325.65,1119,1169.72,1148.02,963,1106.69,1187,872,1074.23,891
"ENSMUSG00000059811",7534,6860,7289,6082,5569,5147,5681,5065,5783,5614,4696
"ENSMUSG00000059816",23,90,69,120,65,89,32,34,53,58,36
"ENSMUSG00000059820",702.98,943.99,902,896,733,659,821,731,673,862,648
"ENSMUSG00000059821",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059824",2946,5552,5428,2039,4248,2999,5228,4850,5385,11397,10217
"ENSMUSG00000059827",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059830",0,0,0,1.6,0,0,0,0,0,0,0
"ENSMUSG00000059832",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059834",491,519,490,444,365,341,382,317,374,414,356
"ENSMUSG00000059835",0,2.16,1.05,0,0,0,1.08,0,1.06,1.08,0
"ENSMUSG00000059839",361.2,363.2,377.77,711.58,532.24,449.83,460.59,412.7,380.98,749.7,499.34
"ENSMUSG00000059842",101,154,131,291,232,190,164,166,119,216,161
"ENSMUSG00000059845",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059851",289,334,285,476,346,382,290,334,206,364,326
"ENSMUSG00000059852",29,77,75,102,88,78,57,100,64,46,54
"ENSMUSG00000059854",39,23,20,83,73,53,19,27,42,100,79
"ENSMUSG00000059857",73,326,233,292,209,126,288,47,209,184,218
"ENSMUSG00000059862",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059864",0,0,0,0,2,0,3,1,3,1,2
"ENSMUSG00000059866",343,371,391,478,395,367,363,453,295,468,358
"ENSMUSG00000059867",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059873",0,0,0,2,0,0,0,0,0,0,0
"ENSMUSG00000059874",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059877",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059878",585,843.96,673,1008,856,703.98,715,549,521,915,717
"ENSMUSG00000059883",540,677,580,809,656,629,528,564,540,643,568
"ENSMUSG00000059887",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059890",5853,6073,5782,7377,6831,6036,5585,5441,5825,6591,6228
"ENSMUSG00000059891",1,3,2,0,0,0,0,3,1,1,2
"ENSMUSG00000059895",1278,1782,1759,1816,1583,1457,1330,1627,1416,1559,1515
"ENSMUSG00000059897",157,269,275,346,298,221,266,174,182,330,225
"ENSMUSG00000059898",1,0,0,0,0,0,0,2,0,0,0
"ENSMUSG00000059900",0,0,5,2,2,0,2,1,2,1,5
"ENSMUSG00000059901",120,161,238,206,171,149,164,270,136,180,161
"ENSMUSG00000059908",12,11,26.67,109.06,18,40,66.04,18,3828.95,71.34,18
"ENSMUSG00000059910",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059912",1.02,0,0,0,1.01,0,0,0,0,2.01,0
"ENSMUSG00000059920",1366,1544,1572.99,1908,1790,1597.99,1461.99,1466,1476,1789,1574
"ENSMUSG00000059921",587,1438,1205,1254,1126,1047,903,837,686,919,709
"ENSMUSG00000059923",5017.83,5976.97,5382.86,7098.81,5640.89,5701.71,4852.82,5095.88,4787.86,6207.9,5341.97
"ENSMUSG00000059934",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059939",139,206,169,233,161,161,109,152,143,182,165
"ENSMUSG00000059956",0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000059964",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059970",786,1301,1124,1264,1037,1005,948,1097,993,998,876
"ENSMUSG00000059972",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059974",18,63,54,35,36,35,45,21,40,39,30
"ENSMUSG00000059975",239,351,282,646,562,449,365,334,298,520,420
"ENSMUSG00000059981",3290,4441,3914,5768,4469,4520,3601,3859,3040,4770,3919
"ENSMUSG00000059991",9,14,10,14,8,6,16,18,13,2,9
"ENSMUSG00000059994",6,15,11,18,4,6,12,15,3,16,13
"ENSMUSG00000059995",3351,4376,3840,4357,3388,3512,3420,3343,3095,3415,2948
"ENSMUSG00000060002",3280,3960,4240.98,4552.04,6704,2887,7430,3319,4380,3980,3647
"ENSMUSG00000060012",8093,8738,7357,11327,8886,9112,7078,6613,6193,9741,8780
"ENSMUSG00000060017",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060019",21.09,24.94,16.22,15.45,31.38,23.58,28.41,15.36,24.86,18.53,24.19
"ENSMUSG00000060024",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060029",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060030",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060032",3240,2769,2961,4089.18,3717,3650.21,2383,3396,3665,3675.88,4017
"ENSMUSG00000060034",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060036",19512.87,25997.45,24513.5,30078.27,20965.06,23808.66,23106.35,20351.88,21091.42,25610.34,21105.05
"ENSMUSG00000060038",417,471,527,580,528,540,417,431,495,491,489
"ENSMUSG00000060044",372,464,321,771,599,565,371,467,320,466,467
"ENSMUSG00000060049",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060057",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060063",302,323,334,451,323,274,313,327,251,437,253
"ENSMUSG00000060068",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060070",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060073",4102.62,4888.58,4762.91,5474.34,4824.14,4252.59,4262.99,4026.55,4526.55,4918.34,4353.01
"ENSMUSG00000060081",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060084",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060090",818,1250,1077,1267,1013,954,1029,904,766,1082,865
"ENSMUSG00000060093",494.61,760.72,606.36,456.72,389.33,334.31,505.24,593.54,415.92,395.44,249.22
"ENSMUSG00000060096",33.53,40.67,22.32,36.75,37.16,22.32,25.73,32.61,37.82,25.96,23.15
"ENSMUSG00000060098",1163,1233,1268,1563,1490,1275,1222,1356,1323,1461,1199
"ENSMUSG00000060105",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060112",0,0,0,0,0,1,0,2,0,0,0
"ENSMUSG00000060114",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060121",125,132,107,221,146,164,84,125,126,163,140
"ENSMUSG00000060126",38006.18,46552.16,43707.03,49277.2,39552.27,40669.51,42560.53,36608.8,42920.41,44181.86,37772.23
"ENSMUSG00000060128",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060131",168,188,292,382,188,199,211,325,143,238,135
"ENSMUSG00000060143",1938.95,2285.35,2635.85,2603.86,2511.43,2640.59,2014.12,2121.65,2393,2480.38,2303.06
"ENSMUSG00000060147",18701,18775,17894,24012,19709,21044,15628,17030.92,19080,20889,20396
"ENSMUSG00000060149",75,130,105.13,227,190.57,164,121.34,148.23,117.09,196,136.07
"ENSMUSG00000060152",939,1171,1015,1502,1195,1292,986,1037,1080,1154,1187
"ENSMUSG00000060161",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060166",1518,2337,1907,2622,2207,2090,1842,1472,1538,2205,1666
"ENSMUSG00000060170",0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060176",46,90,94,168,116,109,71,101,69,70,85
"ENSMUSG00000060177",0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000060180",0,2,2.01,3,0,4.02,0,1,3,6.03,2
"ENSMUSG00000060181",775,1026,900,1231.88,1106.51,993.38,880,863.43,864.91,1164.21,899.76
"ENSMUSG00000060183",0,0,2,3,0,0,2,0,4,1,3
"ENSMUSG00000060187",0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060188",0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000060198",0,2.49,2.35,2.56,3.23,2.43,0,9.74,0,2.34,4.07
"ENSMUSG00000060201",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060204",0,0,0,0,0,0,0,0,0,1.04,0
"ENSMUSG00000060205",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060206",4280,5405,4460,7507,6265,6045,4482,3271,3713,4954,4550
"ENSMUSG00000060208",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060212",1,5,5,2,2,0,9,5,3,4,3
"ENSMUSG00000060216",501,595,605,857,529,471,473,733,380,691,438
"ENSMUSG00000060224",2490,2351,2118,1709,2210,1775,1604,2123,2125,2061,2156
"ENSMUSG00000060227",3313,4344,4080,3556,3622,3143,3895,2909,3362,4042,3296
"ENSMUSG00000060240",16,77,72,52,72,60,43,49,31,46,34
"ENSMUSG00000060244",66,73,79,145,122,108,103,90,114,191,123
"ENSMUSG00000060245",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060254",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060256",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060257",19,43,30,37,43,33,28,50,33,27,34
"ENSMUSG00000060260",380,477,472,1050,701,693,515,514,447,920,665
"ENSMUSG00000060261",15363,21820,18788,23417,19991,19290,18578,14315,16450,20208,17698
"ENSMUSG00000060268",140.72,206.88,142.28,128.57,122.37,153.68,116.78,37,79.34,97.16,77.41
"ENSMUSG00000060275",75,68,129,105,69,81,67,58,70,97,62
"ENSMUSG00000060279",4278,5707,4840,6804,5332,5193,4271,4223,4502,5311,4889.2
"ENSMUSG00000060284",0,4,6,12,10,7,12,1,11,4,5
"ENSMUSG00000060288",283.99,363.23,288.17,426.06,280.84,321.96,241.89,286.98,257.54,365.06,294.5
"ENSMUSG00000060301",576,812,708,1216,914,855,688,629,573,1100,778
"ENSMUSG00000060303",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060311",0,0,0,0,1,0,8,10,0,2,1
"ENSMUSG00000060314",411,580.81,399,603.94,646,535.98,327,328.91,421,409.97,443
"ENSMUSG00000060317",0,0,0,3.11,3.17,0,1,0,145.97,0,0
"ENSMUSG00000060332",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060335",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060336",133.25,226.21,220,452.93,373.75,309.91,211.13,153.01,170.07,340.23,247.13
"ENSMUSG00000060371",4631,11922,7812,8014,5946,5628,7327,2030,4799,4522,4757
"ENSMUSG00000060373",7350.55,9950.48,8612.82,8433.77,6885.87,7270.97,8190.55,7110.87,8058.82,6753.9,5934.77
"ENSMUSG00000060375",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060376",6491,7332,6341,6090,7032,5138,6407,5612,6759,6072,6144
"ENSMUSG00000060377",7.11,8.84,9.39,12.61,7.99,11.85,5.72,6.95,3.32,12.36,8.93
"ENSMUSG00000060380",31,54,31,37,39,32,25,23,20,47,30
"ENSMUSG00000060397",65,150,120,174,150,109,176,121,124,179,120
"ENSMUSG00000060402",1068,1441,1071,805,736,680,1078,562,1081,462,496
"ENSMUSG00000060404",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060407",0,0,2,3,0,1.49,10.53,1,1060.99,2,2
"ENSMUSG00000060411",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060412",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060416",0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000060417",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060419",220.35,305.07,300.06,353.1,381.64,339.68,435.97,283.5,311.2,317.23,289.52
"ENSMUSG00000060424",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060427",383.92,487.96,448.61,598.08,484.92,422.58,424.26,400.83,370.82,544.46,417.39
"ENSMUSG00000060429",7078,6751,7235,5460,6862,5939,6478,6237,7840,7036,7112
"ENSMUSG00000060438",3.76,8.53,11.32,12.16,7.55,11.24,19.64,9.38,13.27,14.31,11.06
"ENSMUSG00000060441",269.27,265.3,189.21,415.11,289.58,258.26,162.06,240.46,141.05,406.84,286.57
"ENSMUSG00000060445",0,1,1,3,4,0,1,5,3,0,1
"ENSMUSG00000060450",2584,3240,2897,3967,3520,3189,2838,2983,2628,3584,3186
"ENSMUSG00000060459",115,64,143,207.83,252.99,84.78,97.86,105.94,477.65,348.83,65.98
"ENSMUSG00000060461",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060467",5.97,1.75,1.59,0,4.42,3.87,5.43,9.45,7.03,2.36,2.77
"ENSMUSG00000060469",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060470",173,160,215,254,169,161,127,171,153,149,223
"ENSMUSG00000060475",1871.9,2482.86,2512.96,2963,2516.93,2294.9,2180.93,2112.8,2066.92,2644.77,2360.88
"ENSMUSG00000060477",609,1002,764,792,726,579,905.78,721,830,744,621
"ENSMUSG00000060480",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060487",3001,2501,2752,2804,3265,2257,2240,2750,3149,3040,3438
"ENSMUSG00000060491",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060499",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060503",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060508",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060509",11,55,17,52,16,46,42,52,14,35,22
"ENSMUSG00000060510",1966,2856,2435,4118,3453,3140,2907,2397,2262,3954,3127
"ENSMUSG00000060512",19,23,16,17,15,10,19,6,40,13,12
"ENSMUSG00000060519",1160,1405,1214,2259,1546,1424,1067,1186,812,1613,1119
"ENSMUSG00000060523",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060530",42,79,65,97,56,48,46,66,38,43,48
"ENSMUSG00000060534",187,581,433,423,453,317,369,416,256,289,321
"ENSMUSG00000060538",492,572,616,799,509,547,554,563,474,653,540
"ENSMUSG00000060548",6534,6904,5599,7150,6476,6138,5255,4821,4960,8101,6587
"ENSMUSG00000060550",664.02,947.12,675.77,1985.18,999,856.68,1097.11,2314.23,720.88,1004.64,633.84
"ENSMUSG00000060556",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060560",1,5,0,1,2,1,3,1,2,1,6
"ENSMUSG00000060565",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060566",0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060568",535,568,543,713,547,668,609,526,416,449,304
"ENSMUSG00000060572",109,230,212,258,209,188,182,162,138,216,176
"ENSMUSG00000060579",151,157,147,98,147,96,154,148,187,176,152
"ENSMUSG00000060583",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060586",2740,5172,4267,5148,3941,3803,5173,10623,2978,6107,2734
"ENSMUSG00000060591",6970.33,10296,8672.49,9328.52,8701.27,7452,8830.11,6310,7992,9553.58,7016.9
"ENSMUSG00000060594",157,221,157,256,187,205,202,139,176,218,162
"ENSMUSG00000060600",676,1123,967,1835,1155,1055,980,506,863,636,635
"ENSMUSG00000060601",3700,3861,3618,4169,3600,3604,3171,3348,3459,4006,3642
"ENSMUSG00000060613",0,0,0,2,2,1,14,1,891,0,1
"ENSMUSG00000060615",0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000060621",3,9,3,0,5,2,2,0,5,0,2
"ENSMUSG00000060630",0,0,0,0,0,0,0,2,0,0,0
"ENSMUSG00000060636",4331,5378.36,5249.97,6117,4878.23,5136.7,5250.32,4382.16,5212.32,6263.4,5024.49
"ENSMUSG00000060639",381.5,331.56,306.35,398.8,382.2,360.59,267.2,353.53,304.08,316.17,310.32
"ENSMUSG00000060647",6.02,4.01,3,5.01,4.01,0,3,3.02,5,4.01,2
"ENSMUSG00000060657",13775,18129,16429,17337,14654,15308,14403,14729,14306.07,15127,13822
"ENSMUSG00000060663",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060671",1947,2971,2497,3180,2803,2536,2247,2195,1944,2771,2321
"ENSMUSG00000060673",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060675",1211,1546,1351,1745,1681,1243,2549,1578,1524,1672,1368
"ENSMUSG00000060678",2301.68,2748.87,2659.98,2444.31,2144.63,2027.72,2914.14,2739,2676.95,2805.63,1947.56
"ENSMUSG00000060679",1343,1590,1544,1702,1506,1341,1435,1239,1191,1874,1353
"ENSMUSG00000060680",1.6,0.9,4.51,3.83,6.08,2.4,2.53,1.29,1.25,2.67,2.26
"ENSMUSG00000060681",2416,2810,2714,3087,2827,2512,2752,2381,2385,3046,2540
"ENSMUSG00000060685",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060688",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060691",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060699",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060701",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060703",331,590,460,577,483,367,615,426,718,544,418
"ENSMUSG00000060708",837,936,899,917,807,794,750,770,800,793,736
"ENSMUSG00000060715",0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000060716",188,300,299,412,420,347,250,304,289,321,330
"ENSMUSG00000060724",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060726",2,2,1,1,1,0,3,2,2,0,4
"ENSMUSG00000060727",0,0,0,0,0,0,0,1.01,0,0,1.01
"ENSMUSG00000060730",0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000060733",1182,1473,1321,1160,1010,957,1168,1270,1238,1304,1029
"ENSMUSG00000060735",0,1,1,1,1,0,2,0,2,0,0
"ENSMUSG00000060738",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060739",2688.06,3270.08,2901.03,3766.33,2917.71,2848.3,3034.05,2658.13,2748.11,3277.22,2846.53
"ENSMUSG00000060742",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060743",9621.44,11991.89,11392.41,12337.73,10290.41,9808.37,10758.79,8625.65,10143.72,11785.37,9628.02
"ENSMUSG00000060747",0,0,0,2,0,0,0,3,1,0,1
"ENSMUSG00000060756",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060759",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060765",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060771",163,276,208,227,229,149,191,138,162,208,159
"ENSMUSG00000060777",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060780",11,47,34,41,40,35,25,56,29,31,38
"ENSMUSG00000060787",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060791",63,102,52,122,148.99,109.98,103.92,188,65,125,95
"ENSMUSG00000060794",0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000060795",6.35,8.42,3.92,2.3,3.98,0,8.64,4.38,9.22,2.02,7
"ENSMUSG00000060798",459,605,461,473,494,398,447,368,389,461,441
