"","RR10_BRN_FLT_WT_F1","RR10_BRN_FLT_WT_F3","RR10_BRN_FLT_WT_F5","RR10_BRN_FLT_WT_F7","RR10_BRN_GC_WT_G1","RR10_BRN_GC_WT_G3","RR10_BRN_GC_WT_G5","RR10_BRN_GC_WT_G7","RR10_BRN_GC_WT_G9"
"ENSMUSG00000001023",10,5,0,1,0,3,1,0,0
"ENSMUSG00000001025",976,1755,785,1263,1953,1775,2222,1091,2046
"ENSMUSG00000001027",1,0,0,3,4,1,12,1,1
"ENSMUSG00000001029",77,125,80,122,167,181,223,93,179
"ENSMUSG00000001034",143,182,241,504,877,787,559,149,305
"ENSMUSG00000001036",2697,3330,3836,6705,10013,9083,8085,3183,6371
"ENSMUSG00000001039",290,481,417,784,1148,1111,856,485,744
"ENSMUSG00000001052",722,1173,1156,2466,2990,2747,2348,848,2193
"ENSMUSG00000001053",133,166,216,269,554,585,724,195,424
"ENSMUSG00000001054",627,702,779,1271,1728,1353,1503,761,1308
"ENSMUSG00000001056",676,650,591,1093,914,846,1070,784,1452
"ENSMUSG00000001062",908,1501,1240,2194,1477,1185,1568,746,1879
"ENSMUSG00000001065",149,231,334,536,789,821,707,201,496
"ENSMUSG00000001076",0,0,2,6,10,5,3,1,28
"ENSMUSG00000001082",58,104,96,259,396,340,316,79,193
"ENSMUSG00000001089",2498,4184,4184,5779,12403,9635,8553,2099,8389
"ENSMUSG00000001095",0,0,1,0,0,0,4,0,1
"ENSMUSG00000001098",1178,1714,1804,3053,2738,2681,3147,1591,3126
"ENSMUSG00000001100",2290,3239,3060,4555,5864,5098,5467,2348,6207
"ENSMUSG00000001103",68,36,32,34,961,572,426,18,30
"ENSMUSG00000001105",1033,1264,1125,1703,2029,1911,2126,1028,2446
"ENSMUSG00000001119",255,643,268,741,710,378,884,341,473
"ENSMUSG00000001120",552,597,1018,1420,3481,2631,2665,678,1717
"ENSMUSG00000001123",146,249,159,310,208,231,336,157,316
"ENSMUSG00000001127",3630,4172,5724,9040,12179,10715,10907,6636,13119
"ENSMUSG00000001128",33,60,90,203,360,254,199,67,113
"ENSMUSG00000001131",3,39,24,13,60,28,64,1,24
"ENSMUSG00000001134",255,290,294,471,804,838,704,352,600
"ENSMUSG00000001138",444,560,793,1532,2411,2224,1628,682,1202
"ENSMUSG00000001143",429,629,781,1664,1892,1914,1609,664,1181
"ENSMUSG00000001150",867,1034,1260,2829,3402,2738,2357,1269,2499
"ENSMUSG00000001151",812,1469,1541,2991,3631,3168,3090,1001,2841
"ENSMUSG00000001155",0,0,8,8,1,0,3,2,7
"ENSMUSG00000001156",462,589,706,1206,1943,1483,1390,588,1085
"ENSMUSG00000001157",625,835,839,1908,2153,1906,1717,809,1779
"ENSMUSG00000001158",906,1242,1191,1876,3989,3584,3166,1519,3043
"ENSMUSG00000001166",54,60,37,106,37,43,47,55,84
"ENSMUSG00000001168",0,0,0,1,0,0,0,2,0
"ENSMUSG00000001173",1379,1780,2363,3901,4142,3303,2937,1793,4121
"ENSMUSG00000001175",138314,215475,155636,278509,161777,125936,192579,132827,304290
"ENSMUSG00000001211",6033,9055,9243,14807,15686,13745,12861,6333,15781
"ENSMUSG00000001225",1,12,3,6,4,4,3,14,2
"ENSMUSG00000001227",2176,2815,3328,5542,3693,2978,3638,2504,4381
"ENSMUSG00000001228",19,21,31,42,20,31,35,38,24
"ENSMUSG00000001229",686,1134,1384,2102,1936,1992,1863,706,2220
"ENSMUSG00000001240",276,415,377,631,853,870,1150,361,883
"ENSMUSG00000001247",192,370,240,383,449,409,664,204,455
"ENSMUSG00000001248",856,1049,1275,2662,2491,2231,2142,1122,2197
"ENSMUSG00000001249",7,20,14,54,163,104,75,2,15
"ENSMUSG00000001260",1271,1851,2701,4464,2639,2886,2749,3800,5772
"ENSMUSG00000001270",24313,30019,34571,45561,76397,71887,87664,30644,52323
"ENSMUSG00000001280",971,1350,1547,2761,5384,4502,3229,1289,3067
"ENSMUSG00000001281",16,14,17,27,204,255,130,16,41
"ENSMUSG00000001285",222,272,503,741,1355,1371,1107,606,935
"ENSMUSG00000001288",154,242,197,434,606,431,425,200,322
"ENSMUSG00000001289",8152,10998,11297,15141,13384,14395,16310,12876,22336
"ENSMUSG00000001300",679,911,439,3182,1373,1319,1286,1364,1476
"ENSMUSG00000001305",156,224,198,409,731,537,450,244,443
"ENSMUSG00000001313",3399,5097,5774,10162,5738,9451,8669,7270,10094
"ENSMUSG00000001323",2054,2764,2263,4878,2358,2481,2633,1969,4561
"ENSMUSG00000001333",23,36,33,99,37,35,32,27,63
"ENSMUSG00000001334",1567,2538,3909,3838,13796,10050,8225,2014,5425
"ENSMUSG00000001348",3,6,16,17,55,25,27,0,12
"ENSMUSG00000001349",14,17,22,90,27,28,31,42,31
"ENSMUSG00000001366",1733,2416,2776,3841,5869,5817,4827,1993,6040
"ENSMUSG00000001376",2251,3340,2780,4724,6517,5895,5068,2590,6549
"ENSMUSG00000001380",1712,1792,2389,3972,6400,5148,5112,2342,4660
"ENSMUSG00000001383",4389,4936,4941,8317,10788,9000,9804,5326,10324
"ENSMUSG00000001403",4,10,5,10,27,5,11,13,18
"ENSMUSG00000001415",2070,2962,2739,4741,5230,4207,4003,2905,4102
"ENSMUSG00000001416",2434,2598,3606,5400,10373,9773,8946,4557,8069
