"","Mmus_C57-6J_SPL_cells_Rep1_SP1","Mmus_C57-6J_SPL_ss-tissues_Rep1_SP1","Mmus_C57-6J_SPL_ss-tissues_Rep2_SP2","Mmus_C57-6J_SPL_ss-tissues_Rep3_SP3","Mmus_C57-6J_SPL_tissues_Rep1_SP1"
"ENSMUSG00000042590",256.99,267.9,328.93,385.99,280
"ENSMUSG00000042594",1532,1417,2479,2110,1327
"ENSMUSG00000042595",239,135,109,197,153
"ENSMUSG00000042596",0,0,0,0,0
"ENSMUSG00000042599",1955,1341.98,1081,1690.99,1481.97
"ENSMUSG00000042604",0,0,0,0,0
"ENSMUSG00000042605",257,216,296,378,229
"ENSMUSG00000042606",304,416,339,463,401
"ENSMUSG00000042607",2,10,5,10,9
"ENSMUSG00000042608",389,468,699,603,412
"ENSMUSG00000042613",1818,1375,1941,1726,1313
"ENSMUSG00000042616",3,15,15,29,15
"ENSMUSG00000042622",13,37,54,46,27
"ENSMUSG00000042625",2699.36,2093.93,3253,3322.24,1976
"ENSMUSG00000042626",785,820.98,1154.98,1003,843
"ENSMUSG00000042628",281,496,574,500,431
"ENSMUSG00000042631",0,0,0,0,0
"ENSMUSG00000042632",76,100,170,134,100
"ENSMUSG00000042638",0,1,8,4,5
"ENSMUSG00000042641",0,0,0,0,1
"ENSMUSG00000042642",349.32,327.24,587.36,438.17,387.05
"ENSMUSG00000042644",3204,2062,3444.99,3092,2125.99
"ENSMUSG00000042647",45.29,49.75,74.53,85.43,65.55
"ENSMUSG00000042650",772,645,1161,905,606
"ENSMUSG00000042655",0,0,0,0,0
"ENSMUSG00000042659",62,176,268,256,162
"ENSMUSG00000042660",204,226,347,313,240
"ENSMUSG00000042662",0,1,6,7,1
"ENSMUSG00000042670",178,171,274,212,146
"ENSMUSG00000042671",1,0,6,1,2
"ENSMUSG00000042672",3,4,11,11,7
"ENSMUSG00000042675",765,651,1037,1022,579
"ENSMUSG00000042677",379,262,619,556,263
"ENSMUSG00000042678",0,6,3,3,7
"ENSMUSG00000042680",3,39,6,22,47
"ENSMUSG00000042682",432.32,542.84,898.92,748.85,493.42
"ENSMUSG00000042684",25,73,111,110,75
"ENSMUSG00000042686",0,6,8,14,4
"ENSMUSG00000042688",424.18,462.75,550,641.98,451.74
"ENSMUSG00000042694",139,104,182,169,111
"ENSMUSG00000042699",2952,2938,2062,2729,3003
"ENSMUSG00000042700",868,825,1134,1061,860
"ENSMUSG00000042705",100,137,241,176,155
"ENSMUSG00000042707",0,0,0,2,2
"ENSMUSG00000042708",19,24,17,15,15
"ENSMUSG00000042709",137,153,225,182,150
"ENSMUSG00000042712",151,336,244,320,378
"ENSMUSG00000042717",0,0,0,0,2
"ENSMUSG00000042719",423.63,445.78,413.81,504.6,493.78
"ENSMUSG00000042724",117,132,161,154,125
"ENSMUSG00000042726",636,938.67,1283,1204.83,965
"ENSMUSG00000042729",247,256,324,354,229
"ENSMUSG00000042734",0,10,13,14,8
"ENSMUSG00000042737",108,95,202,178,90
"ENSMUSG00000042742",431,345,350,433,389
"ENSMUSG00000042743",4,18,20,20,18
"ENSMUSG00000042744",1272,1354,1607,1746,1284
"ENSMUSG00000042745",9,105,125,123,74
"ENSMUSG00000042747",186,190,372,289,177
"ENSMUSG00000042750",0,1,0,1,5
"ENSMUSG00000042751",15,10,20,21,19
"ENSMUSG00000042757",79.18,42,85,70,57
"ENSMUSG00000042759",390.38,610.22,636.78,625.57,614.62
"ENSMUSG00000042761",0,0,0,2,2
"ENSMUSG00000042763",9,3,1,4,3
"ENSMUSG00000042766",24,20,18,29,21
"ENSMUSG00000042770",122,653,694,687,643
"ENSMUSG00000042772",1120,1026,1414,1349,1118
"ENSMUSG00000042774",0,0,0,0,0
"ENSMUSG00000042784",3,50,15,12,34
"ENSMUSG00000042787",70,102,135,129,69
"ENSMUSG00000042788",1,0,0,1,0
"ENSMUSG00000042790",264.72,218.37,260.18,306.16,250.28
"ENSMUSG00000042793",0,7,5,3,12
"ENSMUSG00000042796",0,0,0,0,0
"ENSMUSG00000042797",5,14,5,11,6
"ENSMUSG00000042800",0,1,0,1,1
"ENSMUSG00000042801",0,0,0,0,0
"ENSMUSG00000042804",2,83,99,88,76
"ENSMUSG00000042807",12,26,33,43,47
"ENSMUSG00000042808",0,1,0,1,0
"ENSMUSG00000042810",473,378,502,521,352
"ENSMUSG00000042812",0,12,21,15,11
"ENSMUSG00000042814",23,27,33,29,37
"ENSMUSG00000042816",2,1,0,1,5
"ENSMUSG00000042817",173,415,577,479,495
"ENSMUSG00000042821",0,22,46,36,21
"ENSMUSG00000042826",4,18,20,18,24
"ENSMUSG00000042828",4.6,0,5,3,0.53
"ENSMUSG00000042831",153.85,133,266,238.81,134.96
"ENSMUSG00000042834",6,69,90,80,53
"ENSMUSG00000042842",212,570,673.66,778.68,606
"ENSMUSG00000042845",0,0,0,0,0
"ENSMUSG00000042846",0,0,0,0,0
"ENSMUSG00000042848",0,0,0,0,0
"ENSMUSG00000042849",0,0,0,0,0
"ENSMUSG00000042851",125.3,90.99,82.45,132.51,93.8
"ENSMUSG00000042854",40.43,49.73,103.6,62.88,35.57
"ENSMUSG00000042857",21,11,26,28,17
"ENSMUSG00000042861",0,0,0,0,0
"ENSMUSG00000042863",0,0,0,0,0
"ENSMUSG00000042869",0,0,0,0,0
"ENSMUSG00000042870",106.99,150.15,257.01,198.66,166.25
"ENSMUSG00000042873",1,5,5,5,6
"ENSMUSG00000042874",0,0,0,0,0
"ENSMUSG00000042888",0,0,0,0,0
"ENSMUSG00000042894",0,0,0,0,0
"ENSMUSG00000042895",0,0,1,0,0
"ENSMUSG00000042901",742.49,603.54,612.05,695.62,707.4
"ENSMUSG00000042903",431,479,489,467,480
"ENSMUSG00000042909",1,0,0,0,1
"ENSMUSG00000042918",1,23,27,31,9
"ENSMUSG00000042938",22.31,30.28,37.58,37.43,18.82
"ENSMUSG00000042940",0,0,0,1,0
"ENSMUSG00000042942",3,10,11,11,11
"ENSMUSG00000042961",0,96,84,59,103
"ENSMUSG00000042962",0,0,0,0,1
"ENSMUSG00000042976",0,5,2,7,9
"ENSMUSG00000042978",1458,1003,1788,1470,918
"ENSMUSG00000042985",0,54,212,125,44
"ENSMUSG00000042988",0,2,1,2,2
"ENSMUSG00000042992",56,51,94,75,39
"ENSMUSG00000042993",0,0,0,0,0
"ENSMUSG00000042997",338,413,511,431,397
"ENSMUSG00000043003",0,4,2,1,7
"ENSMUSG00000043004",821,760,810,905,788
"ENSMUSG00000043008",1282,1171,1486,1552,1164
"ENSMUSG00000043013",0,2,3,0,5
"ENSMUSG00000043015",611,426,614,669,476
"ENSMUSG00000043017",30,107,119,101,93
"ENSMUSG00000043019",715,709,531,744,796
"ENSMUSG00000043020",0,0,0,0,0
"ENSMUSG00000043024",2.26,5.35,2.26,2.2,9.06
"ENSMUSG00000043029",0,27,32,50,39
"ENSMUSG00000043036",2,2,1,3,1
"ENSMUSG00000043050",0,0,2,0,0
"ENSMUSG00000043051",12,29,29,22,18
"ENSMUSG00000043059",328,309.96,462,443,266.96
"ENSMUSG00000043060",0,0,0,0,0
"ENSMUSG00000043061",194,227,315,305,222
"ENSMUSG00000043065",306,249,198,260,221
"ENSMUSG00000043066",0,0,0,0,0
"ENSMUSG00000043067",390,684,720,802,692
"ENSMUSG00000043068",16,12,22,21,22
"ENSMUSG00000043073",0,0,0,0,0
"ENSMUSG00000043079",19,323,356,339,318
"ENSMUSG00000043085",6,11.47,13.37,11.19,12
"ENSMUSG00000043087",0,0,0,0,0
"ENSMUSG00000043088",0,3,9,5,1
"ENSMUSG00000043089",0,0,0,0,0
"ENSMUSG00000043090",532.79,541,610,621,570
"ENSMUSG00000043091",384.07,835.33,874.76,893.75,770.63
"ENSMUSG00000043099",17,46,85,77,38
"ENSMUSG00000043102",9,20,15,21,9
"ENSMUSG00000043110",1,14,37,34,16
"ENSMUSG00000043119",0,0,0,0,0
"ENSMUSG00000043122",0,2,8,0,5
"ENSMUSG00000043126",3,1,1,1,0
"ENSMUSG00000043131",2914,2886,3568,3818,2892
"ENSMUSG00000043140",274,312,421,433,287
"ENSMUSG00000043144",0,0,0,0,0
"ENSMUSG00000043145",0,0,0,0,0
"ENSMUSG00000043153",19,43,32,35,29
"ENSMUSG00000043154",20,36,35,36,44
"ENSMUSG00000043155",0,2,4,0,5
"ENSMUSG00000043157",23,26,45,40,25
"ENSMUSG00000043162",72.84,123.07,163.63,195.5,116.16
"ENSMUSG00000043164",0,0,0,0,0
"ENSMUSG00000043165",0,1,1,0,1
"ENSMUSG00000043168",327.1,229.22,304.58,335.27,228.14
"ENSMUSG00000043183",131,101,134,192,146
"ENSMUSG00000043190",103,88,75,113,74
"ENSMUSG00000043192",6.02,9.02,7.01,16.06,18.03
"ENSMUSG00000043207",451,567,634,768,553
"ENSMUSG00000043219",1,0,3,2,2
"ENSMUSG00000043223",0,0,0,1,0
"ENSMUSG00000043226",0,0,0,0,0
"ENSMUSG00000043230",7,8,10,10,11
"ENSMUSG00000043241",796,673,425,728,670
"ENSMUSG00000043243",1093.78,868.2,1054.57,1076.2,810.77
"ENSMUSG00000043251",16.44,92,135,146.24,120
"ENSMUSG00000043252",572,437,512,495,442
"ENSMUSG00000043257",301,284,477,386,265
"ENSMUSG00000043259",0,29,19,28,33
"ENSMUSG00000043262",85,150,142,160,137.84
"ENSMUSG00000043263",2940.89,1709.14,1125.23,1878.81,1908.54
"ENSMUSG00000043267",0,0,0,0,0
"ENSMUSG00000043274",0,0,0,0,0
"ENSMUSG00000043279",2101,1749,1700,2001,1784
"ENSMUSG00000043282",0,1,0,3,0
"ENSMUSG00000043284",179,160,375,273,160
"ENSMUSG00000043286",0,0,1,3,0
"ENSMUSG00000043289",1,1,1,0,2
"ENSMUSG00000043290",50.54,50.66,70.93,65.64,50.37
"ENSMUSG00000043295",0,0,0,0,0
"ENSMUSG00000043298",0,1,0,0,0
"ENSMUSG00000043300",9,30,45,38,34
"ENSMUSG00000043301",0,0,0,1,0
"ENSMUSG00000043308",0,0,0,0,0
"ENSMUSG00000043310",0,0,0,0,0
"ENSMUSG00000043311",166,128,226,172,143
"ENSMUSG00000043312",0,0,0,0,0
"ENSMUSG00000043313",0,15,7,18,6
"ENSMUSG00000043314",0,0,0,0,0
"ENSMUSG00000043319",0,0,0,0,0
"ENSMUSG00000043323",359.44,471.54,914.52,800.51,437.62
"ENSMUSG00000043329",0,0,0,0,0
"ENSMUSG00000043331",0,0,0,0,0
"ENSMUSG00000043333",0,6,14,16,13
"ENSMUSG00000043336",2799,2191,1605,2471,2236
"ENSMUSG00000043340",17,17,15,25,15.02
"ENSMUSG00000043342",0,1,0,0,0
"ENSMUSG00000043346",15.42,33.92,19.98,27.59,63.57
"ENSMUSG00000043354",0,0,0,0,0
"ENSMUSG00000043357",0,0,0,0,0
"ENSMUSG00000043366",0,2,0,1,0
"ENSMUSG00000043372",8,21,26,27,24
"ENSMUSG00000043383",0,2,1,0,0
"ENSMUSG00000043384",609.01,617.02,526.1,752.2,590.54
"ENSMUSG00000043385",0,0,0,0,0
"ENSMUSG00000043388",0,0,0,0,0
"ENSMUSG00000043391",37,145,160,165,152
"ENSMUSG00000043398",0,1,4,3,3
"ENSMUSG00000043410",0,0,0,2,2
"ENSMUSG00000043411",1502,1145,1567,1675,1262
"ENSMUSG00000043415",288,168,224,157,191
"ENSMUSG00000043418",0,0,0,0,0
"ENSMUSG00000043419",19,24,46,35,29
"ENSMUSG00000043421",62,40,114,99,41
"ENSMUSG00000043424",48.09,71.09,34.06,49.37,70.45
"ENSMUSG00000043429",0,0,0,0,0
"ENSMUSG00000043430",0,0,0,0,0
"ENSMUSG00000043432",112.95,108.7,188.31,158,97.01
"ENSMUSG00000043439",13,18,51,36,12
"ENSMUSG00000043441",0,0,0,1,0
"ENSMUSG00000043445",203,274,427,369,206
"ENSMUSG00000043448",0,15,32,15,10
"ENSMUSG00000043453",0,0,0,0,0
"ENSMUSG00000043456",0,1,0,3,0
"ENSMUSG00000043458",0,5,8,4.4,4
"ENSMUSG00000043460",1,4,4,2,6
"ENSMUSG00000043461",0,0,0,0,0
"ENSMUSG00000043463",0,0,0,0,0
"ENSMUSG00000043467",1253.84,723.48,836.19,1084.25,779.68
"ENSMUSG00000043468",1,1,1,0,0
"ENSMUSG00000043472",0,0,0,0,0
"ENSMUSG00000043483",45.22,28.68,20.54,32.91,40.54
"ENSMUSG00000043484",0,0,0,0,0
"ENSMUSG00000043485",0,0,0,0,0
"ENSMUSG00000043487",23,18,25,32,28
"ENSMUSG00000043488",0,0,1.01,0,1
"ENSMUSG00000043496",0,24,36.56,26,19.45
"ENSMUSG00000043501",0,2,3,0,1
"ENSMUSG00000043505",1017.72,684.66,1002.47,1188.91,726.93
"ENSMUSG00000043510",96,117,162,174,118
"ENSMUSG00000043518",1,12,25,17,12
"ENSMUSG00000043522",0,0,0,0,0
"ENSMUSG00000043529",0,0,0,0,0
"ENSMUSG00000043531",0,7,1,10,7
"ENSMUSG00000043535",2760,1832,1615,2152,1773
"ENSMUSG00000043537",0,0,0,0,0
"ENSMUSG00000043541",7,7,6,7,8
"ENSMUSG00000043542",7,64,84,84,80
"ENSMUSG00000043549",0,0,0,1,0
"ENSMUSG00000043556",1,30,28,23,20
"ENSMUSG00000043557",3,5,8,22,6
"ENSMUSG00000043569",0,0,0,0,0
"ENSMUSG00000043572",82,69,107,112,65
"ENSMUSG00000043583",0,0,0,0,0
"ENSMUSG00000043587",60,53,96,114,70
"ENSMUSG00000043592",83,74,83,87,75
"ENSMUSG00000043602",46,56,87,69,68
"ENSMUSG00000043605",0,0,0,0,0
"ENSMUSG00000043613",0,10,14,8,10
"ENSMUSG00000043614",0,6,12,5,2
"ENSMUSG00000043618",0,0,0,2,0
"ENSMUSG00000043621",0,1,5,2,4
"ENSMUSG00000043623",0,1.13,2.14,1.09,0
"ENSMUSG00000043629",8.54,3.5,4,11.49,13
"ENSMUSG00000043631",2,20,16,31,22
"ENSMUSG00000043633",34.54,35.32,21.56,31.04,45.8
"ENSMUSG00000043635",3,18,6,12,4
"ENSMUSG00000043639",3,6,18,7,7
"ENSMUSG00000043644",8,8,21,11,4
"ENSMUSG00000043648",1,1,1,1,1
"ENSMUSG00000043659",0,0,0,1,0
"ENSMUSG00000043661",2,0,1,4,2
"ENSMUSG00000043664",21,38,50,34,24
"ENSMUSG00000043668",1,1,2,0,0
"ENSMUSG00000043670",0,0,0,0,0
"ENSMUSG00000043671",200,189,241,226,160
"ENSMUSG00000043673",0,5,15,12,10
"ENSMUSG00000043681",0,0,1,0,0
"ENSMUSG00000043683",665.99,774.97,1149.99,852.99,650.98
"ENSMUSG00000043687",0,1,1,0,0
"ENSMUSG00000043692",0,0,0,0,0
"ENSMUSG00000043698",0,0,0,0,0
"ENSMUSG00000043702",224,258,311,291.88,222
"ENSMUSG00000043705",0,0,0,0,0
"ENSMUSG00000043715",0,0,0,0,0
"ENSMUSG00000043716",9525.25,6458.86,10525.86,10400.7,6612.38
"ENSMUSG00000043719",2,7,23.22,10.11,7
"ENSMUSG00000043727",0,0,3,0,1
"ENSMUSG00000043733",1030,1622,1697,1637,1511
"ENSMUSG00000043740",107,244,260,324.78,219.82
"ENSMUSG00000043747",1,0,0,1,0
"ENSMUSG00000043753",7,3,4,7,4
"ENSMUSG00000043760",0,11,0,0,3
"ENSMUSG00000043770",5.87,4.02,3.63,2.87,4.09
"ENSMUSG00000043773",30.13,20,48.95,47,28
"ENSMUSG00000043782",3,3,2,1,0
"ENSMUSG00000043787",0,0,0,0,0
"ENSMUSG00000043789",1,1,1,6,3
"ENSMUSG00000043794",2.3,4.81,12.64,11.34,8.34
"ENSMUSG00000043795",196,218,409,344,234
"ENSMUSG00000043800",0,0,0,0,0
"ENSMUSG00000043801",35.93,39.67,45,46.14,46.49
"ENSMUSG00000043807",16,3,5,7,4
"ENSMUSG00000043811",0,28,25,16,14
"ENSMUSG00000043822",2,52,89,95,47
"ENSMUSG00000043827",0,0,0,0,0
"ENSMUSG00000043831",95,93,147.17,144.39,91
"ENSMUSG00000043832",125,182,218,230,189
"ENSMUSG00000043833",13,26,26,34,19
"ENSMUSG00000043843",0,0,0,0,0
"ENSMUSG00000043850",0,0,0,0,0
"ENSMUSG00000043855",0,0,0,0,0
"ENSMUSG00000043857",0,1,0,0,0
"ENSMUSG00000043859",0,0,0,0,0
"ENSMUSG00000043865",0,0,0,0,0
"ENSMUSG00000043866",457.49,373.99,651.56,526.2,421.89
"ENSMUSG00000043870",0,2.02,1,1,2.02
"ENSMUSG00000043872",198.5,144.62,161.07,210.38,148.3
"ENSMUSG00000043873",6.37,6.21,8.83,6.24,6.04
"ENSMUSG00000043880",0,0,0,0,0
"ENSMUSG00000043881",285.08,268.06,225.51,255.27,229.29
"ENSMUSG00000043885",89,178,188,184,157
"ENSMUSG00000043889",12.29,15.39,11.04,21.22,16.21
"ENSMUSG00000043892",0,0,0,0,0
"ENSMUSG00000043895",57,102,122,101,60
"ENSMUSG00000043897",0,0,0,0,0
"ENSMUSG00000043903",1,2,3,1,1
"ENSMUSG00000043909",653.81,663.48,693.19,788.2,740.25
"ENSMUSG00000043911",0,0,0,0,0
"ENSMUSG00000043913",0,1,2,0,0
"ENSMUSG00000043923",263.67,183.17,304,287.44,208.22
"ENSMUSG00000043924",5,4,12,12,9
"ENSMUSG00000043925",0,2.39,1,2,1
"ENSMUSG00000043929",98,67,73,121,73
"ENSMUSG00000043931",545,392,484,507,383
"ENSMUSG00000043932",118,64,61,97,80
"ENSMUSG00000043939",17,28,31,24.22,26.18
"ENSMUSG00000043940",118,476,671.97,734,500
"ENSMUSG00000043943",3,21,23,31,30
"ENSMUSG00000043945",0,0,0,0,0
"ENSMUSG00000043948",0,0,1,0,0
"ENSMUSG00000043953",21,73,80,76,95
"ENSMUSG00000043962",3296.61,2775.91,3277.8,3460.29,2933.61
"ENSMUSG00000043964",282,305,522,456,285
"ENSMUSG00000043969",0,0,0,0,0
"ENSMUSG00000043972",0,0,0,0,0
"ENSMUSG00000043982",0,0,0,0,0
"ENSMUSG00000043986",0,0,1,0,0
"ENSMUSG00000043987",342,331,509,467,301
"ENSMUSG00000043991",680,449,412,615,471
"ENSMUSG00000043993",1,13,13,18,6
"ENSMUSG00000043998",529,623,874,793,554
"ENSMUSG00000043999",1,0,2,1,0
"ENSMUSG00000044005",1,30,9,12,28
"ENSMUSG00000044006",0,3,2,2,1
"ENSMUSG00000044014",0,0,0,0,0
"ENSMUSG00000044017",3,26,55,45,39
"ENSMUSG00000044018",202,234,240,301,238
"ENSMUSG00000044021",3,2,0,3,1
"ENSMUSG00000044022",0,3,4,7.02,10
"ENSMUSG00000044024",35.35,39.8,41.8,38.86,40.44
"ENSMUSG00000044025",0,0,0,0,0
"ENSMUSG00000044026",108,85,113,100,81
"ENSMUSG00000044029",0,0,1,0,1
"ENSMUSG00000044030",238,240,425,277,206
"ENSMUSG00000044033",8,42,18,28,42
"ENSMUSG00000044034",1,3,3,3,6
"ENSMUSG00000044037",1653.46,748.27,1442.42,1310.71,742.89
"ENSMUSG00000044039",0,0,0,0,0
"ENSMUSG00000044040",0,0,0,0,0
"ENSMUSG00000044041",0,0,0,0,0
"ENSMUSG00000044042",15,72,71.33,107,76.63
"ENSMUSG00000044043",1,20,28,23,28
"ENSMUSG00000044052",5,3,10,12,5
"ENSMUSG00000044055",1,3,4,5,2
"ENSMUSG00000044056",3,1,5,4,3
"ENSMUSG00000044058",0,0,0,0,0
"ENSMUSG00000044061",0,0,0,0,0
"ENSMUSG00000044062",0,0,0,0,0
"ENSMUSG00000044065",0,1,0,1,0
"ENSMUSG00000044066",621,574,553,653,633
"ENSMUSG00000044067",2,1,0,1,1
"ENSMUSG00000044068",406.98,385,355,466,446
"ENSMUSG00000044071",0,0,0,0,0
"ENSMUSG00000044072",19.16,71.94,47.25,72.67,79.6
"ENSMUSG00000044080",22,61,126,99,72
"ENSMUSG00000044081",5,4,6,6,4
"ENSMUSG00000044083",3,2,5,3,1
"ENSMUSG00000044084",0,0,0,0,0
"ENSMUSG00000044086",0,1,0,0,1
"ENSMUSG00000044092",30,66,90,85,55
"ENSMUSG00000044098",753.85,600.37,461.75,680.4,610.53
"ENSMUSG00000044103",18,10,10,11,10
"ENSMUSG00000044106",0,0,0,0,0
"ENSMUSG00000044117",0,0,0,0,0
"ENSMUSG00000044120",0,0,0,0,0
"ENSMUSG00000044121",0,0,0,0,0
"ENSMUSG00000044122",4,10,12,7,13
"ENSMUSG00000044125",0,0,0,2.07,0
"ENSMUSG00000044134",28,28,62,42,23
"ENSMUSG00000044139",0,10,9.1,12,10
"ENSMUSG00000044141",0,0,0,0,0
"ENSMUSG00000044145",9,9,10,13,12
"ENSMUSG00000044147",1208.66,827.72,1179.87,1012.93,813.87
"ENSMUSG00000044148",374,337,568,535,324
"ENSMUSG00000044149",88,66,68,88,78
"ENSMUSG00000044150",281,192,139,200,178
"ENSMUSG00000044155",317,251,354,359,259
"ENSMUSG00000044156",124,101,95,129,122
"ENSMUSG00000044162",5,4,7,13,7
"ENSMUSG00000044164",0,1,3,2,2
"ENSMUSG00000044165",2,5,10.06,16.99,5.3
"ENSMUSG00000044167",1418,851,1326.79,1272,868
"ENSMUSG00000044170",0,0,0,0,0
"ENSMUSG00000044172",0,0,0,0,0
"ENSMUSG00000044176",0,1,0,0,0
"ENSMUSG00000044177",23,11,28,17,16
"ENSMUSG00000044186",0,0,0,0,0
"ENSMUSG00000044197",387,454,551,528,379
"ENSMUSG00000044199",1015,618,1163,884,573
"ENSMUSG00000044201",10,44,20,37.43,39
"ENSMUSG00000044205",0,0,0,0,0
"ENSMUSG00000044206",0,3,8,6,6
"ENSMUSG00000044211",28.05,19.9,13.01,20.28,35.88
"ENSMUSG00000044213",0,0,0,0,0
"ENSMUSG00000044216",0,0,0,0,1
"ENSMUSG00000044217",0,0,2,0,0
"ENSMUSG00000044220",4,137,175,133,136
"ENSMUSG00000044221",266,300,378,360,287
"ENSMUSG00000044222",0,0,0,0,0
"ENSMUSG00000044224",299,259,220,290,286
"ENSMUSG00000044227",0,0,0,0,0
"ENSMUSG00000044229",223,265,201,333,258
"ENSMUSG00000044231",5,13,13,11,8
"ENSMUSG00000044243",0,1,1,0,0
"ENSMUSG00000044244",13,13,17,15,14
"ENSMUSG00000044248",0,0,0,0,0
"ENSMUSG00000044249",0,0,0,0,0
"ENSMUSG00000044250",499,330,537,463,330
"ENSMUSG00000044252",19,102,73,77,96
"ENSMUSG00000044254",0,1,0,1,2
"ENSMUSG00000044258",152.2,240.71,411.62,405.51,210.61
"ENSMUSG00000044265",0,0,0,0,0
"ENSMUSG00000044268",9.36,13.27,10.27,15.1,4.09
"ENSMUSG00000044276",0,0,1,2,0
"ENSMUSG00000044279",12,20,19,22,9
"ENSMUSG00000044285",34.82,55.05,69.05,54.18,65.83
"ENSMUSG00000044286",0,0,0,0,0
"ENSMUSG00000044287",0,0,3,1,1
"ENSMUSG00000044288",1,22,20,17,25
"ENSMUSG00000044292",0,0,0,0,0
"ENSMUSG00000044293",0,0,0,0,0
"ENSMUSG00000044294",0,0,0,0,0
"ENSMUSG00000044296",3,3,3,4,4
"ENSMUSG00000044303",0,9,15,8,6
"ENSMUSG00000044306",0,0,0,0,2.12
"ENSMUSG00000044308",856,832,761,942,810
"ENSMUSG00000044309",255,733.93,1411,1167.39,810.55
"ENSMUSG00000044312",0,0,0,0,0
"ENSMUSG00000044313",8,38,61,44,45
"ENSMUSG00000044317",7,38,42,41,38
"ENSMUSG00000044320",1,0,2,1,1
"ENSMUSG00000044322",0,0,0,0,0
"ENSMUSG00000044328",48,51,93,67,29
"ENSMUSG00000044330",0,0,0,0,0
"ENSMUSG00000044337",87,464,793,717,470
"ENSMUSG00000044338",7,85,93,67,86
"ENSMUSG00000044339",33.39,27.66,59.5,33.94,21.11
"ENSMUSG00000044340",203,197,255,229,161
"ENSMUSG00000044345",164,451,704,574,435
"ENSMUSG00000044348",331,283,327,417,295
"ENSMUSG00000044349",0,3,3,6,5
"ENSMUSG00000044350",87,175,159,188,176
"ENSMUSG00000044352",24,198,1,72,141
"ENSMUSG00000044359",0,0,0,0,1
"ENSMUSG00000044361",0,0,0,2,0
"ENSMUSG00000044362",1,3,0,3,5
"ENSMUSG00000044364",0,0,0,1,0
"ENSMUSG00000044365",0,5,7,4,13
"ENSMUSG00000044367",26,66,88,81,59
"ENSMUSG00000044375",0,0,0,0,0
"ENSMUSG00000044377",0,0,0,0,0
"ENSMUSG00000044378",0,0,0,0,0
"ENSMUSG00000044387",0,0,0,0,0
"ENSMUSG00000044390",4,13,19,15,15
"ENSMUSG00000044393",3,36.94,20,20,21.89
"ENSMUSG00000044400",0,0,1,0,0
"ENSMUSG00000044405",0,1,1,2,1
"ENSMUSG00000044408",516,422,514,525,420
"ENSMUSG00000044424",82.06,44.29,65.76,80.73,58.21
"ENSMUSG00000044429",0,0,0,0,0
"ENSMUSG00000044430",0,0,0,0,0
"ENSMUSG00000044433",3,16.04,19,13,11
"ENSMUSG00000044434",0,2,0,0,1
"ENSMUSG00000044441",0,0,0,0,0
"ENSMUSG00000044442",116,130,156,176,120
"ENSMUSG00000044444",0,1,0,0,0
"ENSMUSG00000044447",208,397,454,518,377
"ENSMUSG00000044452",486.07,340.09,484.76,474.12,357.7
"ENSMUSG00000044453",689,357,542,554,338
"ENSMUSG00000044454",0,0,0,0,0
"ENSMUSG00000044456",938,763,1606,1282,765
"ENSMUSG00000044457",0,0,0,0,0
"ENSMUSG00000044461",0,81,100,85,63
"ENSMUSG00000044465",344,306,476,454,265
"ENSMUSG00000044468",676,2061,1002,1821,2126
"ENSMUSG00000044469",53,85,121,103,79
"ENSMUSG00000044471",12,7,6,13,15
"ENSMUSG00000044475",143,154,270,226,164
"ENSMUSG00000044477",418,466,778,609,437
"ENSMUSG00000044485",0,9,5,3,8
"ENSMUSG00000044487",0,0,0,0,0
"ENSMUSG00000044496",542,609,982,776,571
"ENSMUSG00000044499",0,0,0,1,1
"ENSMUSG00000044501",211,141,90,154.18,152
"ENSMUSG00000044502",79,87,155,110,96
"ENSMUSG00000044505",2,6,12,5,9
"ENSMUSG00000044515",0,0,0,0,0
"ENSMUSG00000044518",0,0,0,0,0
"ENSMUSG00000044519",0,0,0,0,0
"ENSMUSG00000044522",0,19,20,26,21
"ENSMUSG00000044526",0,0,0,0,0
"ENSMUSG00000044528",0,0,0,0,1
"ENSMUSG00000044533",8837.41,9501.28,19254.57,14914.01,8643.04
"ENSMUSG00000044534",90,166,214,235,140
"ENSMUSG00000044537",0,0,0,0,0
"ENSMUSG00000044538",0,0,0,0,0
"ENSMUSG00000044542",0,0,0,0,0
"ENSMUSG00000044544",0,0,0,0,1
"ENSMUSG00000044548",1.99,100,157,125,115
"ENSMUSG00000044550",5,33.97,38,41,18.82
"ENSMUSG00000044551",44,27,77,58,38
"ENSMUSG00000044556",0,0,0,1,1
"ENSMUSG00000044560",0,0,0,0,0
"ENSMUSG00000044562",7.99,96.63,158.62,137.49,106.27
"ENSMUSG00000044566",18,16,17,23,12
"ENSMUSG00000044573",216.98,365.93,277,444.99,375.92
"ENSMUSG00000044574",0,1,0,0,1
"ENSMUSG00000044576",0,1,0,0,1
"ENSMUSG00000044581",0,0,0,0,0
"ENSMUSG00000044583",504,368,373,546,431
"ENSMUSG00000044594",0,0,0,0,0
"ENSMUSG00000044595",15,15,27,20,15
"ENSMUSG00000044597",0,0,0,0,0
"ENSMUSG00000044600",399,482,846,663,544
"ENSMUSG00000044609",5,1,2.98,0,2.04
"ENSMUSG00000044617",216,191,308,274,160
"ENSMUSG00000044624",0,0,0,0,0
"ENSMUSG00000044626",2,5,7,13,1
