"","Mouse_hippocampus_1-2","Mouse_hippocampus_11-12","Mouse_hippocampus_13-14","Mouse_hippocampus_15-16","Mouse_hippocampus_3-4","Mouse_hippocampus_5-6","Mouse_hippocampus_7-8","Mouse_hippocampus_9-10"
"ENSMUSG00000002250",566,426,819,827,641,723,1539,540
"ENSMUSG00000002257",36,26,67,54,51,42,105,28
"ENSMUSG00000002265",12260,8290,21045,19031,14512,14782,3605,11497
"ENSMUSG00000002266",173,124,262,216,250,185,26,157
"ENSMUSG00000002274",942,942,1577,1592,1295,1233,5004,1113
"ENSMUSG00000002279",348,303,384,485,456,384,1104,323
"ENSMUSG00000002280",553,474,660,729,683,666,1962,516
"ENSMUSG00000002289",52,43,61,71,57,71,212,46
"ENSMUSG00000002297",33,28,41,37,54,34,4,13
"ENSMUSG00000002307",610,490,731,704,800,672,1027,632
"ENSMUSG00000002308",298,225,359,395,402,342,1167,289
"ENSMUSG00000002319",741,666,1006,1068,1049,889,2949,743
"ENSMUSG00000002320",596,486,835,871,896,739,1553,660
"ENSMUSG00000002324",78,46,133,171,109,99,298,59
"ENSMUSG00000002325",182,136,320,297,265,244,429,208
"ENSMUSG00000002326",143,97,160,184,175,139,136,118
"ENSMUSG00000002329",858,771,1013,1112,1012,903,1022,792
"ENSMUSG00000002332",1159,1055,1592,1662,1476,1302,3612,1129
"ENSMUSG00000002341",7454,6822,8333,9087,9734,7819,13093,6977
"ENSMUSG00000002342",450,387,635,614,621,544,1355,419
