"","RR3_BRN_FLT_F1","RR3_BRN_FLT_F2","RR3_BRN_FLT_F7","RR3_BRN_GC_G7","RR3_BRN_GC_G8","RR3_BRN_GC_G9"
"ENSMUSG00000026858",1306,1291,1344,1381,1548,1320
"ENSMUSG00000026860",3898,3707,3621,3723,3376,3137
"ENSMUSG00000026864",6736,8597,10311,9809,9687,8480
"ENSMUSG00000026866",3,0,2,7,6,0
"ENSMUSG00000026867",3666,4212,4013,4243,4614,3774
"ENSMUSG00000026869",1317,1131,1319,1512,1541,1253
"ENSMUSG00000026870",26,8,13,10,7,9
"ENSMUSG00000026872",15282,12004,12306,13526,9006,14626
"ENSMUSG00000026873",27,37,24,36,35,19
"ENSMUSG00000026874",0,0,9,8,181,0
"ENSMUSG00000026875",25,21,15,17,18,3
"ENSMUSG00000026878",6400,5839,6840,7424,6662,6453
"ENSMUSG00000026879",1347,890,1156,1022,816,996
"ENSMUSG00000026880",601,597,610,717,774,577
"ENSMUSG00000026882",0,0,0,0,0,0
"ENSMUSG00000026883",5379,7524,5664,5805,4681,6034
"ENSMUSG00000026885",1171,1237,1364,1445,1065,1365
"ENSMUSG00000026887",730,725,762,824,1003,790
"ENSMUSG00000026888",634,651,724,770,1084,665
"ENSMUSG00000026889",1548,2021,1942,1955,2189,1804
"ENSMUSG00000026890",654,579,652,668,809,949
"ENSMUSG00000026893",313,434,399,577,456,388
"ENSMUSG00000026894",12,24,12,7,14,3
"ENSMUSG00000026895",3054,2810,3199,3507,2913,2886
"ENSMUSG00000026896",262,222,324,433,336,352
"ENSMUSG00000026904",10413,8861,10552,10237,14610,9986
"ENSMUSG00000026914",1993,1950,2563,2363,2491,2057
"ENSMUSG00000026915",23546,27751,24080,27031,22841,29708
"ENSMUSG00000026917",514,496,716,721,821,608
"ENSMUSG00000026918",1832,1606,1321,1571,2330,1940
"ENSMUSG00000026919",0,0,0,0,0,0
"ENSMUSG00000026921",356,463,421,525,436,357
"ENSMUSG00000026922",23,3,20,10,26,19
"ENSMUSG00000026923",2312,1775,1887,1967,2490,1832
"ENSMUSG00000026924",2910,2594,2676,3259,3317,2912
"ENSMUSG00000026925",811,725,695,725,804,854
"ENSMUSG00000026926",3125,3517,3628,3601,3493,3154
"ENSMUSG00000026927",1241,1234,1272,1410,1437,1474
"ENSMUSG00000026928",51,31,56,58,31,23
"ENSMUSG00000026930",928,815,783,843,1452,776
"ENSMUSG00000026931",0,20,11,8,3,6
"ENSMUSG00000026932",4229,4794,4237,4445,4551,4119
"ENSMUSG00000026933",6034,5726,5542,5741,5782,6427
"ENSMUSG00000026934",0,2,1,0,2,0
"ENSMUSG00000026936",0,0,0,0,0,1
"ENSMUSG00000026937",0,0,0,0,0,0
"ENSMUSG00000026938",5,0,1,10,11,6
"ENSMUSG00000026939",454,648,810,770,595,503
"ENSMUSG00000026940",0,11,0,0,2,0
"ENSMUSG00000026941",28,11,11,15,24,2
"ENSMUSG00000026942",197,276,205,236,238,274
"ENSMUSG00000026943",0,0,0,0,0,0
"ENSMUSG00000026944",9095,6680,6702,6416,7535,7641
"ENSMUSG00000026946",218,236,225,199,235,177
"ENSMUSG00000026950",213,222,434,443,294,228
"ENSMUSG00000026955",13,26,15,2,16,13
"ENSMUSG00000026956",297,231,285,261,276,259
"ENSMUSG00000026958",347,288,306,371,326,276
"ENSMUSG00000026959",14537,11006,12406,12963,11855,16339
"ENSMUSG00000026960",194,142,132,143,226,219
"ENSMUSG00000026961",0,0,0,0,0,0
"ENSMUSG00000026963",0,0,0,0,0,0
"ENSMUSG00000026965",2106,1824,2149,2248,2540,1865
"ENSMUSG00000026966",494,469,458,446,501,436
"ENSMUSG00000026969",3,5,2,0,0,1
"ENSMUSG00000026970",706,768,749,761,583,868
"ENSMUSG00000026971",1,4,10,4,1,5
"ENSMUSG00000026972",93,79,82,97,169,106
"ENSMUSG00000026974",650,635,665,653,771,760
"ENSMUSG00000026975",465,396,506,502,536,365
"ENSMUSG00000026976",0,0,0,0,0,0
"ENSMUSG00000026977",1791,1666,1803,1903,2233,1751
"ENSMUSG00000026979",33,40,41,66,20,34
"ENSMUSG00000026980",162,142,140,124,113,117
"ENSMUSG00000026981",0,0,0,0,0,0
"ENSMUSG00000026983",5,0,0,0,2,0
"ENSMUSG00000026984",0,0,0,0,0,0
"ENSMUSG00000026985",0,0,0,0,0,0
"ENSMUSG00000026986",1041,1196,1212,1349,1121,1049
"ENSMUSG00000026987",2506,2776,2338,2825,2681,3255
"ENSMUSG00000026988",209,217,184,253,274,215
"ENSMUSG00000026989",15,0,5,12,29,5
"ENSMUSG00000026991",8893,8161,7093,7696,11388,8693
"ENSMUSG00000026994",51,41,44,40,85,66
"ENSMUSG00000026999",78,130,153,143,144,97
"ENSMUSG00000027001",480,415,398,450,492,583
"ENSMUSG00000027002",27496,24722,29437,29117,26843,28471
"ENSMUSG00000027004",1447,1412,1531,1570,411,1510
"ENSMUSG00000027006",2469,2794,3193,3377,3417,2788
"ENSMUSG00000027007",1646,2004,1717,1953,1950,1567
"ENSMUSG00000027009",928,668,863,830,2172,900
"ENSMUSG00000027010",5748,4510,5251,5436,6044,5070
"ENSMUSG00000027011",1612,1793,2145,2090,2320,1739
"ENSMUSG00000027012",4759,4615,4905,5265,5819,5201
"ENSMUSG00000027014",1038,898,888,961,976,1211
"ENSMUSG00000027015",105,53,65,101,127,47
"ENSMUSG00000027016",1132,1209,1106,1299,1086,1419
"ENSMUSG00000027018",263,356,424,390,446,381
"ENSMUSG00000027022",9,23,126,109,2,14
"ENSMUSG00000027030",4235,5310,5698,5644,4001,4694
"ENSMUSG00000027035",2326,2310,2252,2565,2860,2420
"ENSMUSG00000027048",0,0,0,0,3,0
"ENSMUSG00000027067",3539,3106,3318,4033,3859,3878
"ENSMUSG00000027068",10,0,0,14,5,0
"ENSMUSG00000027070",3,0,14,0,7,0
"ENSMUSG00000027071",38,13,17,36,30,29
"ENSMUSG00000027072",0,0,0,0,0,0
"ENSMUSG00000027073",0,0,0,0,0,0
"ENSMUSG00000027074",12,4,8,25,14,13
"ENSMUSG00000027075",3,11,3,17,7,3
"ENSMUSG00000027076",310,408,435,414,429,340
"ENSMUSG00000027077",0,0,1,3,0,0
"ENSMUSG00000027078",367,360,387,421,361,395
"ENSMUSG00000027079",155,206,208,219,174,151
"ENSMUSG00000027080",964,1003,1011,1032,1225,976
"ENSMUSG00000027082",145,147,191,194,227,174
"ENSMUSG00000027086",264,345,318,312,415,331
"ENSMUSG00000027087",7394,7242,8523,8427,5680,8520
"ENSMUSG00000027088",807,996,1221,1124,1112,1125
"ENSMUSG00000027091",4590,4619,4987,5237,4630,5415
"ENSMUSG00000027099",973,1032,1087,1247,1183,1193
"ENSMUSG00000027102",0,0,0,0,1,0
"ENSMUSG00000027104",6429,6178,6451,6716,6929,6653
"ENSMUSG00000027107",14,7,17,15,28,7
"ENSMUSG00000027108",5233,4616,5663,5834,5119,6167
"ENSMUSG00000027109",3118,3255,3645,3935,4161,3534
"ENSMUSG00000027111",1135,958,1264,1203,1275,1288
"ENSMUSG00000027115",50,56,68,56,64,59
"ENSMUSG00000027120",0,0,0,0,0,0
"ENSMUSG00000027122",1048,789,1170,1189,1434,1026
"ENSMUSG00000027130",2555,2817,2457,2816,2525,2486
"ENSMUSG00000027131",1831,2383,2336,2262,2195,1847
"ENSMUSG00000027132",384,390,356,392,411,426
"ENSMUSG00000027133",566,646,772,699,671,491
"ENSMUSG00000027134",2017,1623,1516,1503,1081,1898
"ENSMUSG00000027157",0,0,0,0,0,0
"ENSMUSG00000027160",350,341,364,475,493,548
"ENSMUSG00000027162",4679,4939,4896,5584,6284,4995
"ENSMUSG00000027163",435,471,486,632,529,424
"ENSMUSG00000027164",645,684,697,750,775,746
"ENSMUSG00000027165",993,933,1234,1272,1147,1240
"ENSMUSG00000027166",127,191,157,128,175,146
"ENSMUSG00000027167",419,425,417,468,606,386
"ENSMUSG00000027168",646,524,481,563,481,473
"ENSMUSG00000027170",1342,1660,1801,1890,1916,1609
"ENSMUSG00000027171",2,0,4,0,13,0
"ENSMUSG00000027173",20,27,38,45,35,28
"ENSMUSG00000027175",2367,2701,2141,2409,2599,2344
"ENSMUSG00000027176",659,722,743,776,849,661
"ENSMUSG00000027177",6593,7671,7467,7977,7133,7041
"ENSMUSG00000027180",2593,2714,3077,3065,3015,2602
"ENSMUSG00000027184",11563,10264,11610,12598,12819,11674
"ENSMUSG00000027185",1005,927,888,1064,1047,1064
"ENSMUSG00000027186",12,3,12,7,12,18
"ENSMUSG00000027187",2202,2007,2099,2239,2186,2163
"ENSMUSG00000027188",806,1226,1396,1368,598,1429
"ENSMUSG00000027189",15576,15933,14881,17443,15287,17433
"ENSMUSG00000027193",3061,3282,3692,3751,3784,3340
"ENSMUSG00000027194",2085,1845,1953,2301,2445,2471
"ENSMUSG00000027195",1702,1651,2022,2017,1818,1557
"ENSMUSG00000027196",0,0,0,0,0,0
"ENSMUSG00000027198",1199,1059,1303,1361,1409,1211
"ENSMUSG00000027199",2414,2645,2587,2613,2295,2368
"ENSMUSG00000027200",4012,2692,3447,3734,4488,3795
"ENSMUSG00000027201",3071,2817,2823,3150,3232,3199
"ENSMUSG00000027202",2,2,2,2,2,0
"ENSMUSG00000027203",372,392,415,570,474,401
"ENSMUSG00000027204",424,274,327,338,326,413
"ENSMUSG00000027206",4245,4425,4620,4802,5234,4510
"ENSMUSG00000027207",567,566,684,580,540,637
"ENSMUSG00000027208",46,29,30,31,29,15
"ENSMUSG00000027209",72,114,104,115,180,89
"ENSMUSG00000027210",6440,4289,5131,5329,4610,5493
"ENSMUSG00000027215",315,289,343,360,329,250
"ENSMUSG00000027217",122,63,72,114,104,82
"ENSMUSG00000027219",3,0,2,4,0,0
"ENSMUSG00000027220",6453,7152,7029,6956,6922,7592
"ENSMUSG00000027221",6334,6033,6167,6245,6109,5723
"ENSMUSG00000027222",262,238,316,282,370,253
"ENSMUSG00000027223",8342,9188,8445,8809,7066,7559
"ENSMUSG00000027224",4,1,0,1,5,2
"ENSMUSG00000027225",3,0,1,3,8,2
"ENSMUSG00000027227",492,433,443,505,685,441
"ENSMUSG00000027229",0,0,0,0,0,0
"ENSMUSG00000027230",110,66,66,132,71,86
"ENSMUSG00000027233",1,0,0,0,1,0
"ENSMUSG00000027236",839,860,896,930,940,867
"ENSMUSG00000027238",859,980,946,969,730,1166
"ENSMUSG00000027239",308,265,277,342,449,292
"ENSMUSG00000027242",194,263,218,251,175,251
"ENSMUSG00000027243",146,235,151,119,199,171
"ENSMUSG00000027244",1705,1763,1669,2087,1964,1634
"ENSMUSG00000027245",41,44,44,34,36,57
"ENSMUSG00000027246",0,0,0,0,0,0
"ENSMUSG00000027247",2480,2011,2575,2752,2500,2144
"ENSMUSG00000027248",5432,5155,6668,6854,6556,6002
"ENSMUSG00000027249",7,0,6,0,6,0
"ENSMUSG00000027253",4136,3137,3409,3623,3697,3187
"ENSMUSG00000027254",135651,137414,111872,133860,102059,149650
"ENSMUSG00000027255",1291,1250,1340,1375,1414,1076
"ENSMUSG00000027257",670,771,666,778,627,705
"ENSMUSG00000027259",738,750,759,702,800,709
"ENSMUSG00000027261",0,0,7,0,4,10
"ENSMUSG00000027263",982,926,962,1154,1030,1086
"ENSMUSG00000027270",5206,5641,7600,7949,2889,6282
"ENSMUSG00000027272",4136,3844,4197,4454,4507,4031
"ENSMUSG00000027273",148045,146541,151654,170007,114084,179013
"ENSMUSG00000027274",328,394,365,311,447,313
"ENSMUSG00000027276",522,526,540,594,585,575
"ENSMUSG00000027281",411,488,446,466,495,490
"ENSMUSG00000027282",2162,2393,2600,2530,2607,2112
"ENSMUSG00000027284",451,504,439,509,515,548
"ENSMUSG00000027285",561,612,710,651,642,519
"ENSMUSG00000027286",846,1113,1158,1217,975,1038
"ENSMUSG00000027287",509,548,575,563,621,654
"ENSMUSG00000027288",23151,25073,21934,25569,20666,28581
"ENSMUSG00000027291",3044,2782,2969,3285,3149,3156
"ENSMUSG00000027293",539,461,533,478,611,635
"ENSMUSG00000027296",2903,2910,2731,2699,3190,2722
"ENSMUSG00000027297",155,299,192,208,199,176
"ENSMUSG00000027298",5936,5189,6033,6209,5157,5183
"ENSMUSG00000027300",363,300,349,436,414,270
"ENSMUSG00000027301",0,0,0,0,0,0
"ENSMUSG00000027303",8045,7249,8488,8784,10142,8792
"ENSMUSG00000027304",3466,3181,3401,3765,3981,3938
"ENSMUSG00000027305",563,598,656,596,640,652
"ENSMUSG00000027306",40,18,18,8,6,4
"ENSMUSG00000027309",3566,3446,3425,3716,4183,3443
"ENSMUSG00000027312",10613,10192,10896,11553,11059,11700
"ENSMUSG00000027313",140,178,134,124,191,145
"ENSMUSG00000027314",150,185,123,190,186,208
"ENSMUSG00000027315",3,19,3,1,2,0
"ENSMUSG00000027316",631,651,650,756,768,569
"ENSMUSG00000027317",0,0,0,0,0,0
"ENSMUSG00000027318",38,89,80,84,36,85
"ENSMUSG00000027322",30,30,32,15,59,33
"ENSMUSG00000027323",19,26,21,26,48,28
"ENSMUSG00000027324",222,175,223,205,241,211
"ENSMUSG00000027326",13,36,14,9,22,16
"ENSMUSG00000027327",862,686,955,929,1009,582
"ENSMUSG00000027329",121,120,80,81,115,93
"ENSMUSG00000027330",187,155,173,200,306,191
"ENSMUSG00000027331",17,26,27,19,28,19
"ENSMUSG00000027332",932,888,1009,1036,1475,836
"ENSMUSG00000027333",1141,1174,973,1149,1273,1045
"ENSMUSG00000027335",328,378,385,263,145,312
"ENSMUSG00000027338",0,0,0,0,0,0
"ENSMUSG00000027339",2937,2902,2686,2699,2624,2789
"ENSMUSG00000027340",5067,4743,5067,5541,5290,4914
"ENSMUSG00000027341",546,473,600,633,677,536
"ENSMUSG00000027342",938,799,1090,1072,1038,815
"ENSMUSG00000027344",20,5,6,12,29,7
"ENSMUSG00000027345",0,0,0,0,0,0
"ENSMUSG00000027346",2333,2934,2930,3375,2862,2590
"ENSMUSG00000027347",22437,19869,20917,23556,23143,23316
"ENSMUSG00000027349",1114,953,1103,1079,1098,1015
"ENSMUSG00000027350",27593,13600,19976,21403,21053,32339
"ENSMUSG00000027351",9338,11054,12132,12090,10820,11823
"ENSMUSG00000027353",137,185,130,145,222,177
"ENSMUSG00000027355",103,84,86,83,169,144
"ENSMUSG00000027356",4,0,4,0,678,4
"ENSMUSG00000027357",869,935,1026,892,1510,986
"ENSMUSG00000027358",131,132,133,144,184,127
"ENSMUSG00000027359",123,95,105,151,329,154
"ENSMUSG00000027360",13,28,19,27,41,19
"ENSMUSG00000027361",836,642,804,865,895,929
"ENSMUSG00000027363",4137,3579,3536,3892,3590,4750
"ENSMUSG00000027364",23,6,6,0,20,2
"ENSMUSG00000027365",1874,2208,2075,1977,2226,2089
"ENSMUSG00000027366",1508,1680,1699,1723,2116,1544
"ENSMUSG00000027367",1729,2034,2003,2162,2526,1738
"ENSMUSG00000027368",9,9,2,1,9,3
"ENSMUSG00000027371",269,409,382,408,375,242
"ENSMUSG00000027374",1545,1264,1495,1659,1603,1745
"ENSMUSG00000027375",3353,2188,3139,3221,1850,4075
"ENSMUSG00000027376",4,0,1,3,3,8
"ENSMUSG00000027377",16,8,21,7,2,25
"ENSMUSG00000027378",339,307,343,385,441,319
"ENSMUSG00000027379",4,13,4,4,7,0
"ENSMUSG00000027380",0,2,1,0,0,0
"ENSMUSG00000027381",115,66,109,153,217,109
"ENSMUSG00000027384",513,622,724,733,684,493
"ENSMUSG00000027386",43,6,52,44,93,39
"ENSMUSG00000027387",171,162,201,255,187,248
"ENSMUSG00000027394",3145,3596,3250,3510,2702,3985
"ENSMUSG00000027395",274,256,280,270,286,221
"ENSMUSG00000027397",2738,2613,3024,3179,3311,3271
"ENSMUSG00000027398",2,10,6,6,4,2
"ENSMUSG00000027399",63,31,72,49,65,45
"ENSMUSG00000027400",529,610,744,784,284,649
"ENSMUSG00000027401",429,415,448,439,121,495
"ENSMUSG00000027403",7,1,8,0,8,0
"ENSMUSG00000027404",953,710,872,694,881,776
"ENSMUSG00000027405",1442,1146,1391,1524,1610,1558
"ENSMUSG00000027406",6128,6295,6625,7048,6885,6793
"ENSMUSG00000027408",161,126,159,128,210,124
"ENSMUSG00000027409",0,0,0,0,0,0
"ENSMUSG00000027411",1799,2048,2076,2412,2199,1975
"ENSMUSG00000027412",8,10,16,26,12,19
"ENSMUSG00000027416",0,0,0,0,2,0
"ENSMUSG00000027419",18813,20792,21281,21704,13104,19643
"ENSMUSG00000027420",19,33,41,21,39,9
"ENSMUSG00000027422",2238,1845,1917,2314,2085,2571
"ENSMUSG00000027423",1572,1946,2300,2113,1856,1610
"ENSMUSG00000027424",169,224,199,270,225,199
"ENSMUSG00000027425",919,843,832,914,977,905
"ENSMUSG00000027427",838,954,1062,1054,1103,953
"ENSMUSG00000027428",1036,1072,1206,1367,1350,1069
"ENSMUSG00000027429",1200,1072,1287,1312,1191,1117
"ENSMUSG00000027430",2103,1631,2086,1898,2318,2366
"ENSMUSG00000027431",0,12,0,0,0,0
"ENSMUSG00000027433",2558,2504,2782,2758,2865,2872
"ENSMUSG00000027434",98,56,87,96,86,66
"ENSMUSG00000027435",653,392,728,765,598,641
"ENSMUSG00000027438",25489,22477,23868,25302,30825,26537
"ENSMUSG00000027439",1587,1514,1736,1802,1933,1634
"ENSMUSG00000027442",0,0,0,0,0,0
"ENSMUSG00000027443",0,0,1,9,0,4
"ENSMUSG00000027444",0,0,0,0,0,0
"ENSMUSG00000027445",0,0,0,0,0,0
"ENSMUSG00000027446",0,0,5,0,0,0
"ENSMUSG00000027447",15746,14728,18543,18532,17821,12644
"ENSMUSG00000027452",1071,1022,1072,1146,1514,1034
"ENSMUSG00000027454",22,32,39,19,30,37
"ENSMUSG00000027455",2933,2434,3208,3362,3158,3223
"ENSMUSG00000027456",6,22,11,25,21,23
"ENSMUSG00000027457",13368,14885,11640,13084,13874,13302
"ENSMUSG00000027459",58,81,64,66,70,35
"ENSMUSG00000027460",1,5,0,0,1,0
"ENSMUSG00000027463",61,55,57,56,59,58
"ENSMUSG00000027465",1495,1914,1678,1919,1770,1562
"ENSMUSG00000027466",1200,1330,1106,1186,1345,1391
"ENSMUSG00000027468",0,0,4,0,0,0
"ENSMUSG00000027469",142,92,129,131,138,165
"ENSMUSG00000027470",0,0,5,20,1,0
"ENSMUSG00000027472",579,840,726,654,666,612
"ENSMUSG00000027474",92,44,87,85,79,82
"ENSMUSG00000027475",2617,2544,2722,2986,2773,2994
"ENSMUSG00000027478",21,4,24,18,31,15
"ENSMUSG00000027479",4116,4069,4220,4587,4732,4436
"ENSMUSG00000027480",0,0,0,0,0,0
"ENSMUSG00000027481",0,0,0,0,0,0
"ENSMUSG00000027482",0,0,0,0,0,0
"ENSMUSG00000027483",0,0,6,0,0,3
"ENSMUSG00000027484",0,0,0,0,0,0
"ENSMUSG00000027485",5,8,4,17,14,5
"ENSMUSG00000027487",263,277,300,360,378,238
"ENSMUSG00000027488",420,446,453,442,544,362
"ENSMUSG00000027489",1578,1378,1505,1658,1023,1528
"ENSMUSG00000027490",466,433,394,415,344,334
"ENSMUSG00000027495",716,523,663,713,795,594
"ENSMUSG00000027496",18,15,28,35,34,21
"ENSMUSG00000027498",637,551,592,533,818,592
"ENSMUSG00000027499",4808,6406,5934,5948,7365,4628
"ENSMUSG00000027500",11163,10820,11770,12715,12928,11611
"ENSMUSG00000027502",1701,1844,2158,1896,1998,1975
"ENSMUSG00000027505",0,6,0,0,3,0
"ENSMUSG00000027506",1690,1694,1810,1897,1926,1785
"ENSMUSG00000027508",1028,1136,919,957,1126,1100
"ENSMUSG00000027509",875,784,1023,1057,1083,944
"ENSMUSG00000027510",49,34,38,62,32,58
"ENSMUSG00000027513",1,0,3,0,2,1
"ENSMUSG00000027514",4,8,3,5,8,0
"ENSMUSG00000027517",0,3,0,0,0,0
"ENSMUSG00000027518",0,5,0,0,0,0
"ENSMUSG00000027519",2454,2962,2517,2996,2924,2539
"ENSMUSG00000027520",1981,1425,1984,1981,2585,2042
"ENSMUSG00000027522",1757,1771,1642,1757,2216,1739
"ENSMUSG00000027523",33723,33719,35733,37085,39252,37368
"ENSMUSG00000027524",167,83,189,206,232,203
"ENSMUSG00000027525",7475,8043,6586,6816,8537,8435
"ENSMUSG00000027528",0,0,0,0,0,0
"ENSMUSG00000027530",0,0,0,0,2,3
"ENSMUSG00000027531",1118,1002,1354,1311,1183,1153
"ENSMUSG00000027533",2299,2929,3075,2926,3250,2732
"ENSMUSG00000027534",1003,1158,1334,1452,1491,1304
"ENSMUSG00000027536",14,30,24,11,32,20
"ENSMUSG00000027540",1142,1255,1381,1294,1449,1339
"ENSMUSG00000027544",226,182,167,208,208,188
"ENSMUSG00000027546",10671,9865,9788,9180,10536,10350
"ENSMUSG00000027547",5,3,1,0,2,6
"ENSMUSG00000027550",978,936,993,943,1108,956
"ENSMUSG00000027551",373,351,294,293,404,460
"ENSMUSG00000027552",155,318,261,269,286,155
"ENSMUSG00000027555",52,10,57,85,99,70
"ENSMUSG00000027556",0,0,1,0,0,0
"ENSMUSG00000027559",48,13,31,12,22,50
"ENSMUSG00000027560",590,387,704,659,838,547
"ENSMUSG00000027562",3873,3933,4449,4708,3917,3915
"ENSMUSG00000027564",0,6,0,0,0,0
"ENSMUSG00000027566",1882,2316,2563,2445,2446,2050
"ENSMUSG00000027568",135,48,99,103,452,69
"ENSMUSG00000027569",231,218,215,191,275,242
"ENSMUSG00000027570",193,152,146,140,248,192
"ENSMUSG00000027573",1513,1404,1569,1607,1562,1385
"ENSMUSG00000027574",442,504,491,559,654,388
"ENSMUSG00000027575",2443,2198,2633,2747,2407,2239
"ENSMUSG00000027577",1321,884,1085,1092,1836,1194
"ENSMUSG00000027579",11,11,19,12,3,1
"ENSMUSG00000027580",168,208,181,207,209,217
"ENSMUSG00000027581",10822,8401,10161,9565,10009,11375
"ENSMUSG00000027582",415,386,422,389,514,379
"ENSMUSG00000027583",573,471,748,740,605,644
"ENSMUSG00000027584",924,1017,1170,1129,1382,1016
"ENSMUSG00000027589",2464,2554,2747,2637,3234,2728
"ENSMUSG00000027593",1324,1495,1481,1336,1181,1583
"ENSMUSG00000027596",0,0,0,0,0,0
"ENSMUSG00000027597",244,208,253,234,200,223
"ENSMUSG00000027598",3234,3137,3470,3631,3544,3592
"ENSMUSG00000027599",2187,2665,2932,3037,3082,2236
"ENSMUSG00000027601",216,267,229,257,335,210
"ENSMUSG00000027602",1237,1288,1503,1488,1234,1028
"ENSMUSG00000027603",1834,2213,2256,2046,2049,1681
"ENSMUSG00000027605",1482,1633,1561,1798,1618,1498
"ENSMUSG00000027606",2,6,0,8,3,1
"ENSMUSG00000027610",353,249,308,332,419,306
"ENSMUSG00000027611",45,30,72,69,49,42
"ENSMUSG00000027612",1403,1375,1254,1267,1801,1252
"ENSMUSG00000027613",827,700,864,909,868,738
"ENSMUSG00000027615",435,512,515,594,494,434
"ENSMUSG00000027618",578,447,603,539,675,626
"ENSMUSG00000027620",4677,5243,5314,5835,6825,5724
"ENSMUSG00000027624",24075,25079,21717,24982,24152,24546
"ENSMUSG00000027628",1053,1038,1040,1002,1104,768
"ENSMUSG00000027630",5895,6056,5641,6047,6606,5646
"ENSMUSG00000027634",18334,17152,19668,21059,14523,17644
"ENSMUSG00000027635",113,169,94,148,78,121
"ENSMUSG00000027636",29,26,38,8,9,26
"ENSMUSG00000027637",598,717,979,920,721,785
"ENSMUSG00000027639",405,356,393,399,435,390
"ENSMUSG00000027641",100,113,108,139,115,117
"ENSMUSG00000027642",3010,2400,3065,3160,3440,2764
"ENSMUSG00000027643",0,0,4,3,6,0
"ENSMUSG00000027646",3262,3950,3157,3420,3675,3244
"ENSMUSG00000027649",1645,1379,1798,1579,1318,2048
"ENSMUSG00000027650",915,965,956,1031,1077,1184
"ENSMUSG00000027651",1205,1449,1476,1422,1595,1282
"ENSMUSG00000027652",6959,7255,7241,8244,7446,7970
"ENSMUSG00000027654",7,9,22,15,9,16
"ENSMUSG00000027655",356,523,459,441,538,431
"ENSMUSG00000027656",0,0,1,19,3,0
"ENSMUSG00000027660",4783,4549,5496,5299,4942,5035
"ENSMUSG00000027661",61,11,38,58,46,57
"ENSMUSG00000027663",4817,5535,4404,4822,5232,5083
"ENSMUSG00000027665",3551,3748,3599,4168,3554,4497
"ENSMUSG00000027667",709,827,852,950,908,877
"ENSMUSG00000027668",2009,2146,2213,2283,2264,2285
"ENSMUSG00000027669",642,494,848,798,766,692
"ENSMUSG00000027670",0,0,0,0,0,0
"ENSMUSG00000027671",240,274,289,239,251,263
"ENSMUSG00000027673",1743,2387,2484,2552,2458,1671
"ENSMUSG00000027674",9042,7359,8173,8635,8536,9936
"ENSMUSG00000027676",629,552,610,605,932,793
"ENSMUSG00000027677",2003,2202,1855,1924,2389,2563
"ENSMUSG00000027678",1573,1534,1552,1521,1784,1691
"ENSMUSG00000027679",630,740,661,730,840,648
"ENSMUSG00000027680",3058,2885,3289,3332,3350,3763
"ENSMUSG00000027684",158,146,158,167,132,167
"ENSMUSG00000027690",1,0,0,0,0,2
"ENSMUSG00000027692",10674,11059,9734,10093,11469,13230
"ENSMUSG00000027694",49,53,97,95,65,56
"ENSMUSG00000027695",377,472,346,397,368,506
"ENSMUSG00000027698",5092,4668,5768,5293,6997,5836
"ENSMUSG00000027699",26,16,26,6,15,14
"ENSMUSG00000027702",1,0,2,0,2,0
"ENSMUSG00000027703",1,0,0,0,0,0
"ENSMUSG00000027706",7759,6586,7818,8079,8354,9005
"ENSMUSG00000027708",2025,2141,2445,2474,2435,2402
"ENSMUSG00000027709",633,630,654,639,689,707
"ENSMUSG00000027710",734,776,837,885,751,844
"ENSMUSG00000027712",1934,1623,2129,2079,2045,1794
"ENSMUSG00000027713",4,16,8,0,4,3
"ENSMUSG00000027714",995,761,1111,1082,1153,1142
"ENSMUSG00000027715",34,21,21,15,17,20
"ENSMUSG00000027716",398,541,527,510,198,512
"ENSMUSG00000027718",0,0,3,0,4,0
"ENSMUSG00000027719",2,0,0,0,0,0
"ENSMUSG00000027720",0,1,0,1,4,2
"ENSMUSG00000027722",550,487,632,784,625,668
"ENSMUSG00000027737",2641,1736,3572,3348,4391,2487
"ENSMUSG00000027739",919,893,1027,1024,1295,797
"ENSMUSG00000027742",1454,1837,1872,1690,1861,1683
"ENSMUSG00000027744",0,0,0,8,0,3
"ENSMUSG00000027746",1989,2301,2542,2601,2451,2196
"ENSMUSG00000027748",776,615,768,867,933,790
"ENSMUSG00000027750",145,122,186,169,18,135
"ENSMUSG00000027751",869,906,862,954,1033,1004
"ENSMUSG00000027752",285,305,324,260,352,339
"ENSMUSG00000027761",0,0,0,0,0,0
"ENSMUSG00000027762",0,0,0,0,0,0
"ENSMUSG00000027763",6157,6644,6887,6966,6765,7117
"ENSMUSG00000027765",77,64,86,84,168,114
"ENSMUSG00000027770",3361,3573,3560,4026,4071,3464
"ENSMUSG00000027774",1802,1601,1881,2022,2123,2208
"ENSMUSG00000027775",717,622,777,753,898,681
"ENSMUSG00000027776",66,135,124,126,43,103
"ENSMUSG00000027777",288,289,215,191,193,248
"ENSMUSG00000027778",1019,966,927,994,1229,1303
"ENSMUSG00000027782",3737,4252,4226,4425,4460,4062
"ENSMUSG00000027784",8095,8041,7010,7464,8161,9050
"ENSMUSG00000027787",1150,1106,1250,1145,1297,1126
"ENSMUSG00000027788",0,0,0,0,0,0
"ENSMUSG00000027790",9,5,16,13,4,24
"ENSMUSG00000027792",169,151,190,228,315,174
"ENSMUSG00000027793",30,25,30,33,69,32
"ENSMUSG00000027794",0,0,0,0,0,0
"ENSMUSG00000027796",818,708,730,949,779,890
"ENSMUSG00000027797",36247,36001,38094,39958,36229,40151
