"","RR3_HRT_FLT_F1","RR3_HRT_FLT_F2","RR3_HRT_FLT_F9","RR3_HRT_GC_G7","RR3_HRT_GC_G8"
"ENSMUSG00000098245",0,0,0,0,0
"ENSMUSG00000098246",0,0,0,0,0
"ENSMUSG00000098247",0,0,0,0,0
"ENSMUSG00000098248",0,0,0,0,0
"ENSMUSG00000098251",0,0,0,0,0
"ENSMUSG00000098252",0,0,0,0,0
"ENSMUSG00000098253",0,0,0,0,0
"ENSMUSG00000098255",0,0,0,0,0
"ENSMUSG00000098257",0,0,0,0,0
"ENSMUSG00000098258",0,0,0,0,0
"ENSMUSG00000098259",0,7,0,0,0
"ENSMUSG00000098261",0,0,0,0,0
"ENSMUSG00000098263",0,0,0,0,0
"ENSMUSG00000098264",0,0,0,0,0
"ENSMUSG00000098267",0,0,0,0,0
"ENSMUSG00000098269",1,0,0,4,0
"ENSMUSG00000098270",0,0,0,0,0
"ENSMUSG00000098272",0,0,0,0,0
"ENSMUSG00000098273",0,0,0,0,0
"ENSMUSG00000098274",2,5,3,0,0
"ENSMUSG00000098275",0,0,0,0,0
"ENSMUSG00000098276",0,0,0,0,0
"ENSMUSG00000098278",0,0,0,0,0
"ENSMUSG00000098279",0,0,0,0,0
"ENSMUSG00000098280",0,0,0,0,0
"ENSMUSG00000098282",0,0,0,0,0
"ENSMUSG00000098284",1,1,0,0,0
"ENSMUSG00000098285",0,0,0,0,0
"ENSMUSG00000098286",22,38,42,19,32
"ENSMUSG00000098287",0,0,0,0,0
"ENSMUSG00000098288",0,0,0,0,0
"ENSMUSG00000098289",0,0,0,0,0
"ENSMUSG00000098290",0,0,0,0,0
"ENSMUSG00000098291",0,0,0,0,0
"ENSMUSG00000098292",0,0,0,0,0
"ENSMUSG00000098293",0,0,3,0,0
"ENSMUSG00000098294",0,0,0,0,0
"ENSMUSG00000098295",0,0,0,0,0
"ENSMUSG00000098296",0,0,0,0,0
"ENSMUSG00000098297",0,0,0,0,0
"ENSMUSG00000098299",2,0,0,1,0
"ENSMUSG00000098300",0,0,0,0,0
"ENSMUSG00000098302",0,0,0,0,0
"ENSMUSG00000098304",0,0,0,0,0
"ENSMUSG00000098306",0,0,0,0,0
"ENSMUSG00000098309",0,0,0,0,0
"ENSMUSG00000098310",0,0,0,0,0
"ENSMUSG00000098311",0,0,0,0,0
"ENSMUSG00000098313",0,0,0,0,0
"ENSMUSG00000098315",0,0,0,0,0
"ENSMUSG00000098316",0,0,0,0,0
"ENSMUSG00000098317",0,0,0,0,0
"ENSMUSG00000098318",13,9,22,27,0
"ENSMUSG00000098319",0,0,0,0,0
"ENSMUSG00000098322",0,0,0,0,0
"ENSMUSG00000098325",1,0,0,5,5
"ENSMUSG00000098327",0,0,2,0,0
"ENSMUSG00000098329",0,0,0,0,0
"ENSMUSG00000098330",0,0,0,0,0
"ENSMUSG00000098331",0,0,0,0,0
"ENSMUSG00000098332",499,425,827,402,259
"ENSMUSG00000098333",0,0,0,0,0
"ENSMUSG00000098334",0,0,0,0,0
"ENSMUSG00000098335",0,0,0,0,0
"ENSMUSG00000098336",0,0,0,0,0
"ENSMUSG00000098338",0,0,0,0,0
"ENSMUSG00000098339",0,0,0,0,0
"ENSMUSG00000098340",1,0,4,3,0
"ENSMUSG00000098341",0,0,0,0,0
"ENSMUSG00000098343",0,0,0,0,0
"ENSMUSG00000098344",0,0,0,0,0
"ENSMUSG00000098346",0,0,0,0,0
"ENSMUSG00000098347",0,0,0,0,0
"ENSMUSG00000098348",0,0,0,0,0
"ENSMUSG00000098353",0,0,0,0,0
"ENSMUSG00000098354",0,0,0,0,0
"ENSMUSG00000098358",0,0,0,0,0
"ENSMUSG00000098360",0,0,0,0,0
"ENSMUSG00000098361",0,0,0,0,0
"ENSMUSG00000098362",0,0,0,0,0
"ENSMUSG00000098363",1,0,5,0,0
"ENSMUSG00000098366",0,0,0,0,0
"ENSMUSG00000098370",0,0,0,0,0
"ENSMUSG00000098371",0,0,0,0,0
"ENSMUSG00000098374",17,6,11,9,0
"ENSMUSG00000098376",0,0,0,0,0
"ENSMUSG00000098379",0,0,0,0,0
"ENSMUSG00000098380",3,0,0,0,0
"ENSMUSG00000098381",0,0,0,0,0
"ENSMUSG00000098382",0,0,0,0,0
"ENSMUSG00000098383",0,0,0,0,0
"ENSMUSG00000098386",0,0,0,0,0
"ENSMUSG00000098387",0,0,0,0,0
"ENSMUSG00000098388",2,0,0,0,0
"ENSMUSG00000098389",0,0,0,0,0
"ENSMUSG00000098390",0,0,0,0,0
"ENSMUSG00000098391",0,0,0,0,0
"ENSMUSG00000098397",7,0,1,0,0
"ENSMUSG00000098400",0,0,0,0,0
"ENSMUSG00000098401",0,0,0,0,0
"ENSMUSG00000098404",17,16,27,24,10
"ENSMUSG00000098405",0,0,0,0,0
"ENSMUSG00000098406",0,0,0,0,0
"ENSMUSG00000098407",0,0,0,0,0
"ENSMUSG00000098408",0,0,0,0,0
"ENSMUSG00000098410",0,0,0,0,0
"ENSMUSG00000098412",0,3,2,2,0
"ENSMUSG00000098413",0,0,0,0,0
"ENSMUSG00000098414",0,0,0,0,0
"ENSMUSG00000098415",0,0,0,0,0
"ENSMUSG00000098416",0,0,0,0,0
"ENSMUSG00000098417",0,0,0,0,0
"ENSMUSG00000098419",0,0,0,0,0
"ENSMUSG00000098420",0,0,0,0,0
"ENSMUSG00000098421",0,0,0,0,0
"ENSMUSG00000098422",0,0,0,0,0
"ENSMUSG00000098424",0,0,0,0,0
"ENSMUSG00000098426",0,0,0,0,0
"ENSMUSG00000098429",0,0,0,0,0
"ENSMUSG00000098431",9,6,22,11,14
"ENSMUSG00000098433",0,0,0,0,3
"ENSMUSG00000098434",0,2,0,0,0
"ENSMUSG00000098437",0,0,0,0,0
"ENSMUSG00000098438",0,0,0,0,0
"ENSMUSG00000098439",1,0,4,7,0
"ENSMUSG00000098441",0,0,0,0,0
"ENSMUSG00000098442",0,0,0,0,0
"ENSMUSG00000098443",0,0,0,0,0
"ENSMUSG00000098444",0,0,0,0,0
"ENSMUSG00000098445",0,0,0,0,0
"ENSMUSG00000098446",0,0,0,0,0
"ENSMUSG00000098447",2,2,9,5,0
"ENSMUSG00000098448",0,0,0,0,0
"ENSMUSG00000098449",4,4,15,7,2
"ENSMUSG00000098451",0,0,0,0,0
"ENSMUSG00000098453",0,0,0,0,0
"ENSMUSG00000098454",0,0,0,0,0
"ENSMUSG00000098456",0,0,0,0,2
"ENSMUSG00000098457",0,0,0,0,0
"ENSMUSG00000098458",0,0,0,0,0
"ENSMUSG00000098464",0,0,0,0,0
"ENSMUSG00000098465",0,0,0,0,0
"ENSMUSG00000098468",0,0,0,0,0
"ENSMUSG00000098469",0,0,0,0,0
"ENSMUSG00000098470",62,54,99,63,20
"ENSMUSG00000098471",0,0,0,0,0
"ENSMUSG00000098473",0,0,0,0,0
"ENSMUSG00000098474",0,0,0,0,0
"ENSMUSG00000098475",0,0,0,0,0
"ENSMUSG00000098480",1,1,1,0,2
"ENSMUSG00000098482",0,0,0,0,0
"ENSMUSG00000098483",0,0,0,0,0
"ENSMUSG00000098485",0,0,0,0,0
"ENSMUSG00000098487",0,0,0,0,0
"ENSMUSG00000098488",31,12,22,9,2
"ENSMUSG00000098489",0,0,0,0,0
"ENSMUSG00000098490",0,0,0,0,0
"ENSMUSG00000098492",7,10,3,2,8
"ENSMUSG00000098493",0,0,0,0,0
"ENSMUSG00000098497",2,0,0,0,0
"ENSMUSG00000098498",0,0,0,0,0
"ENSMUSG00000098499",0,0,0,0,0
"ENSMUSG00000098500",0,0,0,0,0
"ENSMUSG00000098501",0,0,0,0,0
"ENSMUSG00000098504",0,0,0,0,0
"ENSMUSG00000098505",0,0,0,0,0
"ENSMUSG00000098506",1,0,1,2,0
"ENSMUSG00000098508",0,0,0,0,0
"ENSMUSG00000098509",0,0,0,0,0
"ENSMUSG00000098510",0,0,0,0,0
"ENSMUSG00000098511",0,0,0,0,0
"ENSMUSG00000098513",4,0,0,1,0
"ENSMUSG00000098515",0,0,0,0,0
"ENSMUSG00000098516",0,0,0,0,0
"ENSMUSG00000098519",0,0,0,0,0
"ENSMUSG00000098520",0,0,0,0,0
"ENSMUSG00000098521",0,0,0,0,0
"ENSMUSG00000098522",0,0,0,0,0
"ENSMUSG00000098527",0,0,0,0,0
"ENSMUSG00000098528",0,0,1,0,0
"ENSMUSG00000098530",0,0,0,0,0
"ENSMUSG00000098531",0,0,0,0,0
"ENSMUSG00000098532",0,0,0,0,0
"ENSMUSG00000098533",0,0,0,0,0
"ENSMUSG00000098534",0,3,1,0,0
"ENSMUSG00000098539",0,0,0,0,0
"ENSMUSG00000098540",0,1,0,0,0
"ENSMUSG00000098544",0,0,0,0,0
"ENSMUSG00000098547",0,0,0,0,0
"ENSMUSG00000098548",1,1,0,0,0
"ENSMUSG00000098549",0,0,0,0,0
"ENSMUSG00000098550",0,0,0,0,0
"ENSMUSG00000098552",1,0,0,0,0
"ENSMUSG00000098553",0,0,5,0,0
"ENSMUSG00000098555",0,0,0,0,0
"ENSMUSG00000098557",1768,1772,2779,1536,837
"ENSMUSG00000098558",0,0,0,0,0
"ENSMUSG00000098559",2,1,1,0,0
"ENSMUSG00000098561",0,0,0,0,0
"ENSMUSG00000098562",0,0,0,0,0
"ENSMUSG00000098563",0,0,0,0,0
"ENSMUSG00000098564",0,0,0,0,0
"ENSMUSG00000098568",0,0,0,0,0
"ENSMUSG00000098569",2,0,0,0,0
"ENSMUSG00000098573",3,2,7,7,6
"ENSMUSG00000098574",0,0,0,0,0
"ENSMUSG00000098578",0,0,0,0,0
"ENSMUSG00000098579",0,0,0,0,0
"ENSMUSG00000098580",0,0,0,0,0
"ENSMUSG00000098582",0,0,0,0,0
"ENSMUSG00000098583",0,0,0,0,0
"ENSMUSG00000098588",0,0,0,0,0
"ENSMUSG00000098590",0,0,0,0,0
"ENSMUSG00000098592",0,0,0,0,0
"ENSMUSG00000098593",0,0,0,0,0
"ENSMUSG00000098596",0,0,0,0,0
"ENSMUSG00000098597",0,0,0,0,0
"ENSMUSG00000098600",0,0,0,0,0
"ENSMUSG00000098602",0,0,2,0,0
"ENSMUSG00000098606",0,0,0,0,0
"ENSMUSG00000098607",0,0,0,0,0
"ENSMUSG00000098608",0,0,0,0,0
"ENSMUSG00000098609",0,0,0,0,0
"ENSMUSG00000098611",0,0,0,0,0
"ENSMUSG00000098612",0,0,0,0,0
"ENSMUSG00000098613",0,0,0,0,0
"ENSMUSG00000098619",0,0,0,0,0
"ENSMUSG00000098620",0,0,0,0,0
"ENSMUSG00000098623",0,0,0,0,0
"ENSMUSG00000098624",0,0,0,0,0
"ENSMUSG00000098625",0,0,0,0,0
"ENSMUSG00000098627",0,0,0,0,0
"ENSMUSG00000098630",0,0,0,0,0
"ENSMUSG00000098631",0,0,0,0,0
"ENSMUSG00000098632",0,0,0,0,0
"ENSMUSG00000098634",0,0,0,0,0
"ENSMUSG00000098640",0,0,0,0,0
"ENSMUSG00000098644",0,0,0,0,0
"ENSMUSG00000098645",3,0,5,1,0
"ENSMUSG00000098646",0,0,0,0,0
"ENSMUSG00000098648",0,0,0,0,0
"ENSMUSG00000098649",0,0,0,0,0
"ENSMUSG00000098650",0,0,0,0,0
"ENSMUSG00000098651",6,0,0,0,0
"ENSMUSG00000098655",0,0,0,0,0
"ENSMUSG00000098656",0,0,0,0,0
"ENSMUSG00000098658",0,0,0,0,0
"ENSMUSG00000098659",3,0,0,0,0
"ENSMUSG00000098660",0,0,0,0,0
"ENSMUSG00000098661",0,0,0,4,0
"ENSMUSG00000098663",0,0,0,0,0
"ENSMUSG00000098666",0,0,0,0,0
"ENSMUSG00000098668",6,4,18,0,7
"ENSMUSG00000098671",0,0,0,0,0
"ENSMUSG00000098672",0,0,4,0,0
"ENSMUSG00000098675",0,0,4,0,0
"ENSMUSG00000098676",0,0,0,0,0
"ENSMUSG00000098678",2,4,7,0,0
"ENSMUSG00000098679",0,0,0,0,0
"ENSMUSG00000098680",0,0,0,0,0
"ENSMUSG00000098682",0,0,0,0,0
"ENSMUSG00000098684",0,2,0,0,0
"ENSMUSG00000098685",0,0,0,0,0
"ENSMUSG00000098686",0,0,0,0,0
"ENSMUSG00000098687",0,0,0,0,0
"ENSMUSG00000098689",2,0,2,0,0
"ENSMUSG00000098692",0,0,0,0,0
"ENSMUSG00000098698",0,0,0,0,0
"ENSMUSG00000098701",0,0,0,0,0
"ENSMUSG00000098702",76,45,101,56,5
"ENSMUSG00000098704",0,0,0,0,0
"ENSMUSG00000098705",0,0,0,0,0
"ENSMUSG00000098706",0,0,0,0,0
"ENSMUSG00000098707",0,0,0,0,0
"ENSMUSG00000098708",221,128,338,62,68
"ENSMUSG00000098710",0,0,0,0,0
"ENSMUSG00000098712",0,0,2,0,0
"ENSMUSG00000098713",1,0,4,2,6
"ENSMUSG00000098714",0,0,4,1,1
"ENSMUSG00000098715",0,0,0,0,0
"ENSMUSG00000098718",0,0,0,0,0
"ENSMUSG00000098719",28,12,34,13,3
"ENSMUSG00000098720",0,0,0,1,0
"ENSMUSG00000098721",0,0,0,0,0
"ENSMUSG00000098726",3,2,1,1,0
"ENSMUSG00000098727",0,0,0,0,0
"ENSMUSG00000098729",0,0,0,0,0
"ENSMUSG00000098730",0,0,0,0,0
"ENSMUSG00000098731",0,1,3,5,0
"ENSMUSG00000098734",0,1,0,0,0
"ENSMUSG00000098735",0,0,0,0,0
"ENSMUSG00000098737",0,0,0,0,0
"ENSMUSG00000098739",5,9,20,4,0
"ENSMUSG00000098741",0,0,0,0,0
"ENSMUSG00000098744",0,0,0,0,0
"ENSMUSG00000098747",0,0,0,0,0
"ENSMUSG00000098748",0,0,0,0,0
"ENSMUSG00000098751",0,0,0,0,0
"ENSMUSG00000098752",0,0,0,0,0
"ENSMUSG00000098754",0,0,0,0,0
"ENSMUSG00000098756",0,0,0,0,0
"ENSMUSG00000098758",0,0,0,0,0
"ENSMUSG00000098759",0,0,1,0,0
"ENSMUSG00000098760",0,0,0,0,0
"ENSMUSG00000098761",0,0,0,0,0
"ENSMUSG00000098762",0,0,0,0,0
"ENSMUSG00000098764",0,0,0,0,0
"ENSMUSG00000098765",0,0,0,0,0
"ENSMUSG00000098766",0,0,0,0,0
"ENSMUSG00000098768",0,0,0,0,0
"ENSMUSG00000098769",0,0,0,0,0
"ENSMUSG00000098771",0,0,0,0,0
"ENSMUSG00000098773",0,0,0,0,0
"ENSMUSG00000098774",0,0,0,0,0
"ENSMUSG00000098778",5,0,0,0,0
"ENSMUSG00000098779",0,0,0,0,0
"ENSMUSG00000098780",0,0,0,0,0
"ENSMUSG00000098781",0,0,0,0,0
"ENSMUSG00000098782",0,0,0,0,0
"ENSMUSG00000098783",0,0,0,0,0
"ENSMUSG00000098784",0,0,0,0,0
"ENSMUSG00000098785",0,0,0,0,0
"ENSMUSG00000098786",0,0,2,0,0
"ENSMUSG00000098787",0,0,0,0,0
"ENSMUSG00000098789",8,6,7,1,0
"ENSMUSG00000098790",0,0,0,4,0
"ENSMUSG00000098794",0,0,0,0,0
"ENSMUSG00000098796",0,0,0,0,0
"ENSMUSG00000098797",0,0,0,0,0
"ENSMUSG00000098799",0,0,0,0,0
"ENSMUSG00000098800",0,0,0,0,0
"ENSMUSG00000098801",0,0,0,0,0
"ENSMUSG00000098802",0,0,0,0,0
"ENSMUSG00000098807",3,0,0,0,4
"ENSMUSG00000098808",0,0,0,0,0
"ENSMUSG00000098811",0,0,0,0,0
"ENSMUSG00000098812",1,0,0,0,0
"ENSMUSG00000098814",1,1,0,18,0
"ENSMUSG00000098817",0,0,0,0,0
"ENSMUSG00000098822",0,0,0,0,0
"ENSMUSG00000098823",0,0,0,0,0
"ENSMUSG00000098824",0,0,0,0,0
"ENSMUSG00000098826",0,0,0,0,0
"ENSMUSG00000098829",0,0,0,0,0
"ENSMUSG00000098830",0,0,0,0,0
"ENSMUSG00000098831",0,0,0,0,0
"ENSMUSG00000098832",0,0,0,0,0
"ENSMUSG00000098833",0,0,0,0,0
"ENSMUSG00000098837",0,0,0,0,0
"ENSMUSG00000098838",0,0,0,0,0
"ENSMUSG00000098839",0,1,0,0,0
"ENSMUSG00000098843",0,0,0,0,0
"ENSMUSG00000098844",0,0,0,0,0
"ENSMUSG00000098847",0,0,0,0,0
"ENSMUSG00000098851",2,3,0,0,0
"ENSMUSG00000098853",0,0,0,0,0
"ENSMUSG00000098854",0,0,0,0,0
"ENSMUSG00000098855",0,0,0,0,0
"ENSMUSG00000098856",0,0,0,0,0
"ENSMUSG00000098858",0,0,0,0,0
"ENSMUSG00000098861",0,0,0,0,0
"ENSMUSG00000098862",0,0,0,0,0
"ENSMUSG00000098863",0,0,0,0,0
"ENSMUSG00000098866",0,1,0,0,0
"ENSMUSG00000098871",0,0,0,1,0
"ENSMUSG00000098873",2,0,4,0,1
"ENSMUSG00000098875",0,0,0,0,0
"ENSMUSG00000098876",0,0,0,0,0
"ENSMUSG00000098879",0,0,0,1,0
"ENSMUSG00000098881",0,0,0,0,0
"ENSMUSG00000098882",1,2,1,0,0
"ENSMUSG00000098884",0,0,0,0,0
"ENSMUSG00000098885",0,0,0,4,0
"ENSMUSG00000098886",0,0,0,0,0
"ENSMUSG00000098887",0,0,0,0,0
"ENSMUSG00000098888",0,0,0,0,0
"ENSMUSG00000098889",0,0,1,7,5
"ENSMUSG00000098890",0,0,0,0,0
"ENSMUSG00000098893",2,0,1,0,0
"ENSMUSG00000098894",0,0,0,0,0
"ENSMUSG00000098895",1,0,8,0,0
"ENSMUSG00000098896",4,0,0,0,0
"ENSMUSG00000098897",0,0,0,0,0
"ENSMUSG00000098900",0,0,0,0,0
"ENSMUSG00000098904",0,0,0,0,0
"ENSMUSG00000098905",122,107,197,131,23
"ENSMUSG00000098906",0,0,0,0,0
"ENSMUSG00000098907",0,0,0,0,0
"ENSMUSG00000098909",0,0,0,0,0
"ENSMUSG00000098910",0,0,0,0,0
"ENSMUSG00000098912",6,3,11,2,2
"ENSMUSG00000098915",1,0,6,0,0
"ENSMUSG00000098917",0,0,0,0,0
"ENSMUSG00000098918",0,0,0,0,0
"ENSMUSG00000098919",1,4,0,0,0
"ENSMUSG00000098922",0,0,0,0,0
"ENSMUSG00000098923",556,644,847,538,322
"ENSMUSG00000098924",0,0,0,0,0
"ENSMUSG00000098926",0,0,0,0,0
"ENSMUSG00000098928",0,0,0,0,0
"ENSMUSG00000098929",3,1,0,0,0
"ENSMUSG00000098931",0,0,0,0,0
"ENSMUSG00000098932",0,0,0,0,0
"ENSMUSG00000098934",0,0,0,0,0
"ENSMUSG00000098935",0,1,0,0,0
"ENSMUSG00000098937",0,0,0,0,0
"ENSMUSG00000098938",0,0,0,0,0
"ENSMUSG00000098942",8,2,9,1,0
"ENSMUSG00000098944",2,0,0,0,0
"ENSMUSG00000098945",0,0,0,0,0
"ENSMUSG00000098947",0,0,0,0,0
"ENSMUSG00000098949",0,0,0,0,0
"ENSMUSG00000098950",0,0,0,0,0
"ENSMUSG00000098951",0,3,1,3,0
"ENSMUSG00000098952",0,0,0,0,0
"ENSMUSG00000098954",0,0,0,0,0
"ENSMUSG00000098955",0,0,0,0,0
"ENSMUSG00000098957",0,0,0,0,0
"ENSMUSG00000098958",0,0,0,0,0
"ENSMUSG00000098959",0,0,0,0,0
"ENSMUSG00000098960",0,0,0,0,0
"ENSMUSG00000098961",0,0,0,0,0
"ENSMUSG00000098970",0,0,0,0,0
"ENSMUSG00000098972",0,0,0,0,0
"ENSMUSG00000098973",283,149,211,158,9
"ENSMUSG00000098975",0,0,0,0,0
"ENSMUSG00000098976",0,0,0,0,0
"ENSMUSG00000098977",0,0,0,0,0
"ENSMUSG00000098980",0,0,0,0,0
"ENSMUSG00000098981",0,1,0,0,0
"ENSMUSG00000098984",0,0,0,0,0
"ENSMUSG00000098985",1,4,8,5,0
"ENSMUSG00000098987",0,0,0,0,0
"ENSMUSG00000098989",0,0,0,0,0
"ENSMUSG00000098997",0,0,0,0,0
"ENSMUSG00000099003",0,0,0,0,0
"ENSMUSG00000099005",0,0,0,0,0
"ENSMUSG00000099006",0,0,0,0,0
"ENSMUSG00000099008",0,0,0,0,0
"ENSMUSG00000099009",0,0,0,0,0
"ENSMUSG00000099011",0,0,0,0,0
"ENSMUSG00000099013",0,0,7,0,0
"ENSMUSG00000099015",0,0,0,0,0
"ENSMUSG00000099016",0,0,0,0,0
"ENSMUSG00000099017",0,0,0,0,0
"ENSMUSG00000099019",0,0,0,0,0
"ENSMUSG00000099020",0,0,0,0,0
"ENSMUSG00000099025",0,0,0,0,0
"ENSMUSG00000099027",0,0,0,0,0
"ENSMUSG00000099030",0,0,0,0,0
"ENSMUSG00000099031",3,1,0,0,0
"ENSMUSG00000099032",31,35,44,16,14
"ENSMUSG00000099033",0,0,1,0,0
"ENSMUSG00000099034",68,19,64,47,18
"ENSMUSG00000099035",0,0,0,0,0
"ENSMUSG00000099036",0,0,0,0,0
"ENSMUSG00000099041",1,1,1,0,0
"ENSMUSG00000099042",0,0,0,0,0
"ENSMUSG00000099043",0,0,0,0,0
"ENSMUSG00000099045",2,0,7,1,0
"ENSMUSG00000099047",0,0,0,0,0
"ENSMUSG00000099050",0,0,5,0,0
"ENSMUSG00000099051",3,1,3,4,0
"ENSMUSG00000099054",0,0,0,0,0
"ENSMUSG00000099055",0,0,0,0,0
"ENSMUSG00000099056",0,0,0,0,0
"ENSMUSG00000099057",0,0,0,0,0
"ENSMUSG00000099058",0,0,0,0,0
"ENSMUSG00000099060",1,3,0,4,0
"ENSMUSG00000099061",3,2,6,3,1
"ENSMUSG00000099062",0,0,0,0,0
"ENSMUSG00000099063",0,2,0,0,0
"ENSMUSG00000099064",0,0,0,0,0
"ENSMUSG00000099066",0,0,0,0,0
"ENSMUSG00000099069",0,0,0,0,0
"ENSMUSG00000099070",3,0,0,0,0
"ENSMUSG00000099071",0,0,0,0,0
"ENSMUSG00000099072",0,0,0,0,0
"ENSMUSG00000099075",0,0,0,0,0
"ENSMUSG00000099076",0,0,0,0,0
"ENSMUSG00000099078",0,0,0,0,0
"ENSMUSG00000099079",0,0,0,0,0
"ENSMUSG00000099080",0,0,0,0,0
"ENSMUSG00000099082",0,0,0,0,0
"ENSMUSG00000099083",1508,1930,2370,1323,909
"ENSMUSG00000099085",0,2,0,0,0
"ENSMUSG00000099087",0,0,0,0,0
"ENSMUSG00000099091",0,0,0,0,0
"ENSMUSG00000099092",0,0,0,0,0
"ENSMUSG00000099093",0,0,0,0,0
"ENSMUSG00000099094",0,3,12,3,0
"ENSMUSG00000099095",0,0,0,0,0
"ENSMUSG00000099096",0,0,0,0,0
"ENSMUSG00000099098",0,4,5,0,1
"ENSMUSG00000099101",0,0,0,0,0
"ENSMUSG00000099102",0,0,0,0,0
"ENSMUSG00000099104",0,0,0,0,0
"ENSMUSG00000099105",0,0,3,0,0
"ENSMUSG00000099109",0,0,0,0,0
"ENSMUSG00000099110",0,0,0,0,0
"ENSMUSG00000099115",0,0,0,0,0
"ENSMUSG00000099118",0,0,0,0,0
"ENSMUSG00000099120",0,0,0,0,0
"ENSMUSG00000099123",0,0,0,0,0
"ENSMUSG00000099124",0,0,0,0,0
"ENSMUSG00000099129",0,0,0,0,0
"ENSMUSG00000099131",0,0,0,0,0
"ENSMUSG00000099134",0,0,0,0,0
"ENSMUSG00000099137",164,154,91,88,23
"ENSMUSG00000099138",0,0,0,0,0
"ENSMUSG00000099139",0,1,0,0,0
"ENSMUSG00000099140",1,0,3,4,0
"ENSMUSG00000099141",3,0,0,2,0
"ENSMUSG00000099142",0,0,0,0,0
"ENSMUSG00000099145",6,0,1,0,0
"ENSMUSG00000099146",3,1,0,0,3
"ENSMUSG00000099147",0,0,0,0,0
"ENSMUSG00000099148",4,1,0,0,0
"ENSMUSG00000099149",0,0,0,0,0
"ENSMUSG00000099150",0,0,0,0,0
"ENSMUSG00000099152",0,0,0,0,0
"ENSMUSG00000099153",1,2,0,0,0
"ENSMUSG00000099158",0,0,0,0,0
"ENSMUSG00000099160",0,0,0,0,0
"ENSMUSG00000099161",0,0,0,0,0
"ENSMUSG00000099162",0,0,0,0,0
"ENSMUSG00000099163",5,0,12,0,0
"ENSMUSG00000099165",0,0,0,0,0
"ENSMUSG00000099169",0,0,0,0,0
"ENSMUSG00000099170",11,0,2,6,4
"ENSMUSG00000099172",0,0,1,0,0
"ENSMUSG00000099174",0,0,0,0,0
"ENSMUSG00000099176",0,0,0,0,0
"ENSMUSG00000099178",0,0,0,0,0
"ENSMUSG00000099180",0,0,0,0,0
"ENSMUSG00000099181",0,0,0,0,0
"ENSMUSG00000099182",0,0,0,0,0
"ENSMUSG00000099184",0,0,0,0,0
"ENSMUSG00000099185",0,0,0,0,0
"ENSMUSG00000099188",3,0,0,0,0
"ENSMUSG00000099190",2,0,1,3,0
"ENSMUSG00000099196",0,0,0,0,0
"ENSMUSG00000099197",0,0,0,0,0
"ENSMUSG00000099198",0,0,0,0,0
"ENSMUSG00000099199",0,0,0,0,0
"ENSMUSG00000099200",0,0,0,0,0
"ENSMUSG00000099201",0,0,0,0,0
"ENSMUSG00000099202",0,0,0,0,0
"ENSMUSG00000099203",0,0,0,0,0
"ENSMUSG00000099207",0,0,0,0,0
"ENSMUSG00000099210",1,1,8,0,0
"ENSMUSG00000099212",0,0,0,0,0
"ENSMUSG00000099214",0,0,0,0,0
"ENSMUSG00000099216",0,0,0,0,0
"ENSMUSG00000099218",0,0,0,0,0
"ENSMUSG00000099220",0,0,0,0,0
"ENSMUSG00000099221",4,0,0,1,0
"ENSMUSG00000099222",0,0,0,2,0
"ENSMUSG00000099223",0,0,0,0,0
"ENSMUSG00000099225",0,0,0,0,0
"ENSMUSG00000099226",0,0,0,0,0
"ENSMUSG00000099227",0,0,0,0,0
"ENSMUSG00000099230",0,0,0,0,0
"ENSMUSG00000099236",0,0,0,0,0
"ENSMUSG00000099237",0,0,0,0,0
"ENSMUSG00000099238",0,0,4,0,0
"ENSMUSG00000099239",0,0,0,0,0
"ENSMUSG00000099241",22,14,4,5,12
"ENSMUSG00000099242",0,0,0,0,0
"ENSMUSG00000099245",0,0,0,0,0
"ENSMUSG00000099253",0,0,0,0,0
"ENSMUSG00000099254",1,0,0,0,0
"ENSMUSG00000099256",0,0,0,0,0
"ENSMUSG00000099257",0,0,0,0,0
"ENSMUSG00000099258",0,0,0,0,0
"ENSMUSG00000099259",0,0,0,0,0
"ENSMUSG00000099260",0,0,0,0,0
"ENSMUSG00000099261",0,0,0,0,0
"ENSMUSG00000099264",0,0,0,0,0
"ENSMUSG00000099266",0,0,0,0,0
"ENSMUSG00000099267",0,0,10,0,0
"ENSMUSG00000099269",0,0,0,0,0
"ENSMUSG00000099272",0,0,0,0,0
"ENSMUSG00000099274",0,0,0,0,0
"ENSMUSG00000099275",0,0,0,0,0
"ENSMUSG00000099276",0,0,0,0,0
"ENSMUSG00000099279",0,0,0,0,0
"ENSMUSG00000099280",0,0,0,0,0
"ENSMUSG00000099283",0,0,0,0,0
"ENSMUSG00000099284",1,0,0,0,0
"ENSMUSG00000099286",0,0,0,0,0
"ENSMUSG00000099289",0,0,0,0,0
"ENSMUSG00000099290",0,0,0,0,0
"ENSMUSG00000099292",0,0,0,0,0
"ENSMUSG00000099293",0,0,0,0,0
"ENSMUSG00000099294",0,0,0,0,0
"ENSMUSG00000099298",0,0,0,0,0
"ENSMUSG00000099300",0,0,0,0,0
"ENSMUSG00000099301",0,2,0,0,0
"ENSMUSG00000099308",0,0,0,0,0
"ENSMUSG00000099309",0,0,7,0,0
"ENSMUSG00000099310",1,3,10,4,0
"ENSMUSG00000099311",0,0,0,0,0
"ENSMUSG00000099313",0,0,0,0,0
"ENSMUSG00000099315",0,0,0,0,0
