"","Mmus_C57-6CR_LVR_FLT_Rep1_F58","Mmus_C57-6CR_LVR_FLT_Rep2_F64","Mmus_C57-6CR_LVR_GC_Rep1_G40","Mmus_C57-6CR_LVR_GC_Rep2_G44","Mmus_C57-6CR_LVR_VIV_Rep1_V14","Mmus_C57-6CR_LVR_VIV_Rep2_V9"
"ENSMUSG00000002731",494,286,703,372,425,455
"ENSMUSG00000002732",103,74,79,68,79,93
"ENSMUSG00000002733",510,529,455,574,659,603
"ENSMUSG00000002741",1480,1293,1493,1790,2009,2084
"ENSMUSG00000002748",1678,2049,1741,2521,2647,2678
"ENSMUSG00000002763",814,1016,1386,1693,1618,1505
"ENSMUSG00000002767",1272,855,1103,944,883,883
"ENSMUSG00000002768",1416,1035,1596,1144,1239,1250
"ENSMUSG00000002769",92342,58312,80630,59557,47700,54192
"ENSMUSG00000002771",2,2,2,3,3,4
"ENSMUSG00000002778",1596,1396,1533,1679,1838,1770
"ENSMUSG00000002781",334,373,460,422,461,469
"ENSMUSG00000002791",0,0,1,2,0,0
"ENSMUSG00000002797",159,114,225,226,199,215
"ENSMUSG00000002799",2,6,5,4,12,2
"ENSMUSG00000002803",171,207,169,248,265,224
