"","Mmus_C57-6J_LVR_DI_1y_Rep1","Mmus_C57-6J_LVR_DI_1y_Rep2","Mmus_C57-6J_LVR_DI_1y_Rep3","Mmus_C57-6J_LVR_LN2_1y_Rep1","Mmus_C57-6J_LVR_LN2_1y_Rep2","Mmus_C57-6J_LVR_LN2_1y_Rep3","Mmus_C57-6J_LVR_LN2_3d_Rep1","Mmus_C57-6J_LVR_LN2_3d_Rep2","Mmus_C57-6J_LVR_LN2_3d_Rep3"
"ENSMUSG00000068674",7.55,7.48,0,2.37,1.85,2.4,2.15,0,1.83
"ENSMUSG00000068680",0,0,0,0,0,0,0,0,0
"ENSMUSG00000068686",82.87,61,69.46,104.49,96.84,69,62,83.52,73.91
"ENSMUSG00000068689",1,1.06,6.02,2.01,0,0,0,0,1
"ENSMUSG00000068696",0,0,2,0,0,0,0,1,0
"ENSMUSG00000068697",2,1,4,1,1,1,0,1,1
"ENSMUSG00000068699",3,2,2,21,1,7,15,2,4
"ENSMUSG00000068706",43.88,13.72,29,24.16,20.04,36.69,17.9,44.13,10.57
"ENSMUSG00000068732",868,835,869,1264,889,929,1152,900,962
"ENSMUSG00000068735",143,206,165,275,226,246,226,200,251
"ENSMUSG00000068739",1317,1572,1661,1809,1316,1314,1413,1552,1314
"ENSMUSG00000068740",13,14,19,9,6,21,34,23,16
"ENSMUSG00000068742",719,701,609,1070,1021,1062,964,539,910
"ENSMUSG00000068744",1,11,0,2,6,4,2,1,7
"ENSMUSG00000068745",0,0,0,0,0,0,0,0,0
"ENSMUSG00000068747",291,467,443,387,277,194,567,416,284
"ENSMUSG00000068748",0,0,0,1,0,3,0,0,2
"ENSMUSG00000068749",1268.37,1349.73,1210.3,1658.61,1164.53,1085.05,1456,1294.5,1432
"ENSMUSG00000068758",105,79,77,160,86,85,57,71,68
"ENSMUSG00000068762",2767.02,3193.19,2904.2,3733.62,2609.38,1804.45,3024.61,3481.42,4056.48
"ENSMUSG00000068776",0,0,0,0,0,0,0,0,0
"ENSMUSG00000068794",3,1,1,2,0,5,0,0,0
"ENSMUSG00000068798",1395.21,1763.99,1617.51,2179.14,1324,1566.81,1812.25,1834.45,1676
"ENSMUSG00000068806",0,0,0,0,0,0,0,0,0
"ENSMUSG00000068808",0,0,0,0,0,0,0,0,0
"ENSMUSG00000068809",0,0,0,0,0,0,0,0,0
"ENSMUSG00000068810",0,0,0,0,0,0,0,0,0
"ENSMUSG00000068814",0,0,0,0,0,0,0,0,0
"ENSMUSG00000068815",0,0,0,0,0,0,0,0,0
"ENSMUSG00000068816",0,0,0,0,0,0,0,0,0
"ENSMUSG00000068817",0,0,0,0,0,0,0,0,0
"ENSMUSG00000068818",0,0,0,0,0,0,0,0,0
"ENSMUSG00000068819",0,0,0,0,0,0,0,0,0
"ENSMUSG00000068823",5493.72,6274.94,6322.75,7192,5510.76,6050.82,6757.6,6183.73,5733.77
"ENSMUSG00000068824",0,0,0,0,0,0,0,0,0
"ENSMUSG00000068854",101,125.77,81,102,78,83,96,35,77
"ENSMUSG00000068855",1.4,0,0,2.65,0,1.48,0,0,0
"ENSMUSG00000068856",551.24,741.62,647,747.01,525,573,616,667,581.82
"ENSMUSG00000068859",6,14,6,5,6,6,11,3,12
"ENSMUSG00000068860",0,0,0,0,0,1,2,0,0
"ENSMUSG00000068874",10272.5,9647.58,9965.64,14770.02,9164.79,7572.87,9492.13,12102.95,11833.66
"ENSMUSG00000068876",748.3,1083.73,882.17,723.52,632,969.93,1514.54,767.59,840.61
"ENSMUSG00000068877",683.5,633.42,569.36,696.98,822.21,594.13,623.87,179.05,530.34
"ENSMUSG00000068879",0,0,0,0,0,0,0,0,0
"ENSMUSG00000068882",1391,1609,1544,1960,1276,1305,1754,1843,1546
"ENSMUSG00000068885",0,0,0,0,0,0,0,0,0
"ENSMUSG00000068887",0,0,0,0,0,0,0,0,0
"ENSMUSG00000068888",0,0,0,0,0,0,0,0,0
"ENSMUSG00000068889",0,0,0,0,0,0,0,0,0
"ENSMUSG00000068890",0,0,0,0,0,0,0,0,0
"ENSMUSG00000068893",2,3,4,2,4,1,1,4,4.67
"ENSMUSG00000068917",217,248,185,238,153,149,292,313,222
"ENSMUSG00000068921",980,949,803,1192,837,782,963,843,1025
"ENSMUSG00000068922",194,229,229,305,196,208,209,226,278
"ENSMUSG00000068923",174.96,98.71,88,148,120.94,163.7,152.97,70.97,157.97
"ENSMUSG00000068940",0,0,0,0,0,0,0,0,0
"ENSMUSG00000068947",0,0,0,0,0,0,0,0,0
"ENSMUSG00000068948",0,0,0,0,0,0,0,0,0
"ENSMUSG00000068950",0,0,0,0,0,0,0,0,0
"ENSMUSG00000068957",0,0,0,0,0,0,0,0,0
"ENSMUSG00000068959",26,30,33,36,22,25,36,26,21
"ENSMUSG00000068962",5.99,2.22,14.86,3.63,5.32,15.57,6.21,2.15,1.12
"ENSMUSG00000068964",59.71,100.9,90.03,73.32,0,58.07,78.67,39.53,87.55
"ENSMUSG00000068966",87,109,84,155,83,146,196,118.82,111
"ENSMUSG00000068969",0,0,0,0,0,0,2.31,0,0
"ENSMUSG00000068999",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069008",697.65,803.41,1240.52,1348.92,826.11,803.74,1206.67,1172.96,999.28
"ENSMUSG00000069011",0,21.36,9.21,2.86,8.88,7.03,0,3.11,3.73
"ENSMUSG00000069014",705.24,1741.03,2418.05,1968.18,1702.32,1221.49,1808.3,2030.87,1843.62
"ENSMUSG00000069020",262,287,235,393,267,279,248,323,266
"ENSMUSG00000069036",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069038",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069041",8,4,0,4,6,0,1,2,1
"ENSMUSG00000069044",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069045",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069049",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069053",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069072",0,0,0,0,0,0,1,0,0
"ENSMUSG00000069074",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069080",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069083",54.43,0,51.71,0,97.24,0,0,0,21.69
"ENSMUSG00000069085",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069089",237,236,258,331,202,235,300,211,229
"ENSMUSG00000069094",84,110,106,141,80,113,120,112,90
"ENSMUSG00000069114",123,114,85,130,104,168,171,115,153
"ENSMUSG00000069117",12.57,3.82,19.08,11.24,0,0,7.59,0,6.12
"ENSMUSG00000069118",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069125",1.46,0,0,0,0,0,2.97,0.72,0
"ENSMUSG00000069132",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069135",249.21,312.66,318.3,363.66,267.04,299.93,370.43,359.73,340.43
"ENSMUSG00000069136",1,1,0,0,0,0,0,0,1
"ENSMUSG00000069170",36,41,43,36,44,72,26,16,16
"ENSMUSG00000069171",12.19,11.03,12.03,34.11,17.2,38.29,19,31.27,21.23
"ENSMUSG00000069184",63,91,91,101,68,86,126,70,56
"ENSMUSG00000069188",0,0,0,0,0,0,0,2.33,0
"ENSMUSG00000069189",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069196",1.37,2.35,0,0,0,0,0,0,0
"ENSMUSG00000069206",729.08,615.9,607.21,883.26,639.81,779.36,832.21,716.08,758.86
"ENSMUSG00000069208",399.15,393.5,369.27,535.11,392.52,390.63,486.95,437.68,432.82
"ENSMUSG00000069223",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069227",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069236",8.5,9.61,22.26,24.92,15.61,14.09,14.88,23.78,7.14
"ENSMUSG00000069237",2358,2428,2235,2918,2196,2336,2687,2262,2380
"ENSMUSG00000069248",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069255",415,399,325,543,370,433,421,404,349
"ENSMUSG00000069258",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069259",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069265",0,0,0,1.53,0,0,0,3.73,1.69
"ENSMUSG00000069266",3.4,0,0,0,0,0,2.07,5.86,2.87
"ENSMUSG00000069267",0,7.55,1.79,0,0,0,0,1.21,0
"ENSMUSG00000069268",0,0,0,0,0,2.11,0,0,0
"ENSMUSG00000069270",9.65,8.5,10.55,6.69,11.57,9.94,16.08,11.85,8.55
"ENSMUSG00000069272",0,3.11,1.49,3.27,0,3.39,3.41,4.85,0
"ENSMUSG00000069273",7.91,3.38,2.47,0,2.11,2.03,0,0,0
"ENSMUSG00000069274",0,0,0,0,0,0,0,0.68,0
"ENSMUSG00000069280",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069289",1.02,0,2.01,1.02,0,1.02,2.03,1,1.01
"ENSMUSG00000069292",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069294",0,0,1,0,0,0,0,1,0
"ENSMUSG00000069295",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069296",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069297",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069299",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069300",6.17,4.26,0,4.23,0,0,2.21,0,0
"ENSMUSG00000069301",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069302",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069303",219.27,172.45,130.43,278.66,184.53,143.15,137.19,200.2,149.34
"ENSMUSG00000069305",0,0,0,0,0,7.9,0,0,0
"ENSMUSG00000069306",5.82,7.03,0,0,5.54,0,5.11,5.38,3.24
"ENSMUSG00000069307",219.27,179.65,130.43,279.87,186.71,145.35,142.27,202.36,149.34
"ENSMUSG00000069308",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069309",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069310",0,0,1.73,0,0,2.08,0,0,0
"ENSMUSG00000069315",0,0,0,0,1,0,0,0,0
"ENSMUSG00000069324",2607.17,1616.08,1299.56,1766.97,1368.42,3208.91,3503.96,630.34,1881.11
"ENSMUSG00000069355",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069372",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069376",7.14,8.6,5.85,7,6.66,5,7,8.73,5.72
"ENSMUSG00000069378",0,1,4,2,0,5,0,0,2
"ENSMUSG00000069379",2.67,1.99,4.2,0,2.04,0,0,0,0
"ENSMUSG00000069385",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069390",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069421",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069430",2,0,0,0,1,0,0,0,0
"ENSMUSG00000069439",1.18,0,2.28,2.23,1.12,2.29,0,0,0
"ENSMUSG00000069441",0,0,5.45,0,0,3.82,0,0,1.21
"ENSMUSG00000069456",2789.43,4847.42,3926.66,6716.01,3474.3,3249.64,3542.64,3351.98,3231.45
"ENSMUSG00000069475",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069476",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069495",347,350,416,470,362,400,590,505,406
"ENSMUSG00000069515",1.33,1.21,0,8.59,6.18,0,3.61,3.63,3.59
"ENSMUSG00000069516",1018.67,1233.79,1059,4039.41,1028.82,1321,1528.39,1565.37,1890.41
"ENSMUSG00000069518",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069520",2142,2351,2091,2637,1930,2073,2513,1936,2109
"ENSMUSG00000069539",838,1018,949,1078,880,1015,1030,942,852
"ENSMUSG00000069540",5,0,1,6,0,4,6,2,5
"ENSMUSG00000069554",1,0,0,0,0,0,0,0,0
"ENSMUSG00000069565",1335,1377,1259,2016,1296,1156,1267,1413,1402
"ENSMUSG00000069581",7,4,1,10,4,1,3,0,3
"ENSMUSG00000069582",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069583",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069584",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069588",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069601",454,571,445,622,428,445,809,507,863
"ENSMUSG00000069607",6.51,38.51,10.46,11,19.45,9.5,26.69,5.01,6.15
"ENSMUSG00000069609",0,0,0,0,0,0,0,5.01,0
"ENSMUSG00000069620",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069622",0,0,0.02,137.37,0,102.88,0,181.94,0
"ENSMUSG00000069631",65.37,86.72,90.45,109.5,74.74,84.23,75.5,52.1,68.65
"ENSMUSG00000069633",1081,968,792,1523,891,918,1191,1081,1147
"ENSMUSG00000069662",464,641,466,1068,551,656,654,566,704
"ENSMUSG00000069668",5220.33,3706.11,2101.79,3146.2,3092.97,4508.85,5049.73,1352.07,4165.28
"ENSMUSG00000069670",4,6,1,4,4,7,5,8,5
"ENSMUSG00000069678",86,84,68.66,174,79,86,143,100,111
"ENSMUSG00000069682",4397.88,4749.73,4292.17,5955.18,4118.52,3710.81,3809.72,4012.62,3786.27
"ENSMUSG00000069706",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069707",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069708",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069712",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069713",9,2,2,6,3,2,9,2,1
"ENSMUSG00000069717",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069718",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069720",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069721",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069722",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069727",96.89,75.91,77.01,88.03,81.28,84.84,114.71,64.45,66.64
"ENSMUSG00000069729",745,781,987,1153,827,983,1356,887,885
"ENSMUSG00000069733",151,152,67,118,81,135,134,61,120
"ENSMUSG00000069743",102.5,119.62,81.98,170.89,94.42,89.96,149.35,104.43,121.59
"ENSMUSG00000069744",2148.91,1989.59,1878.95,2482.97,1741.71,1608.41,1768.52,2292.39,1874.71
"ENSMUSG00000069755",89.72,119.73,80.23,116.11,71.81,108.94,100.06,101.66,103.68
"ENSMUSG00000069763",8,3,12,7,8,25,0,8,5
"ENSMUSG00000069769",530,642,577,846,496,606,851,835,680
"ENSMUSG00000069785",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069792",156,161,189,611,152,187,177,259,254
"ENSMUSG00000069793",207.12,391.8,193.1,279.54,166.06,268.72,265.6,95.99,290.18
"ENSMUSG00000069796",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069804",2,0,0,0,0,0,0,0,0
"ENSMUSG00000069805",34010,35777,34300,52598,33280,32562,26317,32979,33786
"ENSMUSG00000069806",14,16,19,22,6,19,33,9,8
"ENSMUSG00000069808",86,97,90,108,80,118,139,91,104
"ENSMUSG00000069814",1,5,3,3,3,1,0,0,4
"ENSMUSG00000069816",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069818",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069823",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069824",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069825",7.3,0,0,2.72,8.9,2.63,3.7,8.6,2.17
"ENSMUSG00000069830",1,3,6,3,1.33,2,2.12,2,2.25
"ENSMUSG00000069833",224,385,290,552,268,401,540,307,309
"ENSMUSG00000069835",262,262,223,294,224,214,278,355,296
"ENSMUSG00000069844",295.95,394.93,425.98,450.73,289.95,338.94,434.97,395.96,359.97
"ENSMUSG00000069855",0,1,0,7,0,5,1,0,0
"ENSMUSG00000069862",0,0,7.14,0,0,3.22,0,0,3.45
"ENSMUSG00000069867",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069873",0,1,0,0,0,0,0,0,0
"ENSMUSG00000069874",2829.48,3695.09,2012.59,2677.63,2501.91,3271.5,3891.71,1721.89,3046.63
"ENSMUSG00000069890",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069892",119.43,167.13,132.06,241.06,159.07,174.87,157.53,107.79,122.8
"ENSMUSG00000069893",9.52,17.69,17.2,35.68,8.28,27.09,36.32,10.96,24.7
"ENSMUSG00000069895",561,661,657,758,488,580,867,499,647
"ENSMUSG00000069899",13.46,9.29,13.65,11.61,10.74,0,0,13.9,7.15
"ENSMUSG00000069910",4,30,4,2,1,8,12,8,12
"ENSMUSG00000069911",0,2,0,0,0,0,0,0,2
"ENSMUSG00000069913",0,2.07,4.07,5.84,1.92,0,2.08,0,3.92
"ENSMUSG00000069917",6565.19,11938.77,5532.21,11894.04,5462.32,5628.21,4059.31,7372.05,7108.47
"ENSMUSG00000069919",2725.81,5184.21,2359.79,6237.94,2556.68,2151.79,1763.69,3432.95,2906.53
"ENSMUSG00000069920",23,8,14,18,18,27,17,12,14
"ENSMUSG00000069922",27402.63,22201.29,29081.86,25617.1,25158.36,28770.16,30257.31,13800.28,26355.23
"ENSMUSG00000069925",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069939",15.11,23.79,28.23,48.98,34.77,23.96,48.17,36.44,57.44
"ENSMUSG00000069962",0,0,0,0,0,1.08,0,0,2.16
"ENSMUSG00000069971",0,0,0,0,0,0,0,0,0
"ENSMUSG00000069972",2030.73,2002.65,1866.04,2929.34,2120.69,1943.88,1753.5,2186.11,1953.33
"ENSMUSG00000069986",1.59,0,0,1.34,0,0,3.94,0,0
"ENSMUSG00000069996",1.02,0,0,0,0,1.04,0,0,3.53
"ENSMUSG00000069998",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070000",13,9,4,14,7,7,11,7,12
"ENSMUSG00000070002",669,621,622,999,687,853,865,603,807
"ENSMUSG00000070003",125,127,95,194,118,108,131,112,102
"ENSMUSG00000070023",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070025",5.7,0,2.98,5.09,0,1,0,3.34,0
"ENSMUSG00000070031",201.38,141.55,155.5,245.19,177.46,167.46,209.46,110.67,154.91
"ENSMUSG00000070034",79,75.57,69,145.43,73.49,100.84,64.71,89.12,78.05
"ENSMUSG00000070044",733,1072,1264,1153,721,772,1182,1001,843
"ENSMUSG00000070047",880,1099,1098,1358,802,1032,2031,890,934
"ENSMUSG00000070056",747,886,1155,1121,818,856,927,730,645
"ENSMUSG00000070063",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070065",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070071",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070072",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070073",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070074",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070075",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070076",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070077",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070078",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070080",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070081",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070084",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070099",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070100",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070101",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070102",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070103",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070104",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070105",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070106",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070107",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070108",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070109",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070110",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070111",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070126",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070127",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070128",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070129",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070130",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070133",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070136",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070138",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070139",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070140",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070141",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070144",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070150",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070166",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070167",3,0.5,4,4,1,0,1,7,0
"ENSMUSG00000070170",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070173",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070175",0,0,0,1,0,0,0,0,0
"ENSMUSG00000070178",0,1,0,0,0,0,0,0,0
"ENSMUSG00000070182",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070192",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070203",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070209",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070214",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070219",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070225",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070227",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070235",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070236",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070240",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070249",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070258",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070263",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070271",1.69,0,0,0,3.09,1.65,3.21,1.59,3.13
"ENSMUSG00000070280",0,0,0,1,0,0,0,0,0
"ENSMUSG00000070282",54.41,47.45,45.53,53.33,18.6,48.42,36.65,39.01,32.73
"ENSMUSG00000070283",365,280,246,369,301,278,264,305,325
"ENSMUSG00000070284",238,436,487,463,316,233,230,287,263
"ENSMUSG00000070287",2,1,2,3,3,3,11,10,10
"ENSMUSG00000070291",4,0,0,2,0,0,0,0,1
"ENSMUSG00000070298",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070304",0,0,2,1,0,3,0,0,0
"ENSMUSG00000070305",205,263,221,294,212,229,293,209,254
"ENSMUSG00000070306",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070311",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070313",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070315",525,361,204,513,324,422,546,306,318
"ENSMUSG00000070319",1640,1555,1639,1950,1449,1418,1373,1731,1502
"ENSMUSG00000070323",4,7,11,29,13,8,6,10,9
"ENSMUSG00000070324",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070327",1855,2382,1766,2660,1757,2369,2952,1202,1642
"ENSMUSG00000070330",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070331",2,0,0,2,0,1,2,0,1
"ENSMUSG00000070332",68,39,29,83,38,51,29,34,51
"ENSMUSG00000070334",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070335",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070336",15,11,15,23,6,4,5,15,2
"ENSMUSG00000070337",0,0,0,3,0,0,0,0,0
"ENSMUSG00000070342",0,0,0,0,0,0,1,0,0
"ENSMUSG00000070343",1830.89,2041.01,2683.87,3225.31,2175.28,1986.55,2147.48,1845.56,1944.78
"ENSMUSG00000070345",5,1,1,5,0,0,3,0,1
"ENSMUSG00000070348",2282,4750,2603,4238,4698,3597,3194,4198,3799
"ENSMUSG00000070354",3.7,5.35,10.74,17.16,5.77,20.13,4.28,21.71,11.77
"ENSMUSG00000070360",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070366",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070368",140,226,61,52,57,94,130,13,81
"ENSMUSG00000070369",2,0,0,0,1,0,3.45,0,0
"ENSMUSG00000070371",128,111,85,158,95,118,148,136,155
"ENSMUSG00000070372",697.79,1167.85,1079.1,1317.5,846.4,938,944,954.17,919.5
"ENSMUSG00000070374",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070375",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070377",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070378",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070379",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070380",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070382",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070383",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070385",0,0,0,1,0,0,0,1,0
"ENSMUSG00000070388",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070390",2,8,3,3,6.67,6,16.88,6,7.75
"ENSMUSG00000070392",684.62,564.96,420.46,414.44,339.1,619.27,944.35,171.61,501.66
"ENSMUSG00000070394",1854,1281,1272,1898,1377,1193,1098,1573,1561
"ENSMUSG00000070407",2376.35,3497.46,2851.41,4018.38,2788.1,2561.06,2596.89,1821.14,2565.94
"ENSMUSG00000070417",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070419",4.32,5.36,7.43,5.27,13.71,13.05,11.77,4.68,3.23
"ENSMUSG00000070420",54,84.7,73.3,113.96,84.84,98.05,127.86,97.37,107.45
"ENSMUSG00000070421",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070423",0,0,1,0,0,0,0,0,0
"ENSMUSG00000070424",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070425",6.77,0,22.1,6.76,6.53,8.79,28.69,0,13.58
"ENSMUSG00000070426",410,520,483,558,429,418,548,503,519
"ENSMUSG00000070427",422,487,308,760,365,408,393,264,467
"ENSMUSG00000070436",297,373,424,732,464,642,376,225,435
"ENSMUSG00000070438",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070443",1.35,3.34,4.17,1.57,0,2.32,2.6,6.07,3.95
"ENSMUSG00000070448",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070458",0,2,0,1,0,0,0,0,0
"ENSMUSG00000070459",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070460",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070461",54.91,76.99,71,58,55.93,49.97,79.95,55.97,53.96
"ENSMUSG00000070462",153,246,226,355,196,178,147,222,179
"ENSMUSG00000070464",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070465",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070469",6,10,1,5,3,8,11,2,2
"ENSMUSG00000070471",0,0,0,0,0,0,0,1,0
"ENSMUSG00000070473",3201,3263,2996,3172,2600,2709,3026,2367,2622
"ENSMUSG00000070476",17,17,14,39,24,27,35,12,16
"ENSMUSG00000070489",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070490",7.82,9.21,9.87,10.21,8.02,9.39,4.84,12.88,4.8
"ENSMUSG00000070493",10300.27,8279.27,7780.85,12264.56,8606.87,8362.22,7575.17,9843.15,8884.19
"ENSMUSG00000070495",50,15,16,20,39.96,45,31,20,14
"ENSMUSG00000070498",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070501",3.81,2.21,0,7.45,3.63,3.81,3.32,0,0
"ENSMUSG00000070504",1,0,0,0,1,0,0,0,0
"ENSMUSG00000070509",8,5,15,21,9,19,12,16,12
"ENSMUSG00000070511",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070520",564,528,532,629,421,523,579,649,454
