human_symbol_hgnc,human_ensembl,mouse_ensembl
ADCY5,ENSG00000173175,ENSMUSG00000022840
ADCY6,ENSG00000174233,ENSMUSG00000022994
ADCY7,ENSG00000121281,ENSMUSG00000031659
ADCY8,ENSG00000155897,ENSMUSG00000022376
ADCY9,ENSG00000162104,ENSMUSG00000005580
ADCYAP1,ENSG00000141433,ENSMUSG00000024256
ADCYAP1R1,ENSG00000078549,ENSMUSG00000029778
ADD1,ENSG00000087274,ENSMUSG00000029106
ADD2,ENSG00000075340,ENSMUSG00000030000
ADD3,ENSG00000148700,ENSMUSG00000025026
ADGB,ENSG00000118492,ENSMUSG00000050994
ADGRA1,ENSG00000197177,ENSMUSG00000025475
ADGRA2,ENSG00000020181,ENSMUSG00000031486
ADGRA3,ENSG00000152990,ENSMUSG00000029090
ADGRB1,ENSG00000181790,ENSMUSG00000034730
ADGRB2,ENSG00000121753,ENSMUSG00000028782
ADGRB3,ENSG00000135298,ENSMUSG00000033569
ADGRD1,ENSG00000111452,ENSMUSG00000044017
ADGRE1,ENSG00000174837,ENSMUSG00000004730
ADGRE5,ENSG00000123146,ENSMUSG00000002885
ADGRF1,ENSG00000153292,ENSMUSG00000041293
ADGRF3,ENSG00000173567,ENSMUSG00000067642
ADGRF4,ENSG00000153294,ENSMUSG00000023918
ADGRF5,ENSG00000069122,ENSMUSG00000056492
ADGRG1,ENSG00000205336,ENSMUSG00000031785
ADGRG2,ENSG00000173698,ENSMUSG00000031298
ADGRG3,ENSG00000182885,ENSMUSG00000060470
ADGRG4,ENSG00000156920,ENSMUSG00000053852
ADGRG5,ENSG00000159618,ENSMUSG00000061577
ADGRG6,ENSG00000112414,ENSMUSG00000039116
ADGRG7,ENSG00000144820,ENSMUSG00000022755
ADGRL1,ENSG00000072071,ENSMUSG00000013033
ADGRL2,ENSG00000117114,ENSMUSG00000028184
ADGRL3,ENSG00000150471,ENSMUSG00000037605
ADGRL4,ENSG00000162618,ENSMUSG00000039167
ADGRV1,ENSG00000164199,ENSMUSG00000069170
ADH4,ENSG00000198099,ENSMUSG00000037797
ADH5,ENSG00000197894,ENSMUSG00000028138
ADH6,ENSG00000172955,ENSMUSG00000074206
ADH7,ENSG00000196344,ENSMUSG00000055301
ADHFE1,ENSG00000147576,ENSMUSG00000025911
ADI1,ENSG00000182551,ENSMUSG00000020629
ADIG,ENSG00000182035,ENSMUSG00000044405
ADIPOQ,ENSG00000181092,ENSMUSG00000022878
ADIPOR1,ENSG00000159346,ENSMUSG00000026457
ADIPOR2,ENSG00000006831,ENSMUSG00000030168
ADISSP,ENSG00000101220,ENSMUSG00000027327
ADK,ENSG00000156110,ENSMUSG00000039197
ADM,ENSG00000148926,ENSMUSG00000030790
ADM2,ENSG00000128165,ENSMUSG00000054136
ADNP,ENSG00000101126,ENSMUSG00000051149
ADNP2,ENSG00000101544,ENSMUSG00000053950
ADO,ENSG00000181915,ENSMUSG00000057134
ADORA1,ENSG00000163485,ENSMUSG00000042429
ADORA2A,ENSG00000128271,ENSMUSG00000020178
ADORA2B,ENSG00000170425,ENSMUSG00000018500
ADORA3,ENSG00000282608,ENSMUSG00000000562
ADPGK,ENSG00000159322,ENSMUSG00000025236
ADPRH,ENSG00000144843,ENSMUSG00000002844
ADPRM,ENSG00000170222,ENSMUSG00000020910
ADPRS,ENSG00000116863,ENSMUSG00000042558
ADRA1A,ENSG00000120907,ENSMUSG00000045875
ADRA1B,ENSG00000170214,ENSMUSG00000050541
ADRA1D,ENSG00000171873,ENSMUSG00000027335
ADRA2A,ENSG00000150594,ENSMUSG00000033717
ADRA2B,ENSG00000274286,ENSMUSG00000058620
ADRA2C,ENSG00000184160,ENSMUSG00000045318
ADRB1,ENSG00000043591,ENSMUSG00000035283
ADRB2,ENSG00000169252,ENSMUSG00000045730
ADRB3,ENSG00000188778,ENSMUSG00000031489
ADSL,ENSG00000239900,ENSMUSG00000022407
ADSS1,ENSG00000185100,ENSMUSG00000011148
ADSS2,ENSG00000035687,ENSMUSG00000015961
ADTRP,ENSG00000111863,ENSMUSG00000058022
AEBP1,ENSG00000106624,ENSMUSG00000020473
AEBP2,ENSG00000139154,ENSMUSG00000030232
AEN,ENSG00000181026,ENSMUSG00000030609
AFAP1,ENSG00000196526,ENSMUSG00000029094
AFAP1L1,ENSG00000157510,ENSMUSG00000033032
AFAP1L2,ENSG00000169129,ENSMUSG00000025083
AFDN,ENSG00000130396,ENSMUSG00000068036
AFF1,ENSG00000172493,ENSMUSG00000029313
AFF2,ENSG00000155966,ENSMUSG00000031189
AFF3,ENSG00000144218,ENSMUSG00000037138
AFF4,ENSG00000072364,ENSMUSG00000049470
AFG1L,ENSG00000135537,ENSMUSG00000038302
AFG2A,ENSG00000145375,ENSMUSG00000027722
AFG2B,ENSG00000171763,ENSMUSG00000118663
AFG3L2,ENSG00000141385,ENSMUSG00000024527
AFM,ENSG00000079557,ENSMUSG00000029369
AFMID,ENSG00000183077,ENSMUSG00000017718
AFP,ENSG00000081051,ENSMUSG00000054932
AFTPH,ENSG00000119844,ENSMUSG00000049659
AGA,ENSG00000038002,ENSMUSG00000031521
AGAP1,ENSG00000157985,ENSMUSG00000055013
AGAP2,ENSG00000135439,ENSMUSG00000025422
AGAP3,ENSG00000133612,ENSMUSG00000023353
AGBL1,ENSG00000273540,ENSMUSG00000025754
AGBL2,ENSG00000165923,ENSMUSG00000040812
AGBL3,ENSG00000146856,ENSMUSG00000038836
AGBL4,ENSG00000186094,ENSMUSG00000061298
AGBL5,ENSG00000084693,ENSMUSG00000029165
AGER,ENSG00000204305,ENSMUSG00000015452
AGFG1,ENSG00000173744,ENSMUSG00000026159
AGFG2,ENSG00000106351,ENSMUSG00000029722
AGGF1,ENSG00000164252,ENSMUSG00000021681
AGK,ENSG00000006530,ENSMUSG00000029916
AGL,ENSG00000162688,ENSMUSG00000033400
AGMAT,ENSG00000116771,ENSMUSG00000040706
AGMO,ENSG00000187546,ENSMUSG00000050103
AGO1,ENSG00000092847,ENSMUSG00000041530
AGO2,ENSG00000123908,ENSMUSG00000036698
AGO3,ENSG00000126070,ENSMUSG00000028842
AGO4,ENSG00000134698,ENSMUSG00000042500
AGPAT1,ENSG00000204310,ENSMUSG00000034254
AGPAT2,ENSG00000169692,ENSMUSG00000026922
AGPAT3,ENSG00000160216,ENSMUSG00000001211
AGPAT4,ENSG00000026652,ENSMUSG00000023827
AGPAT5,ENSG00000155189,ENSMUSG00000031467
AGPS,ENSG00000018510,ENSMUSG00000042410
AGR2,ENSG00000106541,ENSMUSG00000020581
AGR3,ENSG00000173467,ENSMUSG00000036231
AGRN,ENSG00000188157,ENSMUSG00000041936
AGRP,ENSG00000159723,ENSMUSG00000005705
AGT,ENSG00000135744,ENSMUSG00000031980
AGTPBP1,ENSG00000135049,ENSMUSG00000021557
AGTR2,ENSG00000180772,ENSMUSG00000068122
AGTRAP,ENSG00000177674,ENSMUSG00000029007
AGXT,ENSG00000172482,ENSMUSG00000026272
AGXT2,ENSG00000113492,ENSMUSG00000089678
AHCTF1,ENSG00000153207,ENSMUSG00000026491
AHCYL1,ENSG00000168710,ENSMUSG00000027893
AHCYL2,ENSG00000158467,ENSMUSG00000029772
AHDC1,ENSG00000126705,ENSMUSG00000037692
AHI1,ENSG00000135541,ENSMUSG00000019986
AHNAK,ENSG00000124942,ENSMUSG00000069833
AHR,ENSG00000106546,ENSMUSG00000019256
AHRR,ENSG00000063438,ENSMUSG00000021575
AHSA1,ENSG00000100591,ENSMUSG00000021037
AHSG,ENSG00000145192,ENSMUSG00000022868
AICDA,ENSG00000111732,ENSMUSG00000040627
AIDA,ENSG00000186063,ENSMUSG00000042901
AIF1,ENSG00000204472,ENSMUSG00000024397
AIF1L,ENSG00000126878,ENSMUSG00000001864
AIFM1,ENSG00000156709,ENSMUSG00000036932
AIFM2,ENSG00000042286,ENSMUSG00000020085
AIFM3,ENSG00000183773,ENSMUSG00000022763
AIG1,ENSG00000146416,ENSMUSG00000019806
AIM2,ENSG00000163568,ENSMUSG00000037860
AIMP1,ENSG00000164022,ENSMUSG00000028029
AIMP2,ENSG00000106305,ENSMUSG00000029610
AIP,ENSG00000110711,ENSMUSG00000024847
AIPL1,ENSG00000129221,ENSMUSG00000040554
AIRE,ENSG00000160224,ENSMUSG00000000731
AIRIM,ENSG00000116922,ENSMUSG00000044730
AJAP1,ENSG00000196581,ENSMUSG00000039546
AJM1,ENSG00000232434,ENSMUSG00000029419
AJUBA,ENSG00000129474,ENSMUSG00000022178
AK1,ENSG00000106992,ENSMUSG00000026817
AK2,ENSG00000004455,ENSMUSG00000028792
AK3,ENSG00000147853,ENSMUSG00000024782
AK5,ENSG00000154027,ENSMUSG00000039058
AK7,ENSG00000140057,ENSMUSG00000041323
AK8,ENSG00000165695,ENSMUSG00000026807
AK9,ENSG00000155085,ENSMUSG00000091415
AKAIN1,ENSG00000231824,ENSMUSG00000091636
AKAP1,ENSG00000121057,ENSMUSG00000018428
AKAP10,ENSG00000108599,ENSMUSG00000047804
AKAP11,ENSG00000023516,ENSMUSG00000022016
AKAP12,ENSG00000131016,ENSMUSG00000038587
AKAP13,ENSG00000170776,ENSMUSG00000066406
AKAP19,ENSG00000187699,ENSMUSG00000043629
AKAP3,ENSG00000111254,ENSMUSG00000030344
AKAP4,ENSG00000147081,ENSMUSG00000050089
AKAP6,ENSG00000151320,ENSMUSG00000061603
AKAP7,ENSG00000118507,ENSMUSG00000039166
AKAP8,ENSG00000105127,ENSMUSG00000024045
AKAP8L,ENSG00000011243,ENSMUSG00000002625
AKAP9,ENSG00000127914,ENSMUSG00000040407
AKIP1,ENSG00000166452,ENSMUSG00000031023
AKIRIN1,ENSG00000174574,ENSMUSG00000023075
AKIRIN2,ENSG00000135334,ENSMUSG00000028291
AKNA,ENSG00000106948,ENSMUSG00000039158
AKR1A1,ENSG00000117448,ENSMUSG00000028692
AKR1B1,ENSG00000085662,ENSMUSG00000001642
AKR1D1,ENSG00000122787,ENSMUSG00000038641
AKR1E2,ENSG00000165568,ENSMUSG00000045410
AKR7L,ENSG00000211454,ENSMUSG00000028743
AKT1,ENSG00000142208,ENSMUSG00000001729
AKT1S1,ENSG00000204673,ENSMUSG00000011096
AKT2,ENSG00000105221,ENSMUSG00000004056
AKT3,ENSG00000117020,ENSMUSG00000019699
AKTIP,ENSG00000166971,ENSMUSG00000031667
ALAD,ENSG00000148218,ENSMUSG00000028393
ALAS1,ENSG00000023330,ENSMUSG00000032786
ALAS2,ENSG00000158578,ENSMUSG00000025270
ALB,ENSG00000163631,ENSMUSG00000029368
ALCAM,ENSG00000170017,ENSMUSG00000022636
ALDH16A1,ENSG00000161618,ENSMUSG00000007833
ALDH18A1,ENSG00000059573,ENSMUSG00000025007
ALDH1A2,ENSG00000128918,ENSMUSG00000013584
ALDH1A3,ENSG00000184254,ENSMUSG00000015134
ALDH1B1,ENSG00000137124,ENSMUSG00000035561
ALDH1L1,ENSG00000144908,ENSMUSG00000030088
ALDH1L2,ENSG00000136010,ENSMUSG00000020256
ALDH2,ENSG00000111275,ENSMUSG00000029455
ALDH3A1,ENSG00000108602,ENSMUSG00000019102
ALDH3A2,ENSG00000072210,ENSMUSG00000010025
ALDH3B1,ENSG00000006534,ENSMUSG00000024885
ALDH4A1,ENSG00000159423,ENSMUSG00000028737
ALDH5A1,ENSG00000112294,ENSMUSG00000035936
ALDH6A1,ENSG00000119711,ENSMUSG00000021238
ALDH7A1,ENSG00000164904,ENSMUSG00000053644
ALDH8A1,ENSG00000118514,ENSMUSG00000037542
ALDOB,ENSG00000136872,ENSMUSG00000028307
ALDOC,ENSG00000109107,ENSMUSG00000017390
ALG11,ENSG00000253710,ENSMUSG00000063362
ALG12,ENSG00000182858,ENSMUSG00000035845
ALG13,ENSG00000101901,ENSMUSG00000041718
ALG14,ENSG00000172339,ENSMUSG00000039887
ALG2,ENSG00000119523,ENSMUSG00000039740
ALG3,ENSG00000214160,ENSMUSG00000033809
ALG5,ENSG00000120697,ENSMUSG00000036632
ALG6,ENSG00000088035,ENSMUSG00000073792
ALG8,ENSG00000159063,ENSMUSG00000035704
ALG9,ENSG00000086848,ENSMUSG00000032059
ALK,ENSG00000171094,ENSMUSG00000055471
ALKAL1,ENSG00000196711,ENSMUSG00000087247
ALKAL2,ENSG00000189292,ENSMUSG00000054204
ALKBH1,ENSG00000100601,ENSMUSG00000079036
